-- S14 SEC_EDGAR vs the bigger ECONOMICS__FED_US_SEC_EDGAR: do the 200 sample filings and 20 companies already sit in the 49K-row table; state of incorporation agreement
CIK | NAME | N_SAMPLE | N_ACC_IN_BIG | N_BIG_ROWS | BIG_MIN | BIG_MAX | INC_SAMPLE | INC_BIG | EIN_SAMPLE | EIN_BIG
2488 | ADVANCED MICRO DEVICES INC | 10 | 10 | 1003 | 2017-07-05 | 2026-07-01 | DE | DE | 941692300 | 941692300
6951 | APPLIED MATERIALS INC /DE | 10 | 9 | 1000 | 2013-02-19 | 2026-06-29 | DC | DC | 941655526 | 941655526
19617 | JPMORGAN CHASE & CO | 10 | 0 | 25351 | 2025-07-01 | 2026-07-01 | DE | DE | 132624428 | 132624428
34088 | EXXON MOBIL CORP | 10 | 9 | 1008 | 2019-12-03 | 2026-07-01 | NJ | NJ | 135409005 | 135409005
50863 | INTEL CORP | 10 | 10 | 1000 | 2019-02-13 | 2026-06-12 | DE | DE | 941672743 | 941672743
59478 | ELI LILLY & Co | 10 | 10 | 1001 | 2021-09-07 | 2026-06-26 | IN | IN | 350470950 | 350470950
104169 | Walmart Inc. | 10 | 10 | 1009 | 2023-03-13 | 2026-07-01 | DE | DE | 710415188 | 710415188
200406 | JOHNSON & JOHNSON | 10 | 10 | 1001 | 2018-03-14 | 2026-06-25 | NJ | NJ | 221024240 | 221024240
320193 | Apple Inc. | 10 | 10 | 1000 | 2015-05-29 | 2026-06-17 | CA | CA | 942404110 | 942404110
723125 | MICRON TECHNOLOGY INC | 10 | 10 | 1001 | 2017-05-17 | 2026-07-01 | DE | DE | 751618004 | 751618004
789019 | MICROSOFT CORP | 10 | 8 | 1002 | 2020-03-13 | 2026-06-25 | WA | WA | 911144442 | 911144442
937966 | ASML HOLDING NV | 10 | 10 | 590 | 1995-05-19 | 2026-06-05 |  |  | 000000000 | 000000000
1018724 | AMAZON COM INC | 10 | 10 | 1004 | 2020-05-19 | 2026-06-12 | DE | DE | 911646860 | 911646860
1045810 | NVIDIA CORP | 10 | 9 | 1001 | 2020-06-12 | 2026-06-30 | DE | DE | 943177549 | 943177549
1067983 | BERKSHIRE HATHAWAY INC | 10 | 10 | 996 | 2016-09-14 | 2026-06-25 | DE | DE | 470813844 | 470813844
1318605 | Tesla, Inc. | 10 | 9 | 1001 | 2018-04-26 | 2026-06-17 | TX | TX | 912197729 | 912197729
1326801 | Meta Platforms, Inc. | 10 | 10 | 1002 | 2024-05-16 | 2026-07-01 | DE | DE | 201665019 | 201665019
1403161 | VISA INC. | 10 | 10 | 1018 | 2014-11-21 | 2026-07-01 | DE | DE | 260267673 | 260267673
1652044 | Alphabet Inc. | 10 | 9 | 1003 | 2023-05-05 | 2026-06-30 | DE | DE | 611767919 | 611767919
1730168 | Broadcom Inc. | 10 | 9 | 978 | 2018-02-06 | 2026-06-29 |  |  | 352617337 | 352617337
(20 rows; csv has all)
