===== q08 (stmt 8) 58 rows
QTR | FRESH_N | MED_IDN | MIN_IDN | MAX_IDN | MARKER_2Y_BEFORE | DETAINED | OLD_CASE_2Y | OLD_CASE_2Y_ENTRY_2Y | OLD_CASE_LAWYER_BEFORE_DET | HAS_E28 | E28_BEFORE_DET
2023-07-01 | 16552 | 12343906.5 | 11952504 | 15494705 | 9999140.5 | 35554 | 860 | 538 | 379 | 12814 | 548
2023-10-01 | 9824 | 13020321.5 | 12496083 | 15500852 | 10194861.0 | 30538 | 767 | 459 | 354 | 10272 | 509
2024-01-01 | 8407 | 13639610.0 | 8364596 | 14990095 | 10441284.0 | 33309 | 864 | 544 | 375 | 10728 | 541
2024-04-01 | 8576 | 14079381.0 | 13800283 | 15008724 | 10658077.0 | 33537 | 970 | 596 | 431 | 11316 | 627
2024-07-01 | 5686 | 14433186.0 | 12107749 | 15316246 | 10917574.5 | 34687 | 1052 | 649 | 463 | 13853 | 709
2024-10-01 | 4145 | 14677955.0 | 14548366 | 15388840 | 11214518.0 | 33161 | 1165 | 721 | 496 | 14736 | 719
2025-01-01 | 1916 | 14873966.0 | 7400782 | 15317934 | 11507013.0 | 43745 | 2769 | 1842 | 1181 | 21428 | 1937
2025-04-01 | 1157 | 14986465.0 | 8737173 | 15157726 | 11910800.5 | 47616 | 5200 | 3651 | 2200 | 23811 | 3643
2025-07-01 | 1398 | 15114002.5 | 11210581 | 15326217 | 12343906.5 | 54979 | 7455 | 5369 | 3371 | 25536 | 5382
2025-10-01 | 1666 | 15226472.0 | 8738949 | 15562236 | 13020321.5 | 65513 | 12808 | 9154 | 5276 | 31711 | 7784
2026-01-01 | 961 | 15377443.0 | 13328632 | 15551291 | 13639610.0 | 56409 | 12387 | 8801 | 5062 | 27487 | 6878
2026-04-01 | 879 | 15517792.0 | 13177996 | 15566611 | 14079381.0 | 32667 | 6180 | 4297 | 2632 | 11975 | 3369
