===== q12 (stmt 13) 16 rows
NAT | BAND19 | DET19 | R19 | BAND24 | DET24 | R24 | BAND26 | DET26 | R26 | DET26_LAWYER_BEFORE
ALL | 503747 | 684 | 1.36 | 906371 | 454 | 0.5 | 2948759 | 12739 | 4.32 | 4258
VE | 1021 | 4 | 3.92 | 96042 | 16 | 0.17 | 426608 | 2980 | 6.99 | 500
MX | 111745 | 180 | 1.61 | 70721 | 89 | 1.26 | 371606 | 1099 | 2.96 | 353
CO | 2196 | 6 | 2.73 | 22388 | 15 | 0.67 | 248602 | 1054 | 4.24 | 255
HO | 72770 | 91 | 1.25 | 153612 | 80 | 0.52 | 236160 | 882 | 3.73 | 245
NU | 2366 | 7 | 2.96 | 73690 | 33 | 0.45 | 139461 | 757 | 5.43 | 254
EC | 8086 | 19 | 2.35 | 39591 | 12 | 0.3 | 150916 | 752 | 4.98 | 198
GT | 96217 | 132 | 1.37 | 124790 | 75 | 0.6 | 233598 | 714 | 3.06 | 210
CU | 2690 | 2 | 0.74 | 56769 | 16 | 0.28 | 218829 | 710 | 3.24 | 249
IN | 8886 | 4 | 0.45 | 10275 | 5 | 0.49 | 68992 | 579 | 8.39 | 374
PE | 1987 | 0 | 0.0 | 6518 | 5 | 0.77 | 112123 | 457 | 4.08 | 111
CH | 10973 | 10 | 0.91 | 6699 | 0 | 0.0 | 51471 | 311 | 6.04 | 213
RU | 891 | 3 | 3.37 | 6184 | 3 | 0.49 | 65524 | 214 | 3.27 | 137
UZ | 319 | 1 | 3.13 | 2102 | 4 | 1.9 | 17868 | 211 | 11.81 | 129
ES | 107084 | 142 | 1.33 | 54052 | 26 | 0.48 | 72822 | 190 | 2.61 | 86
HA | 9147 | 3 | 0.33 | 35159 | 4 | 0.11 | 148402 | 182 | 1.23 | 24
