-- S32 Wayback completeness: any address at all for data sets 13-40 (base page, listing pages, variants), and any 200 among them
DS | URLKEYS | N | N200 | STATUSES | T0 | T1 | FIRST_200
1 | 87 | 1120 | 920 | 301,404,200,401,403 | 2025-12-19 21:19:18 | 2026-06-01 00:10:03 | 2025-12-19 21:19:18
2 | 18 | 293 | 215 | 301,200,401,403,404 | 2025-12-19 21:17:26 | 2026-05-29 00:10:17 | 2025-12-19 21:17:26
3 | 9 | 76 | 61 | 200,404,401,403 | 2025-12-19 21:13:27 | 2026-05-26 00:10:13 | 2025-12-19 21:13:27
4 | 7 | 113 | 83 | 401,403,301,200 | 2025-12-19 21:14:05 | 2026-05-26 00:10:13 | 2025-12-19 21:14:05
5 | 6 | 89 | 70 | 401,200,403 | 2025-12-20 03:21:57 | 2026-05-27 00:10:07 | 2025-12-20 03:21:57
6 | 5 | 40 | 32 | 401,404,403,200 | 2025-12-20 05:23:30 | 2026-05-26 00:10:02 | 2025-12-20 05:23:30
7 | 5 | 39 | 33 | 401,403,404,200 | 2025-12-20 05:18:04 | 2026-05-26 00:10:02 | 2025-12-20 05:18:04
8 | 231 | 2850 | 2461 | 401,200,404,301,403 | 2025-12-23 04:46:37 | 2026-05-26 00:11:24 | 2025-12-23 04:46:37
9 | 10686 | 65773 | 65600 | 301,503,401,403,200 | 2025-12-23 22:22:14 | 2026-06-03 04:44:19 | 2026-01-30 16:30:23
10 | 10085 | 67537 | 67491 | 401,503,200,403 | 2026-01-30 16:30:40 | 2026-06-04 07:27:53 | 2026-01-30 16:30:40
11 | 6638 | 61331 | 61298 | 401,404,403,503,200 | 2026-01-30 16:31:43 | 2026-06-03 03:37:47 | 2026-01-30 16:31:43
12 | 10 | 130 | 106 | 404,200,401,301,403 | 2026-01-31 04:49:13 | 2026-06-04 00:10:02 | 2026-01-31 04:49:13
13 | 1 | 1 | 0 | 403 | 2026-03-11 19:26:54 | 2026-03-11 19:26:54 | 
14 | 1 | 1 | 0 | 403 | 2026-03-11 19:26:55 | 2026-03-11 19:26:55 | 
15 | 1 | 1 | 0 | 403 | 2026-03-11 19:26:56 | 2026-03-11 19:26:56 | 
16 | 1 | 1 | 0 | 403 | 2026-03-11 19:26:57 | 2026-03-11 19:26:57 | 
17 | 1 | 1 | 0 | 403 | 2026-03-11 19:26:58 | 2026-03-11 19:26:58 | 
18 | 1 | 1 | 0 | 403 | 2026-03-11 19:26:59 | 2026-03-11 19:26:59 | 
19 | 1 | 1 | 0 | 403 | 2026-03-11 19:27:00 | 2026-03-11 19:27:00 | 
20 | 1 | 1 | 0 | 403 | 2026-03-11 19:27:01 | 2026-03-11 19:27:01 | 
21 | 1 | 1 | 0 | 403 | 2026-03-11 19:27:02 | 2026-03-11 19:27:02 | 
22 | 1 | 1 | 0 | 403 | 2026-03-11 19:27:02 | 2026-03-11 19:27:02 | 
23 | 1 | 1 | 0 | 403 | 2026-03-11 19:27:04 | 2026-03-11 19:27:04 | 
24 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:04 | 2026-03-11 19:27:04 | 
25 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:04 | 2026-03-11 19:27:04 | 
26 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:06 | 2026-03-11 19:27:06 | 
27 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:06 | 2026-03-11 19:27:06 | 
28 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:07 | 2026-03-11 19:27:07 | 
29 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:07 | 2026-03-11 19:27:07 | 
30 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:08 | 2026-03-11 19:27:08 | 
31 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:09 | 2026-03-11 19:27:09 | 
32 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:10 | 2026-03-11 19:27:10 | 
33 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:11 | 2026-03-11 19:27:11 | 
34 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:12 | 2026-03-11 19:27:12 | 
35 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:13 | 2026-03-11 19:27:13 | 
36 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:14 | 2026-03-11 19:27:14 | 
37 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:15 | 2026-03-11 19:27:15 | 
38 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:16 | 2026-03-11 19:27:16 | 
39 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:19 | 2026-03-11 19:27:19 | 
40 | 1 | 1 | 0 | 404 | 2026-03-11 19:27:19 | 2026-03-11 19:27:19 | 
(40 rows; csv has all)
