-- S30 Wayback: which pages ever got a full-size (themed, >5,000-byte) 403 instead of the ~937-byte edge block, plus the short-path 403s of 2026-02-19
PATH | N403 | N403_BIG | B403_MIN | B403_MAX | BIG_T0 | BIG_T1 | STATUSES | FIRST_200 | LAST_200
/data-set-9-files | 5 | 1 | 832 | 10574 | 2025-12-23 22:22:14 | 2025-12-23 22:22:14 | 403,401,200,301 | 2026-01-30 16:30:23 | 2026-05-29 00:10:03
/data-set-13-files | 1 | 1 | 10461 | 10461 | 2026-03-11 19:26:54 | 2026-03-11 19:26:54 | 403 |  | 
/data-set-14-files | 1 | 1 | 10462 | 10462 | 2026-03-11 19:26:55 | 2026-03-11 19:26:55 | 403 |  | 
/data-set-15-files | 1 | 1 | 10461 | 10461 | 2026-03-11 19:26:56 | 2026-03-11 19:26:56 | 403 |  | 
/data-set-16-files | 1 | 1 | 10462 | 10462 | 2026-03-11 19:26:57 | 2026-03-11 19:26:57 | 403 |  | 
/data-set-17-files | 1 | 1 | 10461 | 10461 | 2026-03-11 19:26:58 | 2026-03-11 19:26:58 | 403 |  | 
/data-set-18-files | 1 | 1 | 10459 | 10459 | 2026-03-11 19:26:59 | 2026-03-11 19:26:59 | 403 |  | 
/data-set-19-files | 1 | 1 | 10456 | 10456 | 2026-03-11 19:27:00 | 2026-03-11 19:27:00 | 403 |  | 
/data-set-20-files | 1 | 1 | 10462 | 10462 | 2026-03-11 19:27:01 | 2026-03-11 19:27:01 | 403 |  | 
/data-set-21-files | 1 | 1 | 10462 | 10462 | 2026-03-11 19:27:02 | 2026-03-11 19:27:02 | 403 |  | 
/data-set-22-files | 1 | 1 | 10459 | 10459 | 2026-03-11 19:27:02 | 2026-03-11 19:27:02 | 403 |  | 
/data-set-23-files | 1 | 1 | 10461 | 10461 | 2026-03-11 19:27:04 | 2026-03-11 19:27:04 | 403 |  | 
/dat | 1 | 0 | 819 | 819 |  |  | 403 |  | 
/data-set | 1 | 0 | 826 | 826 |  |  | 403 |  | 
/data-set-1 | 1 | 0 | 828 | 828 |  |  | 403 |  | 
/data-set-1-files?page=63 | 3 | 0 | 853 | 941 |  |  | 403 |  | 
/data-set-11 | 1 | 0 | 834 | 834 |  |  | 403 |  | 
(17 rows; csv has all)
