-- S14 Slave voyages: routes, main buying region x main landing region, people, years, a sample source to label the codes
BUY_REGION | LAND_REGION | VOYAGES | EMBARKED | LANDED | Y0 | Y1 | YMED | TOP_BUY_PORT | TOP_LAND_PORT | TOP_SOURCE | A_COMMENT
35100 | 41200 | 410 | 51864 | 50613 | 1665 | 1802 | 1733.000 | 35199 | 41207 | AGI, Contaduria 268 |  
  | 31300 | 602 | 40684 | 39606 | 1738 | 1818 | 1801.000 |   | 31312 | Klein,Havana dataset |  
32100 | 41200 | 402 | 31724 | 30955 | 1642 | 1794 | 1737.500 | 32110 | 41214 | ARA,WIC,588 |  
35100 | 31300 | 825 | 31739 | 30415 | 1686 | 1812 | 1792.000 | 35199 | 31323 | ANC,IH, 1052-23 |  
50400 | 42000 | 459 | 30335 | 29531 | 1603 | 1812 | 1802.000 | 50422 | 42002 | AGNU, Libro 95 |  
50200 | 42000 | 142 | 12697 | 12356 | 1601 | 1812 | 1803.000 | 50299 | 42002 | AGNU, Libro 95 |  
37000 | 31300 | 354 | 12458 | 11995 | 1710 | 1807 | 1799.000 | 37020 | 31312 | Klein,Havana dataset |  
35100 | 36400 | 322 | 10592 | 10176 | 1783 | 1798 | 1785.000 | 35114 | 36499 | CO 142/19, 94 |  
35100 | 80400 | 92 | 10133 | 9691 | 1709 | 1804 | 1746.000 | 35199 | 80401 | CO 142/15 |  
50500 | 42000 | 126 | 9614 | 9384 | 1587 | 1811 | 1637.500 | 50599 | 42001 | AGNA, IX, 18-8-11 |  
31200 | 31300 | 53 | 7832 | 7660 | 1767 | 1812 | 1769.000 | 31299 | 31312 | AGI, Santo Domingo 2516 |  
34200 | 31300 | 43 | 6110 | 6006 | 1715 | 1794 | 1768.000 | 34299 | 31312 | AGI, Santo Domingo 2516 |  
21300 | 31300 | 154 | 6043 | 5834 | 1725 | 1808 | 1806.000 | 21302 | 31312 | Klein,Havana dataset |  
34200 | 21300 | 189 | 6088 | 5818 | 1683 | 1786 | 1751.000 | 34299 | 21302 | CO 5/509 |  
34200 | 31200 | 34 | 5716 | 5648 | 1729 | 1772 | 1769.000 | 34299 | 31299 | AGI, Santo Domingo 2516 |  
32100 |   | 857 | 5704 | 5561 | 1673 | 1774 | 1725.000 | 32110 |   | Jordaan database |  
34200 | 41200 | 38 | 5577 | 5467 | 1664 | 1739 | 1718.000 | 34299 | 41214 | Sorsby, 335 |  
50200 | 50100 | 52 | 5190 | 5074 | 1778 | 1797 | 1785.000 | 50299 | 50109 | AHU,ACL,CU 009 Cx. 61 D. 5562 |  
35500 | 41200 | 59 | 4691 | 4578 | 1698 | 1798 | 1732.000 | 35599 | 41214 | Sorsby, 409 |  
34200 | 21100 | 363 | 4948 | 4567 | 1649 | 1772 | 1737.000 | 34299 | 21102 | Walsh Virginia Database |  
50300 | 50100 | 58 | 4599 | 4488 | 1778 | 1800 | 1790.500 | 50399 | 50109 | AHU,ACL,CU 009 Cx. 84 D. 7042 |  
35100 | 21600 | 66 | 3870 | 3737 | 1748 | 1810 | 1786.000 | 35114 | 21601 | McMillin |  
35100 | 21300 | 226 | 3914 | 3638 | 1709 | 1807 | 1769.000 | 35199 | 21302 | McMillin |  
33800 | 36200 | 52 | 3600 | 3446 | 1788 | 1792 | 1789.000 | 33899 | 36299 | CO 76/5, 19 |  
39000 | 41200 | 48 | 3167 | 3082 | 1550 | 1809 | 1792.000 | 39001 | 41214 | AGI, Indiferente 2823 |  
35100 | 32100 | 115 | 3149 | 3016 | 1711 | 1788 | 1756.000 | 35114 | 32110 | CO 142/15, 103a |  
50200 | 31300 | 16 | 2963 | 2909 | 1809 | 1818 | 1813.000 | 50299 | 31312 | ANC,ML, 6816 |  
33800 | 34200 | 31 | 3028 | 2894 | 1784 | 1793 | 1786.000 | 33899 | 34299 | CO 76/6, 50 |  
36400 | 31300 | 61 | 2844 | 2755 | 1790 | 1794 | 1792.000 | 36499 | 31312 | Klein,Havana dataset |  
33800 | 33400 | 38 | 2825 | 2716 | 1784 | 1799 | 1785.500 | 33899 | 33499 | BT6/41,f.135v-136 |  
34200 | 35300 | 59 | 2552 | 2453 | 1773 | 1808 | 1797.000 | 34299 | 35304 | T 64/48 |  
33400 | 21300 | 104 | 2317 | 2200 | 1718 | 1787 | 1758.000 | 33499 | 21302 | CO 5/510 |  
33500 | 21300 | 90 | 2275 | 2170 | 1717 | 1787 | 1765.000 | 33599 | 21302 | CO 5/510 |  
35100 | 35200 | 56 | 1953 | 1875 | 1731 | 1803 | 1786.000 | 35114 | 35201 | CO 142/22, 156 |  
32100 | 32100 | 118 | 1963 | 1849 | 1687 | 1786 | 1745.000 | 32150 | 32110 | ARA,WIC,578 |  
33400 | 31200 | 18 | 1882 | 1841 | 1767 | 1790 | 1769.000 | 33499 | 31201 | Torres, 1973, p. 173 |  
32100 | 31300 | 54 | 1881 | 1812 | 1687 | 1799 | 1792.000 | 32150 | 31312 | Klein,Havana dataset |  
37000 | 41200 | 26 | 1814 | 1766 | 1698 | 1805 | 1790.000 | 37020 | 41214 | AGI, Indiferente 2778 |  
35100 | 20600 | 224 | 1894 | 1670 | 1652 | 1748 | 1729.000 | 35199 | 20699 | CO 5/1223, 36 |  
33800 | 33500 | 16 | 1734 | 1662 | 1784 | 1792 | 1789.000 | 33899 | 33599 | CO 76/5, 14 |  
(40 rows; csv has all)
