-- S28 Wayback (S25 rerun, regex fixed): every page that ever answered 404 or ended on 403/401, junk URL variants excluded, with dates
PATH | T0 | T1 | LAST_STATUS | FIRST_404 | LAST_200 | STATUSES
/data-set-1-fileshttps:/www.justice.gov/epstein/doj-disclosures/data-set-8-files | 2025-12-24 08:20:47 | 2025-12-24 08:20:47 | 404 | 2025-12-24 08:20:47 |  | 404
/www.cops.usdoj.gov | 2026-01-30 18:42:47 | 2026-05-25 07:01:21 | 404 | 2026-01-30 18:42:47 |  | 403,404
/data-set-12-filesjustice.gov | 2026-02-04 18:10:14 | 2026-02-04 18:10:14 | 404 | 2026-02-04 18:10:14 |  | 404
/court-records-mj-v-epstein-no-910-cv-81111-sd-fla-2010 | 2026-03-03 09:15:00 | 2026-03-05 03:07:06 | 404 | 2026-03-03 09:15:00 |  | 404
/review-protocol | 2026-03-05 03:06:42 | 2026-03-05 03:06:42 | 404 | 2026-03-05 03:06:42 |  | 404
/court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-0-series | 2026-03-05 03:06:43 | 2026-03-05 03:06:43 | 404 | 2026-03-05 03:06:43 |  | 404
/court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-defense-exhibits | 2026-03-05 03:06:43 | 2026-03-05 03:06:43 | 404 | 2026-03-05 03:06:43 |  | 404
/court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-trial-exhibits | 2026-03-05 03:06:43 | 2026-03-05 03:06:43 | 404 | 2026-03-05 03:06:43 |  | 404
/court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-trial-exhibits-defense-exhibits | 2026-03-05 03:06:43 | 2026-03-05 03:06:43 | 404 | 2026-03-05 03:06:43 |  | 404
/court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-trial-exhibits-0-series | 2026-03-05 03:06:44 | 2026-03-05 03:06:44 | 404 | 2026-03-05 03:06:44 |  | 404
/court-records-cl-v-epstein-no-910-cv-80447-sd-fla-2010 | 2026-03-02 05:00:21 | 2026-03-05 03:07:05 | 404 | 2026-03-05 03:07:05 |  | 404,403
/court-records-l-m-v-epstein-909-cv-81092-sd-fla-2009 | 2026-03-05 03:07:05 | 2026-03-05 03:07:05 | 404 | 2026-03-05 03:07:05 |  | 404
/court-records-lm-v-epstein-909-cv-81092-sd-fla-2009 | 2026-02-24 05:11:06 | 2026-03-05 03:07:05 | 404 | 2026-03-05 03:07:05 |  | 404,403
/court-records-c-l-v-epstein-no-910-cv-80447-sd-fla-2010 | 2026-03-05 03:07:06 | 2026-03-05 03:07:06 | 404 | 2026-03-05 03:07:06 |  | 404
/court-records-farmer-v-indyke-no-119-cv-10474-sdny-2019 | 2026-02-22 01:17:29 | 2026-03-05 03:07:07 | 404 | 2026-03-05 03:07:07 |  | 404,403
/court-records-farmer-v-indyke-no-119-cv-10475-sdny-2019 | 2026-03-05 03:07:07 | 2026-03-05 03:07:07 | 404 | 2026-03-05 03:07:07 |  | 404
/court-records-helm-v-indyke-no-119-cv-10476-sdny-2019 | 2026-03-05 03:07:07 | 2026-03-08 11:18:12 | 403 | 2026-03-05 03:07:07 |  | 404,403
/court-records-m-j-v-epstein-no-910-cv-81111-sd-fla-2010 | 2026-03-05 03:07:07 | 2026-03-05 03:07:07 | 404 | 2026-03-05 03:07:07 |  | 404
/court-records-bryant-v-indyke-no-119-cv-10479-sdny-2019 | 2026-02-22 14:06:13 | 2026-03-05 03:07:08 | 404 | 2026-03-05 03:07:08 | 2026-02-22 14:06:13 | 200,404
/court-records-giuffre-v-maxwell-no-115-cv-07433-sdny-2015 | 2026-03-05 03:07:08 | 2026-03-05 03:07:08 | 404 | 2026-03-05 03:07:08 |  | 404
/court-records-davies-v-indyke-no-119-cv-10788-sdny-2019 | 2026-03-05 03:07:09 | 2026-03-06 11:01:49 | 403 | 2026-03-05 03:07:09 |  | 403,404
