-- S19 Wayback: every content change over 2,000 bytes on a 200 page (the only big edits), page and date
D | PATH | BYTES_BEFORE | BYTES_AFTER | DELTA
2025-12-20 | /data-set-1-files | 12942 | 10626 | -2316
2025-12-20 | /data-set-1-files | 10626 | 12850 | 2224
2025-12-20 | /data-set-1-files?page=9 | 13075 | 10826 | -2249
2025-12-20 | /data-set-1-files?page=9 | 10826 | 13041 | 2215
2025-12-20 | /data-set-2-files | 13010 | 10802 | -2208
2025-12-20 | /data-set-2-files | 10802 | 12891 | 2089
2025-12-20 | /data-set-5-files | 10668 | 12875 | 2207
2025-12-20 | /data-set-7-files | 12420 | 10228 | -2192
2025-12-20 | /data-set-7-files | 10228 | 12383 | 2155
2025-12-20 | ?utm_source=chatgpt.com | 11869 | 13883 | 2014
2025-12-21 | /data-set-1-files?page=0 | 10761 | 12963 | 2202
2025-12-21 | /data-set-1-files?page=10 | 10832 | 13100 | 2268
2025-12-21 | /data-set-1-files?page=11 | 13059 | 10858 | -2201
2025-12-21 | /data-set-1-files?page=12 | 10852 | 13104 | 2252
2025-12-21 | /data-set-1-files?page=13 | 13076 | 10853 | -2223
2025-12-21 | /data-set-1-files?page=13 | 10853 | 13085 | 2232
2025-12-21 | /data-set-1-files?page=62 | 12939 | 10710 | -2229
2025-12-21 | /data-set-2-files?page=6 | 13150 | 10904 | -2246
2025-12-21 | /data-set-3-files?page=1 | 10532 | 12737 | 2205
2025-12-22 | /data-set-1-files?page=62 | 10710 | 12855 | 2145
2025-12-22 | /data-set-2-files?page=10 | 13110 | 10869 | -2241
2025-12-22 | /data-set-2-files?page=2 | 10884 | 13164 | 2280
2025-12-22 | /data-set-4-files?page=0 | 10324 | 13013 | 2689
2025-12-22 | /data-set-5-files?page=1 | 10780 | 13015 | 2235
2025-12-23 |  | 14073 | 11527 | -2546
2025-12-23 | /data-set-8-files | 12922 | 10646 | -2276
2025-12-23 | /data-set-8-files | 10646 | 12741 | 2095
2025-12-23 | /data-set-8-files?page=0 | 12902 | 10656 | -2246
2025-12-23 | /data-set-8-files?page=1 | 12985 | 10749 | -2236
2025-12-23 | /data-set-8-files?page=1 | 10749 | 12984 | 2235
2025-12-23 | /data-set-8-files?page=188 | 13137 | 10870 | -2267
2025-12-23 | /data-set-8-files?page=2 | 13033 | 10756 | -2277
2025-12-23 | /data-set-8-files?page=6 | 13026 | 10882 | -2144
2025-12-23 | /data-set-8-files?page=8 | 13099 | 10865 | -2234
2025-12-24 | /data-set-8-files?page=0 | 10656 | 13041 | 2385
2025-12-24 | /data-set-8-files?page=184 | 10879 | 13141 | 2262
2025-12-24 | /data-set-8-files?page=185 | 10880 | 13159 | 2279
2025-12-24 | /data-set-8-files?page=186 | 10864 | 13081 | 2217
2025-12-24 | /data-set-8-files?page=187 | 10872 | 13127 | 2255
2025-12-24 | /data-set-8-files?page=189 | 10880 | 13137 | 2257
2025-12-24 | /data-set-8-files?page=190 | 10890 | 13154 | 2264
2025-12-24 | /data-set-8-files?page=191 | 10887 | 13167 | 2280
2025-12-24 | /data-set-8-files?page=192 | 10901 | 13124 | 2223
2025-12-24 | /data-set-8-files?page=2 | 10756 | 13150 | 2394
2025-12-24 | /data-set-8-files?page=3 | 10778 | 13031 | 2253
2025-12-24 | /data-set-8-files?page=4 | 10853 | 13100 | 2247
2025-12-24 | /data-set-8-files?page=5 | 10869 | 13158 | 2289
2025-12-24 | /data-set-8-files?page=6 | 10882 | 13102 | 2220
2025-12-24 | /data-set-8-files?page=7 | 10808 | 13061 | 2253
2025-12-24 | /data-set-8-files?page=8 | 10865 | 13142 | 2277
2025-12-26 | /data-set-1-files?page=17 | 13071 | 10850 | -2221
2025-12-26 | /data-set-1-files?page=5 | 10947 | 13055 | 2108
2025-12-26 | /data-set-8-files?page=0 | 13041 | 10828 | -2213
2025-12-29 | /data-set-8-files?page=123 | 13154 | 10433 | -2721
2026-01-02 | /data-set-2-files?page=10 | 10869 | 13108 | 2239
2026-01-02 | /data-set-2-files?page=4 | 10890 | 13048 | 2158
2026-01-07 | /data-set-8-files?page=60 | 13118 | 10855 | -2263
2026-01-15 | /data-set-8-files?ref=thesubmarine.it | 10784 | 12918 | 2134
2026-01-27 |  | 1000 | 14181 | 13181
2026-01-30 | /data-set-10-files | 13310 | 11087 | -2223
(96 rows; csv has all)
