-- S22 Wayback (S20 rerun, regex fixed): listing pages by data set, junk URL variants, highest page number, first/last capture
SECT | URLKEYS | JUNK_VARIANTS | PAGE_NUMS | MAX_PAGE | CHANGE_ROWS | FIRST_SEEN | LAST_SEEN | MED_ROWS_PER_PAGE
data-set-9-files | 10686 | 1 | 10682 | 200000000 | 65773 | 2025-12-23 22:22:14 | 2026-06-03 04:44:19 | 6.000
data-set-10-files | 10085 | 0 | 10081 | 10080 | 67537 | 2026-01-30 16:30:40 | 2026-06-04 07:27:53 | 10.000
data-set-11-files | 6637 | 0 | 6636 | 1717171717171717 | 61330 | 2026-01-30 16:31:43 | 2026-06-03 03:37:47 | 10.000
data-set-8-files | 231 | 5 | 223 | 222 | 2850 | 2025-12-23 04:46:37 | 2026-05-26 00:11:24 | 12.000
data-set-1-files | 85 | 5 | 77 | 100 | 1118 | 2025-12-19 21:19:18 | 2026-06-01 00:10:03 | 14.000
court-records-v-maxwell-no-115-cv-07433-sdny-2015 | 61 | 0 | 60 | 59 | 604 | 2026-02-25 16:42:49 | 2026-05-27 00:10:14 | 9.000
court-records-government-united-states-virgin-islands-v-jpmorgan-chase-bank-na-no-122-cv-10904-sdny-2022 | 38 | 0 | 37 | 36 | 362 | 2026-02-25 16:45:43 | 2026-05-27 00:10:13 | 8.000
(root) | 34 | 21 | 5 | 7 | 214 | 2025-12-19 21:14:48 | 2026-05-26 00:10:01 | 1.000
court-records-epstein-v-rothstein-no-50-2009-ca-040800-xxxx-mb-fla-15th-cir-ct-2009 | 30 | 0 | 29 | 28 | 322 | 2026-02-25 16:45:44 | 2026-05-27 00:10:12 | 9.000
court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020 | 22 | 0 | 21 | 20 | 249 | 2026-02-22 13:45:52 | 2026-05-26 00:10:28 | 9.500
court-records-doe-v-epstein-no-908-cv-80119-sd-fla-2008 | 19 | 0 | 18 | 17 | 203 | 2026-02-25 16:59:48 | 2026-05-27 00:10:11 | 12.000
data-set-2-files | 18 | 2 | 13 | 20 | 293 | 2025-12-19 21:17:26 | 2026-05-29 00:10:17 | 19.500
court-records-doe-v-united-states-no-908-cv-80736-sd-fla-2008 | 15 | 0 | 14 | 13 | 174 | 2026-02-25 16:58:05 | 2026-05-26 00:10:22 | 13.000
data-set-12-files | 9 | 1 | 7 | 19 | 129 | 2026-01-31 04:49:13 | 2026-06-04 00:10:02 | 14.000
data-set-3-files | 9 | 1 | 5 | 20 | 76 | 2025-12-19 21:13:27 | 2026-05-26 00:10:13 | 1.000
data-set-4-files | 7 | 1 | 4 | 3 | 113 | 2025-12-19 21:14:05 | 2026-05-26 00:10:13 | 19.000
court-records-ca-florida-holdings-llc-publisher-palm-beach-post-v-aronberg-no-50-2019-ca-014681-xxxx-mb | 7 | 1 | 5 | 4 | 79 | 2026-02-24 05:37:16 | 2026-05-27 00:10:09 | 13.000
court-records-jane-doe-43-v-epstein-no-117-cv-00616-sdny-2017 | 6 | 0 | 5 | 4 | 80 | 2026-02-25 16:45:08 | 2026-05-27 00:10:13 | 13.500
data-set-5-files | 6 | 1 | 3 | 2 | 89 | 2025-12-20 03:21:57 | 2026-05-27 00:10:07 | 16.500
court-records-doe-no-5-v-epstein-no-908-cv-80381-sd-fla-2008 | 5 | 0 | 4 | 3 | 68 | 2026-02-25 17:01:05 | 2026-05-26 00:10:19 | 13.000
data-set-7-files | 5 | 1 | 1 | 0 | 39 | 2025-12-20 05:18:04 | 2026-05-26 00:10:02 | 1.000
court-records-doe-no-4-v-epstein-no-908-cv-80380-sd-fla-2008 | 5 | 0 | 4 | 3 | 65 | 2026-02-25 17:01:32 | 2026-05-26 00:10:19 | 14.000
court-records-doe-v-indyke-no-120-cv-00484-sdny-2020 | 5 | 0 | 4 | 3 | 67 | 2026-02-22 13:45:50 | 2026-05-26 00:10:22 | 13.000
data-set-6-files | 5 | 1 | 1 | 0 | 40 | 2025-12-20 05:23:30 | 2026-05-26 00:10:02 | 1.000
court-records-doe-no-3-v-epstein-no-908-cv-80232-sd-fla-2008 | 5 | 0 | 4 | 3 | 66 | 2026-02-25 17:01:44 | 2026-05-27 00:10:10 | 14.000
court-records-v-indyke-no-119-cv-10475-sdny-2019 | 4 | 0 | 3 | 2 | 51 | 2026-02-25 16:43:33 | 2026-05-27 00:10:14 | 13.000
court-records-doe-no-6-v-epstein-no-908-cv-80994-sd-fla-2008 | 4 | 0 | 3 | 2 | 53 | 2026-02-25 17:01:02 | 2026-05-27 00:10:10 | 14.000
court-records-doe-v-indyke-no-119-cv-08673-sdny-2019 | 4 | 0 | 3 | 2 | 49 | 2026-02-25 17:00:13 | 2026-05-26 00:10:21 | 13.000
court-records-state-florida-v-epstein-no-50-2006-cf-009454-axxx-mb-fla-15th-cir-ct-2006 | 4 | 0 | 3 | 2 | 50 | 2026-02-25 16:41:06 | 2026-05-27 00:10:15 | 13.000
court-records-doe-v-epstein-no-909-v-80469-sd-fla-2009 | 3 | 0 | 2 | 1 | 40 | 2026-02-25 17:00:17 | 2026-05-26 00:10:21 | 13.000
foia-florida | 3 | 0 | 2 | 1 | 43 | 2026-02-22 13:56:22 | 2026-05-27 00:10:15 | 15.000
court-records-v-nine-east-71st-street-no-119-cv-07625-sdny-2019 | 3 | 0 | 2 | 1 | 41 | 2026-02-25 16:41:30 | 2026-05-27 00:10:14 | 13.000
court-records-v-indyke-no-119-cv-10788-sdny-2019 | 3 | 0 | 2 | 1 | 34 | 2026-02-25 16:42:01 | 2026-05-27 00:10:14 | 11.000
court-records-operating-engineers-construction-industry-and-miscellaneous-pension-fund-v-dimon-no-123-cv-03903 | 3 | 0 | 2 | 1 | 44 | 2026-02-25 16:44:13 | 2026-05-26 00:10:24 | 13.000
court-records-united-states-v-epstein-no-119-cr-00490-sdny-2019 | 3 | 0 | 2 | 1 | 40 | 2026-02-25 16:40:40 | 2026-05-26 00:10:27 | 13.000
court-records-doe-v-indyke-no-119-cv-11869-sdny-2019 | 3 | 0 | 2 | 1 | 39 | 2026-02-25 16:58:40 | 2026-05-27 00:10:11 | 13.000
court-records-doe-no-101-v-epstein-no-909-cv-80591-sd-fla-2009 | 3 | 0 | 2 | 1 | 38 | 2026-02-25 15:40:05 | 2026-05-27 00:10:10 | 13.000
court-records-maxwell-v-estate-jeffrey-epstein-no-st-20-cv-155-vi-super-ct-2020 | 3 | 0 | 2 | 1 | 39 | 2026-02-25 16:44:40 | 2026-05-26 00:10:24 | 14.000
court-records-doe-1000-v-indyke-no-119-cv-10577-sdny-2019 | 3 | 0 | 2 | 1 | 37 | 2026-02-22 13:45:50 | 2026-05-26 00:10:18 | 12.000
court-records-v-indyke-no-119-cv-10476-sdny-2019 | 3 | 0 | 2 | 1 | 38 | 2026-02-25 16:43:25 | 2026-05-27 00:10:14 | 13.000
(40 rows; csv has all)
