-- S29 Wayback: the 2026-03-11 19:2x probe of data-set-13..40: status, bytes, digest, next to every other capture in that 20-minute window and the 403/404 byte norms
GRP | CAPTURED_AT | PATH | HTTP_STATUS | CONTENT_BYTES | CONTENT_DIGEST | MIMETYPE | CHANGE_KIND
window | 2026-03-11 19:27:13 | /data-set-35-files | 404 | 10435.000 | MY4ZJVIICICCUTTTRRS4QXSRIQHMBEEE | text/html | first_capture
window | 2026-03-11 19:27:14 | /data-set-36-files | 404 | 10437.000 | DH2UHIT4JHYNEFQNFSSYQJCHRDM47IAU | text/html | first_capture
window | 2026-03-11 19:27:15 | /data-set-37-files | 404 | 10434.000 | 3CB6CFMODRYER46T4FX5FER2ZRSRDK43 | text/html | first_capture
window | 2026-03-11 19:27:16 | /data-set-38-files | 404 | 10437.000 | FUWRDTSFC2OOYXUWLPRCIEICJGNKDWCB | text/html | first_capture
window | 2026-03-11 19:27:19 | /data-set-40-files | 404 | 10431.000 | 2NBC4IG723YUEPOOGOCEMK6UL5YJ7QD5 | text/html | first_capture
window | 2026-03-11 19:27:19 | /data-set-39-files | 404 | 10437.000 | P5QHLXRE6DJXMSHKY2T7E272TMHLKO2J | text/html | first_capture
window | 2026-03-11 19:27:21 |  | 200 | 17121.000 | Q3EAJJHZGMI6HX2RGQQJZ4QGDRJQGXSS | text/html | content_and_status_changed
window | 2026-03-11 19:27:24 | /data-set-8-files | 200 | 12616.000 | 6HYVT2QTWP43MZ3ANBJAGVNXHRGW4MW5 | text/html | content_and_status_changed
window | 2026-03-11 19:27:27 | /court-records-doe-no-3-v-epstein-no-908-cv-80232-sd-fla-2008 | 200 | 12644.000 | GKGZOZHWZLHWVIYAOS7DRBZAEXPMRJOH | text/html | content_and_status_changed
window | 2026-03-11 19:27:33 | /court-records-doe-v-indyke-no-120-cv-02365-sdny-2020 | 200 | 12264.000 | 5NQAMYTQ4WVAPWS2IOE47EUJYTKIYTQF | text/html | content_and_status_changed
window | 2026-03-11 19:27:35 | /court-records-government-united-states-virgin-islands-v-jpmorgan-chase-bank-na-no-122-cv-10904-sdny-2022 | 200 | 13020.000 | U6ASAHGGX26KRBKZO542YIQGILYTDPW3 | text/html | content_and_status_changed
norm 404 |  | all rows: n=67 pages=62 digests=67 | 404 | 10447.000 | min 746 max 12368 |  | 
norm 403 |  | all rows: n=1163 pages=659 digests=1163 | 403 | 937.000 | min 803 max 10574 |  | 
norm 401 |  | all rows: n=257 pages=182 digests=184 | 401 | 3491.000 | min 3460 max 4643 |  | 
(36 rows; csv has all)
