ROW_GAP,SOURCE_ID,MART_SCHEMA,MART_TABLE,MART_ROWS,MART_BUILT,LANDING_ROWS,LANDING_LOADED
16610000,FED_FEMA_IA_HOUSING_REGISTRATIONS,HOUSING,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,3080000,2026-08-10 07:07:37.148000-07:00,19690000,2026-08-11 06:58:01.292000-07:00
821696,INTL_IE_CRO,_RESTORE_20260701,CORPORATE_REGISTRY__INTL_IE_CRO,1,2026-07-01 08:35:25.191000-07:00,821697,2026-08-09 11:19:49.484000-07:00
11520,FED_SLAVEVOYAGES_INTRAAMERICAN,_RESTORE_20260701,HISTORICAL_RECORDS__FED_SLAVEVOYAGES_INTRAAMERICAN,1,2026-07-01 08:35:32.690000-07:00,11521,2026-07-12 12:09:16.385000-07:00
881,FED_NAAG_MULTISTATE_SETTLEMENTS,_RESTORE_20260701,LEGAL_ENFORCEMENT__FED_NAAG_MULTISTATE_SETTLEMENTS,1,2026-07-01 08:35:38.078000-07:00,882,2026-07-12 12:09:16.606000-07:00
545,FED_NARA_AAD,_RESTORE_20260701,GOVERNMENT_RECORDS__FED_NARA_AAD,9,2026-07-01 08:35:41.375000-07:00,554,2026-07-12 12:09:01.514000-07:00
44,FED_HHS_TAGGS,_RESTORE_20260701,ECONOMICS__FED_HHS_TAGGS,1,2026-07-01 08:35:27.565000-07:00,45,2026-07-12 12:09:16.816000-07:00
39,INTL_GR_GEMI,_RESTORE_20260701,ECONOMICS__INTL_GR_GEMI,1,2026-07-01 08:35:31.258000-07:00,40,2026-07-12 12:09:08.930000-07:00
35,FED_NARA_WRA_AAD,_RESTORE_20260701,CIVIL_RIGHTS__FED_NARA_WRA_AAD,1,2026-07-01 08:35:23.161000-07:00,36,2026-07-12 12:09:03.836000-07:00
17,INTL_CH_ZEFIX,_RESTORE_20260701,ECONOMICS__INTL_CH_ZEFIX,1,2026-07-01 08:35:29.852000-07:00,18,2026-07-12 12:09:06.425000-07:00
13,FED_FDIC_ENFORCEMENT,_RESTORE_20260701,REGULATION__FED_FDIC_ENFORCEMENT,1,2026-07-01 08:35:39.719000-07:00,14,2026-07-12 12:08:57.314000-07:00
0,FED_GOOGLE_POLADS_ADVERTISER_ID_MAPPING,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_ID_MAPPING,8044,2026-07-30 11:40:39.782000-07:00,8044,2026-08-05 14:38:33.777000-07:00
0,FED_DOJ_CRT_CASES,_RESTORE_20260701,JUSTICE__FED_DOJ_CRT_CASES,1,2026-07-01 08:35:34.612000-07:00,1,2026-07-12 12:09:01.360000-07:00
