-- S11 Toptier time check, rerun of S07 with casts that accept the real column types: contract obligations by agency and fiscal year, Oct-Jun window
AGENCY | FY | OBLIG_OCT_JUN | OBLIG_FULL | N | BAD_DATE | BAD_AMT | LAST_ACTION
Consumer Product Safety Commission | 2023 | 24457338.06 | 52138540.150000006 | 789 | 0 | 0 | 2023-09-29
Consumer Product Safety Commission | 2024 | 16701969.130000003 | 35300357.93 | 896 | 0 | 0 | 2024-09-30
Consumer Product Safety Commission | 2025 | 16718364.030000001 | 32912664.459999997 | 925 | 0 | 0 | 2025-09-30
Consumer Product Safety Commission | 2026 | 18155131.89 | 25341883.689999994 | 724 | 0 | 0 | 2026-08-20
Corporation for National and Community Service | 2019 | 59186523.33 | 89970475.08000001 | 444 | 0 | 0 | 2019-09-30
Corporation for National and Community Service | 2020 | 45999405.83 | 69627967.88999999 | 389 | 0 | 0 | 2020-09-30
Corporation for National and Community Service | 2021 | 16045808.709999999 | 37964930.5 | 184 | 0 | 0 | 2021-09-30
Corporation for National and Community Service | 2022 | 9576656.42 | 28355331.410000004 | 204 | 0 | 0 | 2022-09-30
Corporation for National and Community Service | 2023 | 32589526.330000006 | 61915229.46 | 171 | 0 | 0 | 2023-09-29
Corporation for National and Community Service | 2024 | 37941233.14 | 97557285.71000001 | 174 | 0 | 0 | 2024-09-30
Corporation for National and Community Service | 2025 | 8948120.76 | 30258572.840000004 | 235 | 0 | 0 | 2025-09-30
Corporation for National and Community Service | 2026 | 18922425.82 | 22938648.49 | 148 | 0 | 0 | 2026-08-18
Council of the Inspectors General on Integrity and Efficiency | 2019 | 802566.0300000001 | 824966.0300000001 | 26 | 0 | 0 | 2019-09-09
Council of the Inspectors General on Integrity and Efficiency | 2020 | 696235.63 | 7162960.090000001 | 23 | 0 | 0 | 2020-08-19
Council of the Inspectors General on Integrity and Efficiency | 2021 | 1322448.88 | 1561106.0799999998 | 21 | 0 | 0 | 2021-09-15
Council of the Inspectors General on Integrity and Efficiency | 2022 | 2710130.63 | 2962486.139999999 | 31 | 0 | 0 | 2022-09-08
Council of the Inspectors General on Integrity and Efficiency | 2023 | 2451855.78 | 2820852.7800000003 | 45 | 0 | 0 | 2023-09-15
Council of the Inspectors General on Integrity and Efficiency | 2024 | 1949290.31 | 2186660.27 | 64 | 0 | 0 | 2024-09-24
Council of the Inspectors General on Integrity and Efficiency | 2025 | 2118510.87 | 4609437.29 | 55 | 0 | 0 | 2025-09-23
Council of the Inspectors General on Integrity and Efficiency | 2026 | 4547893.97 | 10258824.82 | 34 | 0 | 0 | 2026-08-14
Court Services and Offender Supervision Agency | 2019 | 16584236.450000001 | 44088045.65 | 475 | 0 | 0 | 2019-09-30
Court Services and Offender Supervision Agency | 2020 | 14175290.580000002 | 41120129.05 | 474 | 0 | 0 | 2020-09-30
