-- S16 Fisher Sand & Gravel DHS contract rows FY2025-FY2026: repeats, ceilings, dates (does $13.35B hold up?)
K | PIID | ACTION_DATE | AMT | AWARD_TOTAL | AWARD_VALUE | AWARD_TYPE | POP_ST | DESCR | SAME_ROWS
CONT_AWD_70B01C22F00000952_7014_HSBP1017D00019_7014 | 70B01C22F00000952 | 2024-03-01 | -723201.5 | 116379078.0 | 116379078.0 | DELIVERY ORDER | NM | DESCOPE AND DEOBLIGATION | 1
CONT_AWD_70B03C24F00001029_7014_70B01C23D00000010_7014 | 70B03C24F00001029 | 2024-09-28 | 120680000.0 | 120680000.0 | 120680000.0 | DELIVERY ORDER | AZ | BORDER INFRASTRUCTURE CONSTRUCTION | 1
CONT_AWD_70B03C24F00001029_7014_70B01C23D00000010_7014 | 70B03C24F00001029 | 2025-01-30 | 703000.0 | 121383000.0 | 121383000.0 | DELIVERY ORDER | AZ | ADDED WORK, GFM, AND CHANGE COR | 1
CONT_AWD_70B03C24F00001029_7014_70B01C23D00000010_7014 | 70B03C24F00001029 | 2025-02-24 | 9150000.0 | 130533000.0 | 130533000.0 | DELIVERY ORDER | AZ | EXERCISE OPTIONAL WORK. | 1
CONT_AWD_70B03C24F00001029_7014_70B01C23D00000010_7014 | 70B03C24F00001029 | 2025-04-14 | 9438000.0 | 139971000.0 | 139971000.0 | DELIVERY ORDER | AZ | ADD DRAINAGE AND EROSION CONTROL REQUIREMENTS (TO INCLUDE DESIGN) FOR BORDER INFRASTRUCTURE, YUM 10-27 SECTION, YUMA AZ. | 1
CONT_AWD_70B03C24F00001029_7014_70B01C23D00000010_7014 | 70B03C24F00001029 | 2025-05-15 | 3724000.0 | 143695000.0 | 143695000.0 | DELIVERY ORDER | AZ | ADD THE FOLLOWING WORK TO THE NEW BARRIER GATES AND GAPS IN YUMA, AZ: JACUMBA PHASE 1A AND 1B NEW VERTICAL BARRIER, BOLL | 1
CONT_AWD_70B01C25F00000328_7014_70B01C23D00000010_7014 | 70B01C25F00000328 | 2025-06-12 | 309463000.0 | 334000000.0 | 334000000.0 | DELIVERY ORDER | AZ | NEW VERTICAL BARRIER BORDER WALL BORDER WITHIN THE TUCSON, ARIZONA SECTOR (TCA), THESE INCLUDE TCA 10-4, SONOITA AND TCA | 1
CONT_AWD_70B03C24F00001029_7014_70B01C23D00000010_7014 | 70B03C24F00001029 | 2025-08-04 | 31264193.0 | 174959193.0 | 174959193.0 | DELIVERY ORDER | AZ | PROVIDE FULL DESIGN, MATERIALS AND CONSTRUCTION NEEDED TO REALIGN THE CURRENT JACUMBA VERTICAL BARRIER ALIGNMENT TO BE E | 1
CONT_AWD_70B01C25F00000328_7014_70B01C23D00000010_7014 | 70B01C25F00000328 | 2025-08-26 | 12275000.0 | 334000000.0 | 334000000.0 | DELIVERY ORDER | AZ | EXERCISING OPTION LINE ITEMS 1049 THRU 1051 TO ALLOW THE PAINTING OF THE VERTICAL BARRIER IN TUCSON, AZ. | 1
CONT_AWD_70B01C23F00001237_7014_70B01C23D00000010_7014 | 70B01C23F00001237 | 2025-09-15 | -75990585.0 | 183009415.0 | 183009415.0 | DELIVERY ORDER | NM | DEOBLIGATION. | 1
CONT_AWD_70B01C25F00000328_7014_70B01C23D00000010_7014 | 70B01C25F00000328 | 2025-09-18 | 12262000.0 | 334000000.0 | 334000000.0 | DELIVERY ORDER | AZ | EXERCISE PAINTING OPTIONAL LINES. | 1
CONT_AWD_70B01C25F00001112_7014_70B01C23D00000010_7014 | 70B01C25F00001112 | 2025-09-26 | 574000000.0 | 574000000.0 | 574000000.0 | DELIVERY ORDER | CA | CONSTRUCTION BORDER BARRIER EL CENTRO, CA | 1
CONT_AWD_70B03C24F00001029_7014_70B01C23D00000010_7014 | 70B03C24F00001029 | 2025-09-30 | 42170796.0 | 217129989.0 | 217129989.0 | DELIVERY ORDER | AZ | ADD DESIGN AND CONSTRUCT BORDER BARRIER. | 1
CONT_AWD_70B01C26F00000028_7014_70B01C26D00000012_7014 | 70B01C26F00000028 | 2025-12-16 | 300000000.0 | 316700000.0 | 316700000.0 | DELIVERY ORDER | TX | WATERBORNE BUOY SYSTEM | 1
CONT_AWD_70B01C26F00000018_7014_70B01C26D00000012_7014 | 70B01C26F00000018 | 2025-12-16 | 440440440.0 | 0.0 | 0.0 | DELIVERY ORDER | TX | VERTICAL BORDER BARRIER CONSTRUCTION | 1
CONT_AWD_70B01C26F00000017_7014_70B01C26D00000012_7014 | 70B01C26F00000017 | 2025-12-17 | 1495000000.0 | 1550800000.0 | 1550800000.0 | DELIVERY ORDER | AZ | CONSTRUCT VERTICAL BORDER BARRIER | 1
CONT_AWD_70B01C26F00000018_7014_70B01C26D00000012_7014 | 70B01C26F00000018 | 2025-12-18 | 0.0 | 0.0 | 0.0 | DELIVERY ORDER | TX | THIS MODIFICATION IS IN ACCORDANCE WITH FAR CLAUSE 52.249-2. | 1
CONT_AWD_70B01C26F00000044_7014_70B01C26D00000012_7014 | 70B01C26F00000044 | 2025-12-23 | 1572516500.0 | 1650754000.0 | 1650754000.0 | DELIVERY ORDER | AZ | YUM-2 VERTICAL BORDER AND WATERBORNE BARRIER CONSTRUCTION | 1
CONT_AWD_70B01C26F00000073_7014_70B01C26D00000012_7014 | 70B01C26F00000073 | 2026-01-06 | 1679170000.0 | 1787500000.0 | 1787500000.0 | DELIVERY ORDER | NM | DESIGN AND CONSTRUCT NEW VERTICAL BARRIER AND POWER DISTRIBUTION, LIGHTING, CAMERAS, EQUIPMENT SHELTERS AND LINEAR GROUN | 1
CONT_AWD_70B01C26F00000067_7014_70B01C26D00000012_7014 | 70B01C26F00000067 | 2026-01-13 | 458090440.0 | 458090440.0 | 458090440.0 | DELIVERY ORDER | TX | VERTICAL BORDER BARRIER CONSTRUCTION | 1
CONT_AWD_70B01C26F00000018_7014_70B01C26D00000012_7014 | 70B01C26F00000018 | 2026-01-19 | -440440440.0 | 0.0 | 0.0 | DELIVERY ORDER | TX | DEOBLIGATION OF FUNDS. | 1
CONT_AWD_70B01C26F00000044_7014_70B01C26D00000012_7014 | 70B01C26F00000044 | 2026-01-23 | 78237500.0 | 1650754000.0 | 1650754000.0 | DELIVERY ORDER | AZ | BILATERAL IN SCOPE MODIFICATION TO ADD PRIMARY STEEL BOLLARDS AND SHEET STEEL TO THE ORDER FOR THE FAST TRACK VERTICAL B | 1
CONT_AWD_70B01C26F00000073_7014_70B01C26D00000012_7014 | 70B01C26F00000073 | 2026-01-29 | 108330000.0 | 1787500000.0 | 1787500000.0 | DELIVERY ORDER | NM | EXERCISE OPTIONAL LINE ITEM-PRIMARY STEEL | 1
CONT_AWD_70B01C26F00000028_7014_70B01C26D00000012_7014 | 70B01C26F00000028 | 2026-02-06 | 16700000.0 | 316700000.0 | 316700000.0 | DELIVERY ORDER | TX | ADD TIERED PRICING | 1
CONT_AWD_70B01C25F00000328_7014_70B01C23D00000010_7014 | 70B01C25F00000328 | 2026-02-07 | 18421800.0 | 352421800.0 | 352421800.0 | DELIVERY ORDER | AZ | ADD TIERED PRICING | 1
CONT_AWD_70B01C26F00000017_7014_70B01C26D00000012_7014 | 70B01C26F00000017 | 2026-02-10 | 55800000.0 | 1550800000.0 | 1550800000.0 | DELIVERY ORDER | AZ | FUND TIERED PRICING | 1
CONT_AWD_70B01C26F00000169_7014_70B01C26D00000012_7014 | 70B01C26F00000169 | 2026-03-05 | 1223124000.0 | 1223124000.0 | 1223124000.0 | DELIVERY ORDER | TX | BORDER WALL CONSTRUCTION - VERTICAL BARRIER, BIG BEND TEXAS SECTOR (BBT-2) | 1
CONT_AWD_70B01C26F00000044_7014_70B01C26D00000012_7014 | 70B01C26F00000044 | 2026-03-09 | 0.0 | 1650754000.0 | 1650754000.0 | DELIVERY ORDER | AZ | BILATERAL, NO COST MODIFICATION TO DESIGNATE THE ORDER AS DO-N4 UNDER THE DPAS RATING SYSTEM. | 1
CONT_AWD_70B01C25F00001112_7014_70B01C23D00000010_7014 | 70B01C25F00001112 | 2026-03-09 | 21625000.0 | 595625000.0 | 595625000.0 | DELIVERY ORDER | CA | ADD TIERED FUNDING. | 1
CONT_AWD_70B01C25F00001112_7014_70B01C23D00000010_7014 | 70B01C25F00001112 | 2026-03-10 | 629700000.0 | 1225325000.0 | 1225325000.0 | DELIVERY ORDER | CA | ADD ACCESS ROADS, ADD NEW VERTICAL BARRIER, PROVIDE NEW ALIGNMENT, AND ADD LGDS REQUIREMENTS. | 1
CONT_AWD_70B01C26F00000311_7014_70B01C26D00000012_7014 | 70B01C26F00000311 | 2026-04-26 | 847040000.0 | 847040000.0 | 847040000.0 | DELIVERY ORDER | CA | SW BORDER CONSTRUCTION - SAN DIEGO | 1
