-- S13 NSF new grants by fiscal year, month and awarding office, FY2022-FY2026 (does the drop survive the Oct-Nov 2025 shutdown and span divisions?)
FY | MO | OFFICE | NEW_AWARDS | NEW_OBLIG | ALL_OBLIG | DEOBLIGATED
2023 | 3 | INNOVATION AND TECHNOLOGY ECOSYSTEMS | 0 | 0.0 | 0.0 | 0.0
2026 | 1 | TRANSLATIONAL IMPACTS | 0 | 0.0 | 4395684.0 | 0.0
2026 | 1 | DIVISION OF MOLECULAR AND | 1 | 35718.0 | -1.0 | -35719.0
2025 | 10 | DIV OF CIVIL, MECHAN  MANUF INNOV | 0 | 0.0 | 0.0 | 0.0
2023 | 2 | OFC INTERNTL SCIENCE  ENG | 0 | 0.0 | 0.0 | 0.0
2023 | 5 | OFFICE OF EMERGING FRONTIERS AND | 0 | 0.0 | 1760435.0 | 0.0
2022 | 10 | OFC INTERNTL SCIENCE  ENG | 0 | 0.0 | 0.0 | 0.0
2026 | 2 | DIVISION OF ASTRONOMICAL SCIENCES | 0 | 0.0 | 0.0 | 0.0
2025 | 5 | DIV OF RESEARCH ON LEARNING IN | 1 | 299925.0 | 2503098.0 | -299925.0
2026 | 4 | NATL CTR FOR SCIENCE  ENGINEER STA | 0 | 0.0 | 0.0 | 0.0
2026 | 5 | DIVISION OF EQUITY FOR EXCELLENCE IN STEM | 0 | 0.0 | 0.0 | 0.0
2026 | 6 | DIV OF INTEGRATIVE ORGANISMAL SYS | 0 | 0.0 | -1351174.0 | -1351174.0
2025 | 10 | DIVISION OF PHYSICS | 0 | 0.0 | 171665.0 | 0.0
2026 | 3 | DIVISION OF ENVIRONMENTAL BIOLOGY | 0 | 0.0 | -1963534.0 | -1963534.0
2025 | 2 | INNOVATION AND TECHNOLOGY ECOSYSTEMS | 0 | 0.0 | 0.0 | 0.0
2026 | 3 | DIVISION OF GRADUATE EDUCATION | 0 | 0.0 | 274750.0 | 0.0
2022 | 7 | OFFICE OF EMERGING FRONTIERS AND | 0 | 0.0 | 599998.0 | 0.0
2023 | 8 | TECHNOLOGY FRONTIERS | 1 | 99715.0 | 99715.0 | 0.0
2025 | 10 | DIVISION OF MATERIALS RESEARCH | 0 | 0.0 | -178205.0 | -178205.0
2025 | 1 | OFC INTERNTL SCIENCE  ENG | 0 | 0.0 | 0.0 | 0.0
2022 | 12 | DIVISION OF GRADUATE EDUCATION | 0 | 0.0 | 4270924.0 | 0.0
2025 | 12 | SBE OFFICE OF MULTIDISCIPLINARY ACT | 0 | 0.0 | 0.0 | 0.0
2024 | 12 | DIVISION OF EQUITY FOR EXCELLENCE IN STEM | 0 | 0.0 | 698179.0 | 0.0
2025 | 4 | DIVISION OF EQUITY FOR EXCELLENCE IN STEM | 0 | 0.0 | -90698.0 | -918739.0
2024 | 3 | OFFICE OF INTEGRATIVE ACTIVITIES | 0 | 0.0 | 0.0 | 0.0
2023 | 10 | SBE OFFICE OF MULTIDISCIPLINARY ACT | 0 | 0.0 | -40600.0 | -40600.0
2022 | 1 | EMERGING FRONTIERS | 0 | 0.0 | 0.0 | 0.0
2025 | 10 | OFFICE OF POLAR PROGRAMS | 0 | 0.0 | 0.0 | 0.0
2025 | 3 | OFFICE OF EMERGING FRONTIERS AND | 0 | 0.0 | 786760.0 | 0.0
2022 | 8 | NATL CTR FOR SCIENCE  ENGINEER STA | 0 | 0.0 | 0.0 | 0.0
2025 | 8 | MPS MULTIDISCIPLINARY ACTIVITIES | 0 | 0.0 | 33706.0 | 0.0
2026 | 5 | OFFICE OF INTEGRATIVE ACTIVITIES | 0 | 0.0 | 423516.0 | 0.0
2024 | 10 | DIVISION OF EQUITY FOR EXCELLENCE IN STEM | 0 | 0.0 | 79529.0 | 0.0
2023 | 6 | MPS MULTIDISCIPLINARY ACTIVITIES | 0 | 0.0 | 0.0 | 0.0
2025 | 9 | OFFICE OF POLAR PROGRAMS | 0 | 0.0 | 6087759.0 | 0.0
2023 | 10 | DIV OF SOCIAL AND ECONOMIC SCIENCE | 0 | 0.0 | 474176.0 | 0.0
2025 | 5 | SBE OFFICE OF MULTIDISCIPLINARY ACT | 0 | 0.0 | 12202879.0 | -39375.0
2023 | 10 | DIV OF INTEGRATIVE ORGANISMAL SYS | 0 | 0.0 | 0.0 | 0.0
2026 | 10 | DIV OF INTEGRATIVE ORGANISMAL SYS | 0 | 0.0 | 0.0 | 0.0
2024 | 9 | TECHNOLOGY FRONTIERS | 1 | 322000.0 | 322000.0 | 0.0
2024 | 8 | EMERGING FRONTIERS | 0 | 0.0 | 0.0 | 0.0
2025 | 3 | INTEGRATIVE AND COLLABORATIVE | 1 | 77501.0 | 100000.0 | -77501.0
2023 | 10 | DIVISION OF ASTRONOMICAL SCIENCES | 0 | 0.0 | 0.0 | 0.0
2024 | 1 | OFC INTERNTL SCIENCE  ENG | 1 | 99652.0 | 99652.0 | 0.0
2024 | 6 | DIVISION OF ASTRONOMICAL SCIENCES | 1 | 142783.0 | 49818132.0 | -210719.0
2022 | 1 | DIVISION OF MOLECULAR AND | 41 | 22646435.0 | 23424626.0 | -532604.0
2022 | 6 | DIVISION OF CHEMICAL BIOENGINEERING | 80 | 24856945.0 | 25812027.0 | -299743.0
2023 | 9 | DIV OF INFOR  INTELLIGENT SYSTEMS | 98 | 58300439.0 | 65316505.0 | -1546051.0
2023 | 3 | DIVISION OF UNDERGRADUATE EDUCATION | 63 | 29407983.0 | 30053921.0 | -98926.0
2022 | 6 | DIVISION OF PHYSICS | 66 | 17213637.0 | 59714397.0 | -170000.0
2023 | 8 | OFFICE OF INTEGRATIVE ACTIVITIES | 35 | 28809612.0 | 65815312.0 | 0.0
2023 | 6 | DIVISION OF EARTH SCIENCES | 105 | 28810572.0 | 29647141.0 | -8040893.0
2022 | 5 | TRANSLATIONAL IMPACTS | 33 | 10407549.0 | 11716583.0 | -270443.0
2023 | 12 | DIV OF INTEGRATIVE ORGANISMAL SYS | 12 | 4526308.0 | 4673215.0 | -1567411.0
2024 | 9 | DIV OF INFOR  INTELLIGENT SYSTEMS | 66 | 34254633.0 | 42221228.0 | -810093.0
2022 | 5 | DIV OF BEHAVIORAL  COGNITIVE SCI | 28 | 2888478.0 | 3112716.0 | 0.0
2023 | 7 | TRANSLATIONAL IMPACTS | 84 | 28319220.0 | 56621171.0 | -2504492.0
2026 | 2 | DIVISION OF MATERIALS RESEARCH | 14 | 5841575.0 | 15360767.0 | -233189.0
2023 | 8 | DIV OF RESEARCH ON LEARNING IN | 45 | 32943484.0 | 61174322.0 | -1145703.0
2023 | 8 | DIV OF CIVIL, MECHAN  MANUF INNOV | 84 | 34536595.0 | 40453343.0 | -2272352.0
2022 | 8 | DIVISION OF GRADUATE EDUCATION | 92 | 77807430.0 | 286361123.0 | -24967.0
2022 | 9 | INTEGRATIVE AND COLLABORATIVE | 16 | 13093357.0 | 13323581.0 | -584669.0
2023 | 3 | DIV OF INFOR  INTELLIGENT SYSTEMS | 40 | 8382413.0 | 10041830.0 | -1172967.0
2022 | 2 | DIV OF COMPUTER  NETWORK SYSTEMS | 64 | 16988692.0 | 17451915.0 | -1401458.0
