IN19	GROUPS	MED_LOOSE	MED_STRICT	OVER50_LOOSE	OVER50_STRICT	MIN_STRICT	MAX_STRICT
all	317	0.5	0.0	25	17	0.0	94.1
Y	19	89.9	88.9	19	14	15.1	94.1
N	298	0.3	0.0	6	3	0.0	85.6
