PAT	FROM19_M	OTHERS_M	PCT19	OTHER_EINS	OTHER_SPELLINGS
%RESIDENTIAL PROG%	31.63	0.156	99.5	6	RESIDENTIAL PROGRAMS INC | RESIDENTIAL PROGRAMS | RESIDENTIAL PROGRAMS, INC. | RESIDENTIAL PROGRAMS INC.
%BF%TEL%	14.9	0.589	96.2	2	BF-TELECOM LLC
%CAMPAIGN CALLING%	11.16	0.0	100.0	0	
%NORTH AMERICAN FUL%	9.07	0.175	98.1	8	NORTH AMERICAN FULFILLMENT | NORTH AMERICAN FULLFILLMENT | NORTH AMERICAN FULFILLMENT INC.
%SIMPLE DATA%	8.71	0.0	100.0	0	
%UNITED SUPPORT%	8.32	0.0	100.0	0	
%ONE VOICE%	8.11	0.0	100.0	0	
%POLITICAL RESPONSE%	6.0	0.0	100.0	0	
%OPTICAL MARKETING%	4.1	0.0	100.0	0	
%CAPITAL VENDOR%	3.05	0.0	100.0	0	
%POLITICAL FUNDRAISING GROUP%	2.99	0.0	100.0	0	
%POLITICAL MARKETING SERV%	2.82	0.0	100.0	0	
%ACTION COMMITTEE MARKETING%	2.13	0.0	100.0	0	
%VENDOR SYSTEM%	1.74	0.0	100.0	0	
%UNIQ TECH%	1.74	0.0	100.0	0	
