K	PAY	PUR	PACS	ROWS_	M	D0	D1
total			11	4951	10.845		31-OCT-20
raw_all_rows			11	5900	12.749		31-OCT-20
by_payee	THE BOWLINE GROUP LLC	PHONE CALLS	2	74	2.85		31-MAY-24
by_payee	CLOUD DATA SERVICES	LEADS / PHONE LISTS(ESTIMATE)	5	898	2.252		
by_payee	WIRED4DATA	PHONEBANK IT/TECH SUPPORT(ESTIMATE)	5	870	1.468		
by_payee	STANDARD DATA SERVICES LLC	CAGING AND DATABASE SERVICES(ESTIMATE)	5	866	0.958		
by_payee	LAV SERVICES LLC	PHONEBANK PAYROLL SERVICES(ESTIMATE)	5	870	0.66		
by_payee	THE PROSPER GROUP	DIGITAL MEDIA	2	18	0.434	05-OCT-20	29-JUN-20
by_payee	TRIPLE STAR CONSULTING, LLC	MEDIA - RADIO	1	14	0.344	02-AUG-24	29-MAR-24
by_payee	PREVAILING STRATEGIES	TELEMARKETING - GOTV	2	11	0.343	10-OCT-20	30-OCT-20
by_payee	RIDGE INNOVATIVE	PHONEBANK LONG DISTANCE(ESTIMATE)	5	640	0.311		
by_payee	EYP CONSULTANTS LLC	PAYMENT PROCESSING(ESTIMATE)	5	425	0.253		
by_payee	LIVE TRANSFERS AND DONOR CREATION LLC	TELEPHONE FUNDRAISING	1	136	0.143		31-JAN-22
by_payee	NORTHSTAR MULTI-MEDIA	DIRECT MAILER	1	12	0.14	02-JUL-20	25-SEP-20
by_payee	FOX VALLEY DIGITAL	WEB ADS	1	18	0.065	01-AUG-20	15-SEP-20
by_payee	KAP PRINT	DIRECT MAIL	1	10	0.064	10-OCT-18	30-OCT-18
by_payee	ONE SPARK MARKETING	MEDIA PRODUCTION	1	17	0.058	01-JUL-20	28-SEP-20
by_payee	NORTH AMERICAN FULFILLMENT	DIRECT MAIL	1	10	0.057	13-AUG-20	31-OCT-20
by_payee	GENERAL CONSULTING SHOP LLC	MEDIA PLACEMENT	1	4	0.054	01-SEP-20	24-SEP-20
by_payee	AMERICAN STRATEGY AND CONSULTING, INC	MEDIA - VIDEO	1	7	0.054	02-AUG-24	28-FEB-24
by_payee	AUTHENTIC ML.AI	MEDIA: DIGITAL/TEXTING	1	1	0.05	23-SEP-24	23-SEP-24
by_payee	BILLBOARD CONNECTION, LLC	MEDIA - BILLBOARD	1	6	0.039	05-AUG-20	16-OCT-20
by_payee	CAVALIER DIRECT	DIRECT MAIL	1	1	0.033	28-SEP-20	28-SEP-20
by_payee	BEST SELLERS LLC	TEXT MESSAGE VOTER CONTACT	1	9	0.033		29-APR-22
by_payee	PROMOTED ENGAGEMENT	VOTER DATA	1	1	0.032	14-SEP-20	14-SEP-20
by_payee	VOICE BROADCASTING	GOTV PHONE CALLS	1	1	0.022	23-SEP-20	23-SEP-20
by_payee	KEELEN COMMUNICATIONS	DIGITAL AD	1	3	0.02	11-JUL-19	11-JUL-19
by_payee	MCGRAIL MEDIA	MEDIA PLACEMENT	1	1	0.019	23-SEP-20	23-SEP-20
by_payee	NORTH STAR MULTIMEDIA	DIRECT MAILER	1	3	0.015	04-OCT-22	04-OCT-22
by_payee	BILLBOARD CONNECTION LLC	BILLBOARD ADVERTISING	1	1	0.015	08-DEC-25	08-DEC-25
by_payee	REPUBLICAN ADS	DIGITAL ADS	1	2	0.011	25-FEB-26	26-FEB-26
by_payee	PR NEWSWIRE ASSOCIATION LLC	MEDIA PLACEMENT	1	2	0.01	10-OCT-20	23-SEP-20
by_payee	ROI MARKETING CENTERS	MEDIA	1	2	0.008	14-OCT-22	14-OCT-22
by_payee	POLITICAL COMMUNICATIONS ADVERTISING	MEDIA PLACEMENT	1	3	0.007	17-AUG-22	26-AUG-22
by_payee	FACEBOOK	WEB ADS	1	3	0.006	05-NOV-18	07-NOV-18
by_payee	AGGERWHIL, RAESHIB	MEDIA PLACEMENT	1	1	0.004	26-FEB-26	26-FEB-26
by_payee	OXFORD COMMUNICATIONS, LLC	TELEMAKRETING	1	1	0.004	09-APR-18	09-APR-18
by_payee	SPECTRUM REACH	MEDIA PLANCEMENT	1	1	0.004	29-OCT-18	29-OCT-18
by_payee	A&A CONSULTING GROUP	BILLBOARD SIGNAGE	1	2	0.002	21-OCT-22	21-OCT-22
by_payee	VERVEMAIL	ONLINE VOTER CONTACT	1	3	0.002	02-NOV-18	07-NOV-18
