TABLE_NAME	COLS
FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE	CMTE_ID,AMNDT_IND,RPT_TP,TRANSACTION_PGI,IMAGE_NUM,TRANSACTION_TP,ENTITY_TP,NAME,CITY,STATE,ZIP_CODE,EMPLOYER,OCCUPATION,TRANSACTION_DT,TRANSACTION_AMT,OTHER_ID,CAND_ID,TRAN_ID,FILE_NUM,MEMO_CD,IS_MEMO_TRANSACTION,MEMO_TEXT,SUB_ID,CYCLE
FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES	CAND_ID,CAND_NAME,SPE_ID,SPE_NAM,ELE_TYPE,CAN_OFFICE_STATE,CAN_OFFICE_DIS,CAN_OFFICE,CAND_PTY_AFF,EXP_AMO,EXP_DATE,AGG_AMO,SUP_OPP,PUR,PAY,FILE_NUM,AMNDT_IND,TRAN_ID,IMAGE_NUM,RECEIPT_DAT,FEC_ELECTION_YR,PREV_FILE_NUM,DISSEM_DT,CYCLE_FILE,IS_SUSPECT_FILING,IS_SUPERSEDED
