TABLE_SCHEMA	TABLE_NAME	COLS
TIMELINE	POLITICS__IRS527_8872_REPORTS	RIPPLE_TS,RIPPLE_GRAIN,RIPPLE_CLOCK,RIPPLE_SOURCE,FORM_TYPE,FORM_ID_NUMBER,PERIOD_BEGIN_DATE,PERIOD_END_DATE,INITIAL_REPORT_IND,AMENDED_REPORT_IND,FINAL_REPORT_IND,CHANGE_OF_ADDRESS_IND,ORGANIZATION_NAME,EIN,MAILING_ADDR1,MAILING_ADDR2,MAILING_CITY,MAILING_STATE,MAILING_ZIP,MAILING_ZIP_EXT,EMAIL_ADDRESS,ORG_FORMATION_DATE,CUSTODIAN_NAME,CUSTODIAN_ADDR1,CUSTODIAN_ADDR2,CUSTODIAN_CITY,CUSTODIAN_STATE,CUSTODIAN_ZIP,CUSTODIAN_ZIP_EXT,CONTACT_NAME,CONTACT_ADDR1,CONTACT_ADDR2,CONTACT_CITY,CONTACT_STATE,CONTACT_ZIP,CONTACT_ZIP_EXT,BUSINESS_ADDR1,BUSINESS_ADDR2,BUSINESS_CITY,BUSINESS_STATE,BUSINESS_ZIP,BUSINESS_ZIP_EXT,QTR_INDICATOR,MONTHLY_RPT_MONTH,PRE_ELECT_TYPE,PRE_OR_POST_ELECT_DATE,PRE_OR_POST_ELECT_STATE,SCHED_A_IND,TOTAL_SCHED_A,SCHED_B_IND,TOTAL_SCHED_B,INSERT_DATETIME,_INGESTED_AT,_SOURCE_RUN_ID
TIMELINE	FINANCE__FED_FEC_INDIV_CONTRIBUTIONS	RIPPLE_TS,RIPPLE_GRAIN,RIPPLE_CLOCK,RIPPLE_SOURCE,SUB_ID,CMTE_ID,DONOR_NAME,CITY,STATE,ZIP_CODE,EMPLOYER,OCCUPATION,TRANSACTION_DATE,TRANSACTION_AMT,TRANSACTION_TYPE,ENTITY_TYPE,OTHER_ID,MEMO_TEXT,MEMO_CD,IS_MEMO_TRANSACTION,CYCLE_FILE,_LOADED_AT
POLITICS	POLITICS__FED_FEC_PAC_SUMMARY	CMTE_ID,COMMITTEE_NAME,COMMITTEE_TYPE,COMMITTEE_DESIGNATION,FILING_FREQUENCY,TOTAL_RECEIPTS,TOTAL_DISBURSEMENTS,INDIVIDUAL_CONTRIBUTIONS,PAC_CONTRIBUTIONS,TRANSFERS_FROM_AFFILIATES,TRANSFERS_TO_AFFILIATES,CONTRIBUTIONS_TO_OTHER_COMMITTEES,INDEPENDENT_EXPENDITURES,CASH_BEGINNING_OF_PERIOD,CASH_CLOSE_OF_PERIOD,DEBTS_OWED_BY,NONFEDERAL_TRANSFERS_RECEIVED,COVERAGE_END_DATE,PCT_FROM_INDIVIDUALS,PCT_DISBURSED_TO_OTHERS,_LOADED_AT,_SOURCE_RUN_ID
POLITICS	POLITICS__IRS527_8872_REPORTS	FORM_TYPE,FORM_ID_NUMBER,PERIOD_BEGIN_DATE,PERIOD_END_DATE,INITIAL_REPORT_IND,AMENDED_REPORT_IND,FINAL_REPORT_IND,CHANGE_OF_ADDRESS_IND,ORGANIZATION_NAME,EIN,MAILING_ADDR1,MAILING_ADDR2,MAILING_CITY,MAILING_STATE,MAILING_ZIP,MAILING_ZIP_EXT,EMAIL_ADDRESS,ORG_FORMATION_DATE,CUSTODIAN_NAME,CUSTODIAN_ADDR1,CUSTODIAN_ADDR2,CUSTODIAN_CITY,CUSTODIAN_STATE,CUSTODIAN_ZIP,CUSTODIAN_ZIP_EXT,CONTACT_NAME,CONTACT_ADDR1,CONTACT_ADDR2,CONTACT_CITY,CONTACT_STATE,CONTACT_ZIP,CONTACT_ZIP_EXT,BUSINESS_ADDR1,BUSINESS_ADDR2,BUSINESS_CITY,BUSINESS_STATE,BUSINESS_ZIP,BUSINESS_ZIP_EXT,QTR_INDICATOR,MONTHLY_RPT_MONTH,PRE_ELECT_TYPE,PRE_OR_POST_ELECT_DATE,PRE_OR_POST_ELECT_STATE,SCHED_A_IND,TOTAL_SCHED_A,SCHED_B_IND,TOTAL_SCHED_B,INSERT_DATETIME,_INGESTED_AT,_SOURCE_RUN_ID
FINANCE	FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS	FORM_ID_NUMBER,SCHEDULE_ID,ORG_NAME,EIN,CONTRIBUTOR_NAME,CONTRIBUTOR_ADDR1,CONTRIBUTOR_ADDR2,CONTRIBUTOR_CITY,CONTRIBUTOR_STATE,CONTRIBUTOR_ZIP,CONTRIBUTOR_ZIP_EXT,CONTRIBUTOR_EMPLOYER,CONTRIBUTOR_OCCUPATION,CONTRIBUTION_AMOUNT,AGG_CONTRIBUTION_YTD,CONTRIBUTION_DATE,CONTRIBUTION_DATE_RAW,SOURCE_ID,_LOADED_AT
TIMELINE	POLITICS__FED_FEC_PAC_SUMMARY	RIPPLE_TS,RIPPLE_GRAIN,RIPPLE_CLOCK,RIPPLE_SOURCE,CMTE_ID,COMMITTEE_NAME,COMMITTEE_TYPE,COMMITTEE_DESIGNATION,FILING_FREQUENCY,TOTAL_RECEIPTS,TOTAL_DISBURSEMENTS,INDIVIDUAL_CONTRIBUTIONS,PAC_CONTRIBUTIONS,TRANSFERS_FROM_AFFILIATES,TRANSFERS_TO_AFFILIATES,CONTRIBUTIONS_TO_OTHER_COMMITTEES,INDEPENDENT_EXPENDITURES,CASH_BEGINNING_OF_PERIOD,CASH_CLOSE_OF_PERIOD,DEBTS_OWED_BY,NONFEDERAL_TRANSFERS_RECEIVED,COVERAGE_END_DATE,PCT_FROM_INDIVIDUALS,PCT_DISBURSED_TO_OTHERS,_LOADED_AT,_SOURCE_RUN_ID
FINANCE	FINANCE__FED_FEC_INDIV_CONTRIBUTIONS	SUB_ID,CMTE_ID,DONOR_NAME,CITY,STATE,ZIP_CODE,EMPLOYER,OCCUPATION,TRANSACTION_DATE,TRANSACTION_AMT,TRANSACTION_TYPE,ENTITY_TYPE,OTHER_ID,MEMO_TEXT,MEMO_CD,IS_MEMO_TRANSACTION,CYCLE_FILE,_LOADED_AT
