GRP	MATCHED_PAIRS	PCT_SAME_FIRST_NAME	PCT_FIRST_NAME_OR_PREFIX	PCT_SAME_CITY	PCT_FIRST_NAME_CONFLICT	PCT_CONFLICT_AND_DIFF_CITY
	4512	98.1	98.5	98.1	1.3	0.1
LESA	1421	98.1	98.3	98.6	1.3	0.1
all 13	3091	98.1	98.6	97.9	1.3	0.1
