-- S11 USAspending R2: every action on the 34 awards tagged Ivanti EPMM/MobileIron or post-2023 Connect Secure, including actions whose text never says Ivanti
CONTRACT_AWARD_UNIQUE_KEY | AWARD_ID_PIID | ACTION_DATE | FEDERAL_ACTION_OBLIGATION | TOTAL_DOLLARS_OBLIGATED | CURRENT_TOTAL_VALUE_OF_AWARD | AWARDING_SUB_AGENCY_NAME | RECIPIENT_NAME | DESCR | PERIOD_OF_PERFORMANCE_START_DATE | PERIOD_OF_PERFORMANCE_CURRENT_END_DATE
CONT_AWD_1305M323PNRMJ0179_1330_-NONE-_-NONE- | 1305M323PNRMJ0179 | 2023-03-13 | 8798.74 | 8798.74 | 8798.74 | National Oceanic and Atmospheric Administration | EMPOWER SOLUTIONS LLC | SERVICES, NON-PERSONAL, FOR PULSE SECURE MAINTENANCE AND SUPPORT | 2023-03-20 | 2024-03-19
CONT_AWD_140D0420F0074_1406_NNG15SD06B_8000 | 140D0420F0074 | 2019-12-20 | 294350.64 | 647376.92 | 647376.92 | Departmental Offices | 4 STAR TECHNOLOGIES, INC. | PULSE SECURE  RENEWAL AND ADD. LICENSES | 2019-12-20 | 2020-12-21
CONT_AWD_140D0420F0074_1406_NNG15SD06B_8000 | 140D0420F0074 | 2020-04-03 | 60264.99 | 647376.92 | 647376.92 | Departmental Offices | 4 STAR TECHNOLOGIES, INC. | PULSE SECURE  RENEWAL AND ADD. LICENSES | 2019-12-20 | 2020-12-21
CONT_AWD_140D0420F0074_1406_NNG15SD06B_8000 | 140D0420F0074 | 2020-09-22 | 69289.35 | 647376.92 | 647376.92 | Departmental Offices | 4 STAR TECHNOLOGIES, INC. | PULSE SECURE  RENEWAL AND ADD. LICENSES | 2019-12-20 | 2020-12-21
CONT_AWD_140D0420F0074_1406_NNG15SD06B_8000 | 140D0420F0074 | 2020-12-17 | 111735.97 | 647376.92 | 647376.92 | Departmental Offices | 4 STAR TECHNOLOGIES, INC. | PULSE SECURE  RENEWAL AND ADD. LICENSES | 2019-12-20 | 2021-12-21
CONT_AWD_140D0420F0074_1406_NNG15SD06B_8000 | 140D0420F0074 | 2021-11-16 | 0.0 | 647376.92 | 647376.92 | Departmental Offices | 4 STAR TECHNOLOGIES, INC. | PULSE SECURE  RENEWAL AND ADD. LICENSES | 2019-12-20 | 2021-12-21
CONT_AWD_140D0420F0074_1406_NNG15SD06B_8000 | 140D0420F0074 | 2021-11-18 | 111735.97 | 647376.92 | 647376.92 | Departmental Offices | 4 STAR TECHNOLOGIES, INC. | PULSE SECURE  RENEWAL AND ADD. LICENSES | 2019-12-20 | 2022-12-21
CONT_AWD_140D0420F0074_1406_NNG15SD06B_8000 | 140D0420F0074 | 2023-05-15 | 0.0 | 647376.92 | 647376.92 | Departmental Offices | 4 STAR TECHNOLOGIES, INC. | PULSE SECURE RENEWAL AND ADD. LICENSES | 2019-12-20 | 2022-12-21
CONT_AWD_140D0423F0112_1406_NNG15SD06B_8000 | 140D0423F0112 | 2022-12-08 | 113387.65 | 113387.65 | 113387.65 | Departmental Offices | 4 STAR TECHNOLOGIES, INC. | PULSE SECURE MAINTAIN/CONTINUED SUPPORT | 2022-12-08 | 2023-12-21
CONT_AWD_140D0423F0112_1406_NNG15SD06B_8000 | 140D0423F0112 | 2024-07-26 | 0.0 | 113387.65 | 113387.65 | Departmental Offices | 4 STAR TECHNOLOGIES, INC. | PULSE SECURE MAINTAIN/CONTINUED SUPPORT | 2022-12-08 | 2023-12-21
CONT_AWD_140D0424F0144_1406_NNG15SC73B_8000 | 140D0424F0144 | 2023-12-15 | 289116.03 | 257616.03 | 257616.03 | Departmental Offices | FOUR LLC | IVANTI (PULSE SECURE)FOLLOW-ON SUPPORT | 2023-12-15 | 2024-12-14
CONT_AWD_140D0424F0144_1406_NNG15SC73B_8000 | 140D0424F0144 | 2025-02-03 | -31500.0 | 257616.03 | 257616.03 | Departmental Offices | FOUR LLC | IVANTI (PULSE SECURE)FOLLOW-ON SUPPORT | 2023-12-15 | 2025-02-03
CONT_AWD_140D0424F0144_1406_NNG15SC73B_8000 | 140D0424F0144 | 2025-05-01 | 0.0 | 257616.03 | 257616.03 | Departmental Offices | FOUR LLC | IVANTI (PULSE SECURE)FOLLOW-ON SUPPORT | 2023-12-15 | 2025-02-03
CONT_AWD_140D0424F0212_1406_NNG15SC71B_8000 | 140D0424F0212 | 2024-01-16 | 32973.39 | 32973.39 | 32973.39 | Departmental Offices | FCN, INC. | PULSE SECURE FOR PBGC | 2024-02-05 | 2025-02-04
CONT_AWD_140D0424F0212_1406_NNG15SC71B_8000 | 140D0424F0212 | 2024-01-17 | 0.0 | 32973.39 | 32973.39 | Departmental Offices | FCN, INC. | PULSE SECURE FOR PBGC | 2024-02-05 | 2025-02-04
CONT_AWD_140D0425F0204_1406_NNG15SC71B_8000 | 140D0425F0204 | 2025-01-30 | 48690.24 | 48690.24 | 48690.24 | Departmental Offices | FCN, INC. | PULSE SECURE | 2025-02-05 | 2026-02-04
CONT_AWD_140D0425F0204_1406_NNG15SC71B_8000 | 140D0425F0204 | 2025-03-18 | 0.0 | 48690.24 | 48690.24 | Departmental Offices | FCN, INC. | PULSE SECURE | 2025-02-05 | 2025-03-18
CONT_AWD_140D0425F0204_1406_NNG15SC71B_8000 | 140D0425F0204 | 2025-09-18 | 0.0 | 48690.24 | 48690.24 | Departmental Offices | FCN, INC. | PULSE SECURE | 2025-02-05 | 2025-03-18
CONT_AWD_16PBGC23F0010_1665_NNG15SC71B_8000 | 16PBGC23F0010 | 2023-01-27 | 27345.05 | 27345.05 | 27345.05 | Pension Benefit Guaranty Corporation | FCN, INC. | PULSE SECURE LICENSE & MAINTENANCE | 2023-01-31 | 2024-01-30
CONT_AWD_16PBGC23F0010_1665_NNG15SC71B_8000 | 16PBGC23F0010 | 2023-06-15 | 0.0 | 27345.05 | 27345.05 | Pension Benefit Guaranty Corporation | FCN, INC. | PULSE SECURE MAINTENANCE | 2023-01-31 | 2024-01-30
