-- S07 OWID homicide: full extract (4,912 rows) for local time and peer math
ENTITY | CODE | YEAR | HOMICIDE_RATE_PER_100_000_POPULATION | WORLD_REGION_ACCORDING_TO_OWID
Afghanistan | AFG | 2009 | 4.05955 | Asia
Afghanistan | AFG | 2010 | 3.4754522 | Asia
Afghanistan | AFG | 2011 | 4.1945353 | Asia
Afghanistan | AFG | 2012 | 6.3743386 | Asia
Afghanistan | AFG | 2015 | 9.952186 | Asia
Afghanistan | AFG | 2016 | 6.6799974 | Asia
Afghanistan | AFG | 2017 | 6.7920213 | Asia
Afghanistan | AFG | 2018 | 6.733248 | Asia
Afghanistan | AFG | 2019 | 7.163967 | Asia
Afghanistan | AFG | 2020 | 6.578109 | Asia
Afghanistan | AFG | 2021 | 4.0324583 | Asia
Africa (UN) | UN_AFR | 2000 | 13.5672455 | 
Africa (UN) | UN_AFR | 2001 | 13.506843 | 
Africa (UN) | UN_AFR | 2002 | 13.432208 | 
Africa (UN) | UN_AFR | 2003 | 13.039883 | 
Africa (UN) | UN_AFR | 2004 | 12.79253 | 
Africa (UN) | UN_AFR | 2005 | 12.703902 | 
Africa (UN) | UN_AFR | 2006 | 12.772951 | 
Africa (UN) | UN_AFR | 2007 | 12.561856 | 
Africa (UN) | UN_AFR | 2008 | 12.522817 | 
Africa (UN) | UN_AFR | 2009 | 12.406809 | 
Africa (UN) | UN_AFR | 2010 | 12.285972 | 
Africa (UN) | UN_AFR | 2011 | 12.3562155 | 
Africa (UN) | UN_AFR | 2012 | 12.412483 | 
Africa (UN) | UN_AFR | 2013 | 12.413667 | 
Africa (UN) | UN_AFR | 2014 | 12.526954 | 
Africa (UN) | UN_AFR | 2015 | 12.4050865 | 
Africa (UN) | UN_AFR | 2016 | 12.379274 | 
Africa (UN) | UN_AFR | 2017 | 12.257181 | 
Africa (UN) | UN_AFR | 2018 | 11.756515 | 
Africa (UN) | UN_AFR | 2019 | 11.47677 | 
Africa (UN) | UN_AFR | 2020 | 11.048939 | 
Africa (UN) | UN_AFR | 2021 | 11.295057 | 
Africa (UN) | UN_AFR | 2022 | 11.187279 | 
Africa (UN) | UN_AFR | 2023 | 10.802414 | 
Africa (UN) | UN_AFR | 2024 | 10.5003195 | 
Albania | ALB | 1992 | 3.9603949 | Europe
Albania | ALB | 1993 | 5.8270354 | Europe
Albania | ALB | 1994 | 3.4256952 | Europe
Albania | ALB | 1995 | 7.948279 | Europe
Albania | ALB | 1996 | 8.380375 | Europe
Albania | ALB | 1997 | 41.304665 | Europe
Albania | ALB | 1998 | 20.559898 | Europe
Albania | ALB | 1999 | 16.684462 | Europe
Albania | ALB | 2000 | 4.1375203 | Europe
Albania | ALB | 2001 | 6.9886894 | Europe
Albania | ALB | 2002 | 6.891948 | Europe
Albania | ALB | 2003 | 5.3237762 | Europe
Albania | ALB | 2004 | 4.2276373 | Europe
Albania | ALB | 2005 | 5.006243 | Europe
Albania | ALB | 2006 | 3.1139286 | Europe
Albania | ALB | 2007 | 3.4735007 | Europe
Albania | ALB | 2008 | 3.1073225 | Europe
Albania | ALB | 2009 | 2.870187 | Europe
Albania | ALB | 2010 | 4.063206 | Europe
Albania | ALB | 2011 | 4.8772044 | Europe
Albania | ALB | 2012 | 5.3951817 | Europe
Albania | ALB | 2013 | 4.264726 | Europe
Albania | ALB | 2014 | 4.614723 | Europe
Albania | ALB | 2015 | 2.2079382 | Europe
(4912 rows; csv has all)
