-- S08 Combined air emissions: program x year, rows, facilities, GHG rows
PGM_SYS_ACRNM | REPORTING_YEAR | N | REGS | GHG_ROWS | GHG_POLLUTANTS | GHG_EXAMPLE
CAMDBS | 2015.0 | 3651 | 1196 | 0 | 0 | 
CAMDBS | 2016.0 | 3594 | 1177 | 0 | 0 | 
CAMDBS | 2017.0 | 3540 | 1160 | 0 | 0 | 
CAMDBS | 2018.0 | 3507 | 1149 | 0 | 0 | 
CAMDBS | 2019.0 | 3429 | 1124 | 0 | 0 | 
CAMDBS | 2020.0 | 3360 | 1103 | 0 | 0 | 
CAMDBS | 2021.0 | 3303 | 1084 | 0 | 0 | 
CAMDBS | 2022.0 | 3261 | 1071 | 0 | 0 | 
CAMDBS | 2023.0 | 3207 | 1053 | 0 | 0 | 
CAMDBS | 2024.0 | 3168 | 1041 | 0 | 0 | 
E-GGRT | 2015.0 | 22739 | 7951 | 0 | 0 | 
E-GGRT | 2016.0 | 21735 | 7464 | 0 | 0 | 
E-GGRT | 2017.0 | 21496 | 7381 | 0 | 0 | 
E-GGRT | 2018.0 | 21889 | 7501 | 0 | 0 | 
E-GGRT | 2019.0 | 21897 | 7505 | 0 | 0 | 
E-GGRT | 2020.0 | 21756 | 7473 | 0 | 0 | 
E-GGRT | 2021.0 | 21658 | 7448 | 0 | 0 | 
E-GGRT | 2022.0 | 21540 | 7403 | 0 | 0 | 
E-GGRT | 2023.0 | 21345 | 7332 | 0 | 0 | 
EIS | 2008.0 | 1803424 | 85993 | 0 | 0 | 
EIS | 2011.0 | 1885266 | 95731 | 0 | 0 | 
EIS | 2014.0 | 1807383 | 84546 | 0 | 0 | 
EIS | 2017.0 | 1899146 | 84721 | 0 | 0 | 
EIS | 2020.0 | 1987891 | 78217 | 46332 | 4 | 
TRIS | 2015.0 | 82865 | 22334 | 0 | 0 | 
TRIS | 2016.0 | 81606 | 22174 | 0 | 0 | 
TRIS | 2017.0 | 81750 | 22049 | 0 | 0 | 
TRIS | 2018.0 | 81753 | 22283 | 0 | 0 | 
TRIS | 2019.0 | 80560 | 22182 | 0 | 0 | 
TRIS | 2020.0 | 78259 | 21748 | 0 | 0 | 
TRIS | 2021.0 | 77843 | 21670 | 0 | 0 | 
TRIS | 2022.0 | 79580 | 22037 | 0 | 0 | 
TRIS | 2023.0 | 77990 | 21751 | 0 | 0 | 
TRIS | 2024.0 | 76435 | 21348 | 0 | 0 | 
(34 rows; csv has all)
