-- S19 Federal vs non-federal: FRS federal agency joined to ECHO active facilities, by department and program mix, chronic noncompliance and enforcement
DEPT | MAJ | AIR | WAT | RCRA | N | CHRONIC8 | ANY_NC | SNC_LABEL | FORMAL | WITH_FORMAL | PENALTIES | INSP
Environmental Protection Agency | False | True | False | True | 4 | 1 | 2 | 0 | 0 | 0 | 0.0 | 4
Defense | False | True | False | True | 118 | 2 | 9 | 1 | 6 | 5 | 54099.0 | 48
Environmental Protection Agency | False | False | False | True | 49 | 1 | 6 | 0 | 0 | 0 | 0.0 | 13
Commerce | False | True | False | False | 5 | 0 | 1 | 1 | 0 | 0 | 0.0 | 2
Homeland Security | False | False | False | False | 24 | 1 | 2 | 1 | 0 | 0 | 0.0 | 0
Postal Service | False | True | True | True | 17 | 3 | 6 | 0 | 1 | 1 | 11000.0 | 12
Defense | True | False | True | True | 13 | 3 | 5 | 1 | 3 | 3 | 240250.0 | 106
Interior | False | True | True | True | 6 | 0 | 1 | 0 | 0 | 0 | 0.0 | 6
Homeland Security | False | False | True | True | 29 | 2 | 9 | 1 | 1 | 1 | 0.0 | 92
Justice | False | True | False | False | 11 | 0 | 1 | 0 | 0 | 0 | 0.0 | 9
Homeland Security | True | True | False | False | 1 | 0 | 0 | 0 | 0 | 0 | 0.0 | 5
Undetermined or Unknown Agency Affiliation | False | True | True | True | 1 | 0 | 1 | 0 | 0 | 0 | 0.0 | 1
Transportation | False | True | False | True | 11 | 0 | 0 | 0 | 0 | 0 | 0.0 | 1
Agriculture | False | True | False | False | 5 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0
General Services Administration | False | False | True | False | 2 | 1 | 2 | 0 | 0 | 0 | 0.0 | 6
Commerce | False | True | True | True | 1 | 1 | 1 | 1 | 0 | 0 | 0.0 | 6
Energy | True | True | True | False | 2 | 1 | 2 | 0 | 1 | 1 | 0.0 | 10
Veterans Affairs | True | True | False | True | 5 | 1 | 3 | 1 | 2 | 2 | 4500.0 | 19
General Services Administration | True | True | False | True | 1 | 0 | 1 | 0 | 1 | 1 | 7000.0 | 4
Interior | True | True | True | True | 3 | 0 | 1 | 0 | 0 | 0 | 0.0 | 8
Commerce | False | True | False | True | 2 | 0 | 1 | 0 | 0 | 0 | 0.0 | 1
Transportation | False | False | True | False | 1 | 0 | 1 | 0 | 0 | 0 | 0.0 | 0
State | True | False | True | False | 1 | 1 | 1 | 1 | 4 | 1 | 0.0 | 3
(not federal) | False | False | False | False | 126368 | 18990 | 52628 | 3178 | 30035 | 16222 | 417418096.0 | 18648
(not federal) | False | False | True | False | 448889 | 20823 | 57041 | 11941 | 13706 | 9693 | 258292098.0 | 202041
Agriculture | False | False | False | False | 642 | 80 | 270 | 10 | 39 | 27 | 0.0 | 24
Agriculture | False | False | True | False | 61 | 3 | 15 | 0 | 3 | 2 | 1237.0 | 39
Veterans Affairs | False | True | True | True | 35 | 2 | 12 | 0 | 4 | 2 | 11000.0 | 98
Homeland Security | False | True | False | True | 18 | 0 | 0 | 0 | 2 | 1 | 0.0 | 5
Defense | False | False | True | True | 172 | 14 | 51 | 6 | 10 | 9 | 153884.0 | 158
Justice | False | False | True | True | 9 | 2 | 2 | 0 | 0 | 0 | 0.0 | 7
Federal Reserve System | False | False | False | True | 4 | 0 | 0 | 0 | 0 | 0 | 0.0 | 1
Energy | False | False | False | True | 73 | 0 | 1 | 0 | 1 | 1 | 28010.0 | 8
Commerce | False | False | True | True | 4 | 0 | 2 | 0 | 0 | 0 | 0.0 | 4
Justice | False | False | False | False | 25 | 3 | 5 | 0 | 1 | 1 | 76497.0 | 0
Energy | False | True | True | True | 6 | 1 | 4 | 0 | 0 | 0 | 0.0 | 22
Environmental Protection Agency | False | True | False | False | 2 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0
(208 rows; csv has all)
