-- S05 Superfund boundaries: units x NPL status x program, sites, area, dates, federal flag
GIS_AREA_UNITS | NPL_STATUS_CODE | EPA_PROGRAM | N | SITES | FED | AREA | MED_AREA | MAX_AREA | AREA0 | LC0 | LC1 | OC0 | OC1 | FTYPES
Acres | F | Superfund Removal | 1 | 1 | 0 | 29.86912874730989 | 29.86912874730989 | 29.86912874730989 | 0 | 2024-06-30 00:00:00 | 2024-06-30 00:00:00 | 2016-12-31 00:00:00 | 2016-12-31 00:00:00 | 1
Acres | A | Superfund Remedial | 1 | 1 | 0 | 0.14282025 | 0.14282025 | 0.14282025 | 0 | 2021-05-25 00:00:00 | 2021-05-25 00:00:00 | 2021-05-25 00:00:00 | 2021-05-25 00:00:00 | 1
Acres | F | Superfund Site Assessment | 1 | 1 | 0 | 4.50344415 | 4.50344415 | 4.50344415 | 0 | 2024-03-20 00:00:00 | 2024-03-20 00:00:00 | 2019-05-21 00:00:00 | 2019-05-21 00:00:00 | 1
Acres | D | Superfund Removal | 1 | 1 | 0 | 0.5903813986178155 | 0.5903813986178155 | 0.5903813986178155 | 0 | 2024-04-30 15:02:38 | 2024-04-30 15:02:38 | 2023-04-24 15:56:46 | 2023-04-24 15:56:46 | 1
Acres | D |  | 1 | 1 | 0 | 22.8307931 | 22.8307931 | 22.8307931 | 0 | 2024-04-05 00:00:00 | 2024-04-05 00:00:00 | 2007-02-01 00:00:00 | 2007-02-01 00:00:00 | 1
Square Miles | D | Superfund Removal | 1 | 1 | 0 | 0.000300179507564089 | 0.000300179507564089 | 0.000300179507564089 | 0 | 2021-06-23 00:00:00 | 2021-06-23 00:00:00 | 2009-01-01 00:00:00 | 2009-01-01 00:00:00 | 1
Acres | D | Michigan LUST | 1 | 1 | 0 | 54.07515321299834 | 54.07515321299834 | 54.07515321299834 | 0 | 2021-01-21 18:31:54 | 2021-01-21 18:31:54 | 2021-01-20 17:47:16 | 2021-01-20 17:47:16 | 1
ACRES | F | Superfund Remedial | 1 | 1 | 0 | 6.41585611 | 6.41585611 | 6.41585611 | 0 | 2022-08-04 00:00:00 | 2022-08-04 00:00:00 | 2019-05-22 00:00:00 | 2019-05-22 00:00:00 | 1
 | R |  | 1 | 1 | 0 |  |  |  | 1 | 2025-05-29 12:22:47 | 2025-05-29 12:22:47 |  |  | 1
Acres | N | Superfund | 1 | 1 | 1 | 6580.672044585779 | 6580.672044585779 | 6580.672044585779 | 0 | 2024-04-30 15:02:38 | 2024-04-30 15:02:38 | 2023-04-24 15:56:46 | 2023-04-24 15:56:46 | 1
(36 rows; csv has all)
