-- S02 GHGRP facility: year x reporting status, facilities, duplicate facility-years, FRS fill, suppliers
REPORTING_YEAR | REPORTING_STATUS | N | FAC | FRS_NULL | FRS_IDS | SUPPLIER_ROWS | PARENT_BLANK
2010 |  | 6873 | 6873 | 22 | 6732 | 725 | 373
2011 |  | 8062 | 8062 | 83 | 7641 | 805 | 162
2012 |  | 8402 | 8402 | 103 | 7890 | 976 | 102
2013 | STOPPED_REPORTING_UNKNOWN_REASON | 14 | 14 | 0 | 14 | 0 | 0
2013 | STOPPED_REPORTING_VALID_REASON | 354 | 354 | 6 | 324 | 0 | 4
2013 |  | 8499 | 8499 | 72 | 8018 | 981 | 99
2014 | STOPPED_REPORTING_UNKNOWN_REASON | 40 | 40 | 0 | 40 | 0 | 1
2014 | STOPPED_REPORTING_VALID_REASON | 478 | 478 | 19 | 438 | 0 | 4
2014 |  | 8734 | 8734 | 88 | 8229 | 1001 | 134
2015 | STOPPED_REPORTING_UNKNOWN_REASON | 23 | 23 | 0 | 23 | 0 | 0
2015 | STOPPED_REPORTING_VALID_REASON | 772 | 772 | 2 | 728 | 0 | 8
2015 |  | 8590 | 8590 | 595 | 7869 | 1003 | 190
2016 | STOPPED_REPORTING_UNKNOWN_REASON | 34 | 34 | 2 | 32 | 0 | 0
2016 | STOPPED_REPORTING_VALID_REASON | 1636 | 1636 | 57 | 1519 | 0 | 15
2016 |  | 8220 | 8220 | 559 | 7448 | 1004 | 94
2017 | STOPPED_REPORTING_UNKNOWN_REASON | 68 | 68 | 2 | 64 | 0 | 0
2017 | STOPPED_REPORTING_VALID_REASON | 1907 | 1907 | 67 | 1761 | 0 | 17
2017 |  | 8144 | 8144 | 909 | 7027 | 1012 | 3
2018 | STOPPED_REPORTING_UNKNOWN_REASON | 51 | 51 | 3 | 47 | 0 | 1
2018 | STOPPED_REPORTING_VALID_REASON | 2062 | 2062 | 75 | 1889 | 0 | 22
2018 |  | 8268 | 8268 | 949 | 7110 | 1006 | 0
2019 | STOPPED_REPORTING_UNKNOWN_REASON | 87 | 87 | 7 | 79 | 0 | 4
2019 | STOPPED_REPORTING_VALID_REASON | 2235 | 2235 | 85 | 2032 | 0 | 27
2019 |  | 8283 | 8283 | 967 | 7103 | 1009 | 1
2020 | STOPPED_REPORTING_UNKNOWN_REASON | 81 | 81 | 8 | 72 | 0 | 4
2020 | STOPPED_REPORTING_VALID_REASON | 2441 | 2441 | 106 | 2202 | 0 | 30
2020 |  | 8248 | 8248 | 958 | 7077 | 1016 | 0
2021 | STOPPED_REPORTING_UNKNOWN_REASON | 95 | 95 | 8 | 85 | 0 | 4
2021 | STOPPED_REPORTING_VALID_REASON | 2650 | 2650 | 150 | 2363 | 0 | 31
2021 |  | 8213 | 8213 | 973 | 7028 | 996 | 2
2022 | STOPPED_REPORTING_UNKNOWN_REASON | 116 | 116 | 19 | 94 | 0 | 4
2022 | STOPPED_REPORTING_VALID_REASON | 2869 | 2869 | 221 | 2496 | 0 | 31
2022 |  | 8175 | 8175 | 1003 | 6971 | 1008 | 0
2023 | STOPPED_REPORTING_UNKNOWN_REASON | 148 | 148 | 40 | 104 | 0 | 3
2023 | STOPPED_REPORTING_VALID_REASON | 3026 | 3026 | 260 | 2612 | 0 | 32
2023 |  | 8107 | 8107 | 1003 | 6905 | 1004 | 1
(36 rows; csv has all)
