db,schema,table,column,ordinal,dtype,charlen,numprec,numscale,nullable,comment
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,RUN_ID,1,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,A_SCHEMA,2,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,A_TABLE,3,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,A_COLUMN,4,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,B_SCHEMA,5,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,B_TABLE,6,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,B_COLUMN,7,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,KEY_TYPE,8,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,A_DISTINCT,9,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,B_DISTINCT,10,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,OVERLAP_COUNT,11,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,OVERLAP_RATE,12,FLOAT,,,,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,ALREADY_IN_EDGES,13,BOOLEAN,,,,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,RECOMMENDATION,14,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,REASON,15,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,AUDITED_AT,16,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,RUN_ID,1,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,SCHEMA_NAME,2,TEXT,16777216,,,YES,
