db,schema,table,type,row_count,bytes,created,last_altered,comment
LIBRARY_STAGING,CORE,STG_EPSTEIN__COMPLIANCE_EVENTS,VIEW,,,2026-06-12 13:08:48.870000-07:00,2026-06-12 13:08:49.159000-07:00,
LIBRARY_STAGING,CORE,STG_EPSTEIN__EFTA_OBLIGATIONS,VIEW,,,2026-06-12 13:08:48.893000-07:00,2026-06-12 13:08:49.172000-07:00,
LIBRARY_STAGING,CORE,STG_EPSTEIN__LIBRARY_MANIFEST,VIEW,,,2026-06-12 13:08:41.846000-07:00,2026-06-12 13:08:42.195000-07:00,
LIBRARY_STAGING,CORE,STG_EPSTEIN__REPLAY_LINKS,VIEW,,,2026-06-12 13:08:41.846000-07:00,2026-06-12 13:08:42.795000-07:00,
LIBRARY_STAGING,CORE,STG_EPSTEIN__WAYBACK_CAPTURES,VIEW,,,2026-06-12 13:08:41.849000-07:00,2026-06-12 13:08:42.176000-07:00,
LIBRARY_STAGING,CORE,STG_LEIE__EXCLUSIONS,VIEW,,,2026-06-12 13:08:42.720000-07:00,2026-06-12 13:08:43.033000-07:00,
LIBRARY_STAGING,CORE,STG_META__SOURCE_REGISTRY,VIEW,,,2026-06-12 13:08:42.399000-07:00,2026-06-12 13:08:42.720000-07:00,
LIBRARY_STAGING,CORE,STG_USASPENDING__SUBAWARDS,VIEW,,,2026-06-12 13:08:42.882000-07:00,2026-06-12 13:08:43.199000-07:00,
LIBRARY_STAGING,DBT_CROGERS,FACET_VOCAB_DOMAIN,BASE TABLE,23,1536,2026-07-29 10:40:49.532000-07:00,2026-07-29 10:40:54.218000-07:00,
LIBRARY_STAGING,DBT_CROGERS,FACET_VOCAB_JOINKEY,BASE TABLE,21,1024,2026-07-29 10:40:49.181000-07:00,2026-07-29 10:40:54.057000-07:00,
LIBRARY_STAGING,DBT_CROGERS,FACET_VOCAB_JURISDICTION,BASE TABLE,5,1024,2026-07-29 10:40:50.040000-07:00,2026-07-29 10:40:54.305000-07:00,
LIBRARY_STAGING,DBT_CROGERS,FACET_VOCAB_THEME,BASE TABLE,10,1024,2026-07-29 10:40:49.442000-07:00,2026-07-29 10:40:53.769000-07:00,
LIBRARY_STAGING,DBT_CROGERS,INT_FED_REVOLVINGDOOR_PROJECT__POSITIONS_SECTORS,VIEW,,,2026-07-30 12:10:05.463000-07:00,2026-07-30 12:10:05.966000-07:00,
LIBRARY_STAGING,DBT_CROGERS,INT_FED_USASPENDING__AWARDS,VIEW,,,2026-07-30 11:48:51.354000-07:00,2026-07-30 11:48:51.855000-07:00,
LIBRARY_STAGING,DBT_CROGERS,INT_OPEN_PAYMENTS_ALL_YEARS,VIEW,,,2026-07-30 11:48:52.185000-07:00,2026-07-30 11:48:52.947000-07:00,
LIBRARY_STAGING,DBT_CROGERS,INT_SANCTIONED_VESSELS,VIEW,,,2026-07-30 11:48:54.595000-07:00,2026-07-30 11:48:54.990000-07:00,
LIBRARY_STAGING,DBT_CROGERS,NICKNAME_MAP,BASE TABLE,104,2048,2026-07-29 10:40:49.844000-07:00,2026-07-29 10:40:54.621000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_CA_LOBBY_COVER__FILINGS,VIEW,,,2026-08-09 21:28:07.410000-07:00,2026-08-09 21:28:07.764000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_CA_LOBBY__AMENDMENTS,VIEW,,,2026-08-09 21:28:08.143000-07:00,2026-08-09 21:28:08.471000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_CA_LOBBY__CHG_LOG,VIEW,,,2026-08-09 21:30:16.529000-07:00,2026-08-09 21:30:16.817000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_CA_LOBBY__CONTRIBUTIONS,VIEW,,,2026-08-09 21:28:08.148000-07:00,2026-08-09 21:28:08.371000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_CA_LOBBY__COVER2,VIEW,,,2026-08-09 21:28:08.177000-07:00,2026-08-09 21:28:08.423000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_CA_LOBBY__EMPLOYER,VIEW,,,2026-08-09 21:28:08.142000-07:00,2026-08-09 21:28:08.445000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_CA_LOBBY__EMPLOYER_FIRMS,VIEW,,,2026-08-09 21:28:08.169000-07:00,2026-08-09 21:28:08.405000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_CA_LOBBY__EMP_LOBBYIST,VIEW,,,2026-08-09 21:28:07.419000-07:00,2026-08-09 21:28:07.751000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_CA_LOBBY__FIRM,VIEW,,,2026-08-09 21:28:07.925000-07:00,2026-08-09 21:28:08.169000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_CA_LOBBY__FIRM_EMPLOYER,VIEW,,,2026-08-09 21:28:08.031000-07:00,2026-08-09 21:28:08.296000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_CA_LOBBY__FIRM_LOBBYIST,VIEW,,,2026-08-09 21:28:08.148000-07:00,2026-08-09 21:28:08.377000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_BIA_TRIBAL_GEO__BIA_GEOSPATIAL_FEATURES,VIEW,,,2026-07-30 11:50:59.362000-07:00,2026-07-30 11:50:59.732000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_BLS_QCEW__RECORDS,VIEW,,,2026-07-30 11:51:02.830000-07:00,2026-07-30 11:51:03.181000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_BOP_STATISTICS__RECORDS,VIEW,,,2026-07-30 11:51:02.943000-07:00,2026-07-30 11:51:03.230000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CBP_ENCOUNTERS__RECORDS,VIEW,,,2026-07-30 11:51:02.949000-07:00,2026-07-30 11:51:03.285000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CDC_ANXIETY_DEPRESSION__RECORDS,VIEW,,,2026-07-30 11:51:04.576000-07:00,2026-07-30 11:51:04.933000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CDC_DATA_PORTAL__RECORDS,VIEW,,,2026-08-11 09:39:34.389000-07:00,2026-08-11 09:39:34.845000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CDC_DRUG_POISONING_COUNTY__RATES,VIEW,,,2026-07-30 11:51:05.814000-07:00,2026-07-30 11:51:06.127000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CDC_HEALTH_INSURANCE__RECORDS,VIEW,,,2026-07-30 11:51:05.865000-07:00,2026-07-30 11:51:06.230000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CDC_INJURY_VIOLENCE_COUNTY__RATES,VIEW,,,2026-07-30 11:51:07.511000-07:00,2026-07-30 11:51:07.894000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CDC_LEADING_CAUSES_STATE__ALL,VIEW,,,2026-08-09 18:35:46.633000-07:00,2026-08-09 18:35:46.877000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CDC_OVERDOSE__RECORDS,VIEW,,,2026-07-30 11:51:08.606000-07:00,2026-07-30 11:51:08.978000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CDC_SUICIDE_RATES__RECORDS,VIEW,,,2026-07-30 11:51:08.805000-07:00,2026-07-30 11:51:09.147000-07:00,
