schema,table,column,should_be,table_row_count
HEALTH,HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY,TOTAL_RESIDENTS,number,31403215
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,ACTION_DATE,date,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,ACTION_DATE_FISCAL_YEAR,date,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,FEDERAL_ACCOUNTS_FUNDING_THIS_AWARD,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,FEDERAL_ACTION_OBLIGATION,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,GENERATED_PRAGMATIC_OBLIGATIONS,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_1_AMOUNT,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_2_AMOUNT,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_3_AMOUNT,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_4_AMOUNT,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_5_AMOUNT,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,INDIRECT_COST_FEDERAL_SHARE_AMOUNT,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,INITIAL_REPORT_DATE,date,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,LAST_MODIFIED_DATE,date,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,NON_FEDERAL_FUNDING_AMOUNT,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,OBLIGATED_AMOUNT_FROM_COVID_19_SUPPLEMENTALS_FOR_OVERALL_AWARD,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,OBLIGATED_AMOUNT_FROM_IIJA_SUPPLEMENTAL_FOR_OVERALL_AWARD,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,ORIGINAL_LOAN_SUBSIDY_COST,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,OUTLAYED_AMOUNT_FROM_COVID_19_SUPPLEMENTALS_FOR_OVERALL_AWARD,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,OUTLAYED_AMOUNT_FROM_IIJA_SUPPLEMENTAL_FOR_OVERALL_AWARD,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PERIOD_OF_PERFORMANCE_CURRENT_END_DATE,date,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PERIOD_OF_PERFORMANCE_START_DATE,date,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_FACE_VALUE_OF_LOAN,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_LOAN_SUBSIDY_COST,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_NON_FEDERAL_FUNDING_AMOUNT,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_OBLIGATED_AMOUNT,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_OUTLAYED_AMOUNT_FOR_OVERALL_AWARD,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TREASURY_ACCOUNTS_FUNDING_THIS_AWARD,number,19902879
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,USASPENDING_PERMALINK,number,19902879
HOUSING,HOUSING__FED_CFPB_HMDA_HISTORIC,APPLICATION_DATE_INDICATOR,date,19136434
HOUSING,HOUSING__FED_CFPB_HMDA_HISTORIC,AS_OF_YEAR,date,19136434
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS,DATE_OF_PAYMENT,number,15385047
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS,FORM_OF_PAYMENT_OR_TRANSFER_OF_VALUE,number,15385047
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS,NATURE_OF_PAYMENT_OR_TRANSFER_OF_VALUE,number,15385047
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS,PROGRAM_YEAR,date,15385047
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS,TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS,number,15385047
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_2023,DATE_OF_PAYMENT,number,14700786
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_2023,FORM_OF_PAYMENT_OR_TRANSFER_OF_VALUE,number,14700786
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_2023,NATURE_OF_PAYMENT_OR_TRANSFER_OF_VALUE,number,14700786
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_2023,PROGRAM_YEAR,date,14700786
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_2023,TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS,number,14700786
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_2022,DATE_OF_PAYMENT,number,13250000
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_2022,FORM_OF_PAYMENT_OR_TRANSFER_OF_VALUE,number,13250000
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_2022,NATURE_OF_PAYMENT_OR_TRANSFER_OF_VALUE,number,13250000
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_2022,PROGRAM_YEAR,date,13250000
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_2022,TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS,number,13250000
POLITICS,POLITICS__INTL_ELECTIONS_CANADA_CONTRIBUTIONS,PART_NUMBER_OF_RETURN,number,12646465
