schema,table,column,state,row_count,lat,lon
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,STATE,TX,2359446,32.20401620102799,-98.39852868150476
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,STATE,FL,2354061,28.56408310703427,-83.06745984775496
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,STATE,CA,1704092,36.001084115724176,-119.24410802392545
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,STATE,GA,1265642,32.52861021695467,-82.67275422172591
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,STATE,NY,995459,42.59558489297722,-74.74360845937363
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,STATE,CA,254916,36.654475405612736,-118.85463664714472
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,STATE,TX,160761,32.05157959829284,-99.54078196473715
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,STATE,FL,160327,28.691932526932668,-81.8902551243917
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,STATE,NY,124191,42.16316370183381,-75.34987753660481
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,STATE,PA,97725,41.632297719637535,-78.3565410475722
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,STATE,CA,204679,37.92807674306715,-119.18006833011877
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,STATE,TX,155949,32.326277579510794,-99.76037035008771
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,STATE,NY,125514,41.923523021259435,-74.65920838454481
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,STATE,FL,115255,29.331475631901384,-82.55340524048404
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,STATE,PA,82364,39.925072898070255,-78.54794627456299
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_STATE,CA,37195,37.52380524509688,-120.2846860269223
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_STATE,NY,25865,43.98329520903259,-75.25200456881718
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_STATE,TX,23242,30.782098367713168,-98.86486881855508
