===== q09 (stmt 9) 131 rows
K | A | B | C | D | E | F | G1 | H | I | J
summary | 523 | 451 | 45 | 128 | 94 | 28 | RU:224,AE:46,IN:27,CN:25,CY:16,HK:15,CH:12,GB:9,TR:9,LI:7,SG:7,FR:5,IR:5,VG:4,DE:4,BY:3,IT:3,MT:2,VE:2,JE:2,IE:2,LU:2,CZ:1,KZ:1,VC:1,NL:1,OM:1,KY:1,PT:1,BS:1,BG:1,GG:1,AO:1,QA:1,RS:1,AT:1,KG:1,LB:1,UY:1,MY:1,AM:1,LR:1 |  |  | 
kid | 5299007PQV6X4DPL9Y20 | LUKOIL INTERNATIONAL GmbH | AT | ISSUED | 2025-07-24 08:14:27.000 +0200 | 2026-09-12 14:32:34.000 +0200 | 5299000J2N45DDNE4Y28 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 5299007PQV6X4DPL9Y20 | LUKOIL INTERNATIONAL GmbH | AT | ISSUED | 2025-07-24 08:14:27.000 +0200 | 2026-09-12 14:32:34.000 +0200 | 5299000J2N45DDNE4Y28 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | K80PJMCDA9MAE5C8IO91 | LITASCO SA | CH | ISSUED | 2026-07-13 11:55:40.000 Z | 2027-07-13 00:00:00.000 Z | 506700LOLO7M6V0E4247 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 213800FXBZXOXNXKWP95 | LUKOIL SECURITIES LIMITED | CY | ISSUED | 2025-07-25 08:22:08.008 Z | 2026-07-26 12:57:40.246 Z | 5493001KJTIIGC8Y1R12 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 213800FXBZXOXNXKWP95 | LUKOIL SECURITIES LIMITED | CY | ISSUED | 2025-07-25 08:22:08.008 Z | 2026-07-26 12:57:40.246 Z | 5493001KJTIIGC8Y1R12 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 391200PKEUF3Y2NUMW25 | Rosneft Deutschland GmbH | DE | ISSUED | 2026-02-18 14:05:22.471 +0100 | 2027-02-26 11:44:54.700 +0100 | 39120001KULK7200U106 | 253400JT3MQWNDKMJE44 | публичное акционерное общество "Нефтяная компания "Роснефть" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 391200PKEUF3Y2NUMW25 | Rosneft Deutschland GmbH | DE | ISSUED | 2026-02-18 14:05:22.471 +0100 | 2027-02-26 11:44:54.700 +0100 | 39120001KULK7200U106 | 253400JT3MQWNDKMJE44 | публичное акционерное общество "Нефтяная компания "Роснефть" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 72450024EGZK2K8NAG02 | LUKOIL Finance B.V. | NL | ISSUED | 2025-11-01 07:11:46.923 +0100 | 2026-11-01 09:29:26.492 +0100 | 724500A93Z8V1MJK5349 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 724500LG1GUKJ5TOIW61 | LUKOIL International Finance B.V. | NL | ISSUED | 2025-12-07 00:01:46.298 +0100 | 2026-12-07 16:28:27.962 +0100 | 724500A93Z8V1MJK5349 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 724500UTYUSS56QEBB66 | LUKOIL International Upstream Holding B.V. | NL | ISSUED | 2025-12-16 07:11:22.124 +0100 | 2026-12-16 12:59:59.284 +0100 | 724500A93Z8V1MJK5349 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 724500IVNQ6LF8OFIO42 | LUKOIL Securities B.V. | NL | ISSUED | 2026-03-24 07:11:44.703 +0100 | 2027-03-24 12:15:42.926 +0100 | 724500A93Z8V1MJK5349 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 724500IVNQ6LF8OFIO42 | LUKOIL Securities B.V. | NL | ISSUED | 2026-03-24 07:11:44.703 +0100 | 2027-03-24 12:15:42.926 +0100 | 724500A93Z8V1MJK5349 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 7872006AZAFVTVIQ3G32 | PETROTEL-LUKOIL SA | RO | ISSUED | 2025-11-26 17:50:54.000 Z | 2026-11-29 00:00:00.000 Z | 254900LXHEVKYGERER05 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 7872006AZAFVTVIQ3G32 | PETROTEL-LUKOIL SA | RO | ISSUED | 2025-11-26 17:50:54.000 Z | 2026-11-29 00:00:00.000 Z | 254900LXHEVKYGERER05 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 254900YJTZ2JT3ZSZS32 | SISTEMA ASIA FUND PTE. LTD. | SG | ISSUED | 2026-03-04 12:35:18.953 Z | 2026-12-15 17:50:12.704 Z | 5493001KJTIIGC8Y1R12 | 213800JSZ2UUK4QQK694 | Публичное акционерное общество "Акционерная финансовая корпорация "Система" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 254900LYMFL8O07R2452 | Castle Peak Power Finance Company Limited | VG | ISSUED | 2025-10-10 05:28:28.795 Z | 2026-10-31 09:15:00.395 Z | 5493001KJTIIGC8Y1R12 | 2549001I42I6G4P13T82 | 青山發電有限公司 [HK] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 253400QD4JHES5PGDR15 | Dega Retail Holding Limited | VG | ISSUED | 2025-07-28 16:43:46.863 +0300 | 2026-07-28 16:37:42.273 +0300 | 253400M18U5TB02TW421 | 213800JSZ2UUK4QQK694 | Публичное акционерное общество "Акционерная финансовая корпорация "Система" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 2549003685D6HQ8O0J73 | S B L OVERSEAS TRADING L.L.C | AE | LAPSED | 2026-06-10 13:30:00.024 Z | 2026-06-10 09:58:06.743 Z | 5493001KJTIIGC8Y1R12 | 3358008I6IEH1VUCXE19 | SBL ENERGY LIMITED [IN] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 2549003685D6HQ8O0J73 | S B L OVERSEAS TRADING L.L.C | AE | LAPSED | 2026-06-10 13:30:00.024 Z | 2026-06-10 09:58:06.743 Z | 5493001KJTIIGC8Y1R12 | 3358008I6IEH1VUCXE19 | SBL ENERGY LIMITED [IN] | IS_ULTIMATELY_CONSOLIDATED_BY
