== [24] icis_sector_by_year (0.4s) 120 rows -> r24_icis_sector_by_year.json
YR | SECTOR | CASES
2012 | chemicals | 245
2013 | chemicals | 196
2014 | chemicals | 177
2015 | chemicals | 195
2016 | chemicals | 327
2017 | chemicals | 298
2018 | chemicals | 182
2019 | chemicals | 224
2020 | chemicals | 184
2021 | chemicals | 161
2022 | chemicals | 155
2023 | chemicals | 151
2024 | chemicals | 185
2025 | chemicals | 166
2026 | chemicals | 99
2012 | no_code | 1561
2013 | no_code | 1177
2014 | no_code | 1078
2015 | no_code | 1109
2016 | no_code | 1577
2017 | no_code | 1532
2018 | no_code | 1421
2019 | no_code | 1321
2020 | no_code | 1727
2021 | no_code | 1884
2022 | no_code | 1999
2023 | no_code | 1810
2024 | no_code | 2053
2025 | no_code | 2114
2026 | no_code | 2108
2012 | oil_gas_extraction | 109
2013 | oil_gas_extraction | 103
2014 | oil_gas_extraction | 76
2015 | oil_gas_extraction | 63
2016 | oil_gas_extraction | 62
2017 | oil_gas_extraction | 32
2018 | oil_gas_extraction | 60
2019 | oil_gas_extraction | 66
2020 | oil_gas_extraction | 66
2021 | oil_gas_extraction | 78
2022 | oil_gas_extraction | 44
2023 | oil_gas_extraction | 46
2024 | oil_gas_extraction | 47
2025 | oil_gas_extraction | 41
2026 | oil_gas_extraction | 24
2012 | other | 818
2013 | other | 581
2014 | other | 629
2015 | other | 617
2016 | other | 594
2017 | other | 507
2018 | other | 394
2019 | other | 350
2020 | other | 349
2021 | other | 396
2022 | other | 347
2023 | other | 335
2024 | other | 426
2025 | other | 336
2026 | other | 203
