-- S12 NTSB injury: per-aircraft injury pivot for US Part 121 flights, every balloon, and every aircraft with a lap child - extract for local math
EV_ID | NTSB_NO | EV_TYPE | EV_DATE | EV_CITY | EV_STATE | EV_COUNTRY | EV_HIGHEST_INJURY | AIRCRAFT_KEY | FAR_PART | ACFT_CATEGORY | ACFT_MAKE | ACFT_MODEL | REGIS_NO | DAMAGE | PHASE_FLT_SPEC | OPER_NAME | OWNER_ACFT | OPER_SCHED | OPER_PAX_CARGO | SITE_SEEING | TYPE_FLY | EV_ID | AIRCRAFT_KEY | CABI_F | CABI_S | CABI_M | CABI_N | FLIG_F | FLIG_S | FLIG_M | FLIG_N | PASS_F | PASS_S | PASS_M | PASS_N | LAPC_F | LAPC_S | LAPC_M | LAPC_N | LCHG
20080122X00088 | CHI08IA065 | INC | 2008-01-08 | Lincoln | NE | USA | NONE | 1 | 121 | AIR | Boeing | 737-2H4 | N733TW | None | None | Ameristar Air Cargo, Inc. | SIERRA AMERICAN CORP | NSCH | PAX | N | None | 20080122X00088 | 1 | 0.0000 | 0.0000 | 0.0000 | 4.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 32.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080125X00103 | CHI08LA071 | ACC | 2008-01-09 | Detroit | MI | USA | NONE | 1 | 121 | AIR | Airbus Industrie | A319-114 | N349NB | SUBS | None | None | NORTHWEST AIRLINES INC | SCHD | PAX | N | None | 20080125X00103 | 1 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 68.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080118X00073 | SEA08LA061 | ACC | 2008-01-14 | San Francisco | CA | USA | NONE | 1 | 121 | AIR | Bombardier, Inc. | CL-600-2C10 | N705SK | SUBS | None | None | Skywest Airlnes Inc. | SCHD | PAX | N | None | 20080118X00073 | 1 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 55.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080118X00073 | SEA08LA061 | ACC | 2008-01-14 | San Francisco | CA | USA | NONE | 2 | 121 | AIR | BOEING | 757-222 | N508UA | SUBS | None | None | None | SCHD | PAX | N | None | 20080118X00073 | 2 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080411X00456 | ANC08IA033 | INC | 2008-01-18 | Dutch Harbor | AK | USA | NONE | 1 | 121 | AIR | Fairchild | SA227-AC | N41NE | None | None | None | PENINSULA AIRWAYS INC | NSCH | CARG | N | None | 20080411X00456 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080514X00667 | DCA08IA033 | INC | 2008-01-25 | Newark | NJ | USA | NONE | 1 | 121 | AIR | Airbus | A320 | N462UA | None | None | United Airlines Inc | United Airlines Inc | SCHD | PAX | N | None | 20080514X00667 | 1 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 102.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2024-07-11
20080212X00178 | ENG08IA011 | INC | 2008-01-31 | West Palm Beach | FL | USA | MINR | 1 | 121 | AIR | Boeing | B757-200 | N624AA | MINR | None | AMERICAN AIRLINES COMMERCIAL FLIGHT OPERATIONS | American Airlines | SCHD | PAX | N | None | 20080212X00178 | 1 | 0.0000 | 0.0000 | 3.0000 | 3.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 137.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080220X00214 | DEN08LA055 | ACC | 2008-02-03 | Denver | CO | USA | SERS | 1 | 121 | AIR | de Havilland | DHC-8-202 | N444YV | None | None | Mesa Airlines, Inc. | Wells Fargo Bank Northwest NA Trustee | SCHD | PAX | N | None | 20080220X00214 | 1 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 19.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080222X00229 | SEA08IA080 | INC | 2008-02-13 | Hilo | HI | USA | NONE | 1 | 121 | AIR | Bombardier, Inc. | CL-600 | N651BR | None | None | Mesa Airlines | Wachovia Bank NA Trustee | SCHD | PAX | N | None | 20080222X00229 | 1 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 40.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2024-07-11
20080304X00260 | MIA08CA065 | ACC | 2008-02-15 | Covington | KY | USA | SERS | 1 | 121 | AIR | Embraer | EMB-145LR | N569RP | None | None | None | Chautauqua Airlines Inc | SCHD | PAX | N | None | 20080304X00260 | 1 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 50.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
