-- S11 NTSB injury: people by kind of flight, aircraft category, year, US or not, person category and injury level (TOTL left out)
CTRY | GRP | CAT | YR | WHO | LVL | PEOPLE | AIRCRAFT | AIRCRAFT_WITH_ANY
US | 107 drone | AIR | 2026 | Cabi | NONE | 0.0000 | 1 | 0
US | 107 drone | AIR | 2026 | Flig | FATL | 0.0000 | 1 | 0
US | 107 drone | AIR | 2026 | Flig | NONE | 1.0000 | 1 | 1
US | 107 drone | AIR | 2026 | Pass | NONE | 0.0000 | 1 | 0
US | 107 drone | HELI | 2017 | Flig | FATL | 0.0000 | 1 | 0
US | 107 drone | HELI | 2017 | Flig | MINR | 0.0000 | 1 | 0
US | 107 drone | HELI | 2017 | Flig | NONE | 1.0000 | 1 | 1
US | 107 drone | HELI | 2017 | Flig | SERS | 0.0000 | 1 | 0
US | 107 drone | HELI | 2018 | Flig | FATL | 0.0000 | 1 | 0
US | 107 drone | HELI | 2018 | Flig | MINR | 0.0000 | 1 | 0
US | 107 drone | HELI | 2018 | Flig | NONE | 1.0000 | 1 | 1
US | 107 drone | HELI | 2018 | Flig | SERS | 0.0000 | 1 | 0
US | 107 drone | HELI | 2020 | Flig | FATL | 0.0000 | 1 | 0
US | 107 drone | HELI | 2020 | Flig | MINR | 0.0000 | 1 | 0
US | 107 drone | HELI | 2020 | Flig | NONE | 1.0000 | 1 | 1
US | 107 drone | HELI | 2020 | Flig | SERS | 0.0000 | 1 | 0
US | 107 drone | HELI | 2021 | Flig | SERS | 0.0000 | 1 | 0
US | 107 drone | UNK | 2021 | Flig | NONE | 1.0000 | 1 | 1
US | 107 drone | UNK | 2023 | Cabi | NONE | 0.0000 | 1 | 0
US | 107 drone | UNK | 2023 | Flig | NONE | 0.0000 | 1 | 0
US | 107 drone | UNK | 2023 | LapC | NONE | 0.0000 | 1 | 0
US | 107 drone | UNK | 2023 | Pass | NONE | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | Cabi | FATL | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | Cabi | MINR | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | Cabi | NONE | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | Cabi | SERS | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | Flig | FATL | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | Flig | MINR | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | Flig | NONE | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | Flig | SERS | 1.0000 | 1 | 1
US | 107 drone | UNK | 2024 | LapC | FATL | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | LapC | MINR | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | LapC | NONE | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | LapC | SERS | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | Pass | FATL | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | Pass | MINR | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | Pass | NONE | 0.0000 | 1 | 0
US | 107 drone | UNK | 2024 | Pass | SERS | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | Cabi | FATL | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | Cabi | MINR | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | Cabi | NONE | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | Cabi | SERS | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | Flig | FATL | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | Flig | MINR | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | Flig | NONE | 1.0000 | 1 | 1
US | 107 drone | UNK | 2025 | Flig | SERS | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | LapC | FATL | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | LapC | MINR | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | LapC | NONE | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | LapC | SERS | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | Pass | FATL | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | Pass | MINR | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | Pass | NONE | 0.0000 | 1 | 0
US | 107 drone | UNK | 2025 | Pass | SERS | 0.0000 | 1 | 0
US | 121 airline | AIR | 2008 | Cabi | MINR | 12.0000 | 6 | 6
US | 121 airline | AIR | 2008 | Cabi | NONE | 144.0000 | 48 | 48
US | 121 airline | AIR | 2008 | Cabi | SERS | 6.0000 | 6 | 6
US | 121 airline | AIR | 2008 | Flig | FATL | 0.0000 | 60 | 0
US | 121 airline | AIR | 2008 | Flig | MINR | 6.0000 | 60 | 4
