-- S02 Ensembl: what the 643 rows are - feature type, chromosome, region, gene name stems
FEATURE_TYPE | SEQ_REGION_NAME | REGION | N | IDS | GENES | BIOTYPES | TAXON_FILLED
Transcript | 17 | 17:39699740-39728714 | 19 | 19 | ERBB2 | protein_coding | 0
Transcript | 3 | 3:36993226-37050896 | 15 | 15 | MLH1 | protein_coding | 0
Transcript | 5 | 5:112707452-112846239 | 9 | 9 | APC | protein_coding | 0
Transcript | 3 | 3:41199315-41240443 | 8 | 8 | CTNNB1 | protein_coding | 0
Transcript | 13 | 13:48303710-48481890 | 8 | 8 | RB1 | protein_coding | 0
Transcript | 9 | 9:136494433-136546048 | 8 | 8 | NOTCH1 | protein_coding,nonsense_mediated_decay | 0
Transcript | 17 | 17:7668421-7687538 | 7 | 7 | TP53 | protein_coding | 0
Transcript | 12 | 12:25205246-25250953 | 6 | 6 | KRAS | protein_coding | 0
Transcript | 17 | 17:7668402-7675493 | 6 | 6 | TP53 | protein_coding | 0
Transcript | 2 | 2:47403089-47483228 | 6 | 6 | MSH2 | nonsense_mediated_decay,protein_coding | 0
Transcript | 17 | 17:43044292-43125364 | 5 | 5 | BRCA1 | protein_coding | 0
Transcript | 10 | 10:87863625-87971930 | 5 | 5 | PTEN | nonsense_mediated_decay,protein_coding | 0
Transcript | 7 | 7:55018820-55211628 | 5 | 5 | EGFR | protein_coding | 0
Transcript | 3 | 3:179148177-179240093 | 5 | 5 | PIK3CA | protein_coding | 0
Transcript | 5 | 5:112737848-112846239 | 5 | 5 | APC | protein_coding | 0
Transcript | 7 | 7:116672051-116798391 | 5 | 5 | MET | protein_coding | 0
Transcript | 3 | 3:10141764-10153667 | 5 | 5 | VHL | protein_coding | 0
Transcript | 16 | 16:68737292-68835540 | 4 | 4 | CDH1 | protein_coding | 0
Transcript | 2 | 2:47403089-47483223 | 4 | 4 | MSH2 | protein_coding | 0
Transcript | 17 | 17:43044292-43125343 | 4 | 4 | BRCA1 | protein_coding | 0
Transcript | 17 | 17:43044292-43125483 | 3 | 3 | BRCA1 | protein_coding | 0
Transcript | 3 | 3:36993487-37050846 | 3 | 3 | MLH1 | nonsense_mediated_decay | 0
Transcript | 17 | 17:43044292-43125370 | 3 | 3 | BRCA1 | protein_coding | 0
Transcript | 16 | 16:68737292-68835537 | 2 | 2 | CDH1 | protein_coding,nonsense_mediated_decay | 0
Transcript | 3 | 3:10141786-10153667 | 2 | 2 | VHL | nonsense_mediated_decay,protein_coding | 0
Transcript | 12 | 12:25209178-25250953 | 2 | 2 | KRAS | protein_coding | 0
Transcript | 2 | 2:47403089-47483220 | 2 | 2 | MSH2 | protein_coding | 0
Transcript | 13 | 13:32315496-32400264 | 2 | 2 | BRCA2 | nonsense_mediated_decay,protein_coding | 0
Transcript | 13 | 13:32315496-32400268 | 2 | 2 | BRCA2 | protein_coding | 0
Transcript | 17 | 17:43044292-43125329 | 2 | 2 | BRCA1 | protein_coding | 0
Transcript | 3 | 3:36993518-37050846 | 2 | 2 | MLH1 | nonsense_mediated_decay,protein_coding | 0
Transcript | 7 | 7:116672196-116798377 | 2 | 2 | MET | protein_coding,nonsense_mediated_decay | 0
Transcript | 12 | 12:25205246-25250929 | 2 | 2 | KRAS | protein_coding | 0
Transcript | 3 | 3:41199505-41240443 | 2 | 2 | CTNNB1 | nonsense_mediated_decay,protein_coding | 0
Transcript | 3 | 3:36993487-37050844 | 2 | 2 | MLH1 | nonsense_mediated_decay | 0
Transcript | 17 | 17:43044292-43125402 | 2 | 2 | BRCA1 | protein_coding | 0
Transcript | 17 | 17:43044292-43125360 | 2 | 2 | BRCA1 | protein_coding | 0
Transcript | 17 | 17:43044292-43125382 | 2 | 2 | BRCA1 | protein_coding | 0
Transcript | 3 | 3:41199315-41240445 | 2 | 2 | CTNNB1 | protein_coding | 0
Transcript | 7 | 7:140719327-140925199 | 2 | 2 | BRAF | protein_coding | 0
Transcript | 17 | 17:43044292-43125487 | 2 | 2 | BRCA1 | protein_coding | 0
Transcript | 3 | 3:41199315-41239955 | 2 | 2 | CTNNB1 | protein_coding | 0
Transcript | 2 | 2:47403089-47483221 | 2 | 2 | MSH2 | protein_coding | 0
Transcript | 3 | 3:36993488-37050844 | 2 | 2 | MLH1 | nonsense_mediated_decay | 0
Transcript | 13 | 13:32315508-32398918 | 2 | 2 | BRCA2 | nonsense_mediated_decay | 0
Transcript | 17 | 17:7668404-7687538 | 2 | 2 | TP53 | protein_coding | 0
Transcript | 17 | 17:7668421-7687487 | 2 | 2 | TP53 | protein_coding | 0
Transcript | 17 | 17:7668421-7687490 | 2 | 2 | TP53 | protein_coding,nonsense_mediated_decay | 0
Transcript | 17 | 17:7668404-7687481 | 2 | 2 | TP53 | protein_coding | 0
Transcript | 2 | 2:47403089-47448582 | 2 | 2 | MSH2 | protein_coding | 0
Transcript | 3 | 3:41199315-41240442 | 2 | 2 | CTNNB1 | protein_coding | 0
Transcript | 13 | 13:32315508-32400268 | 2 | 2 | BRCA2 | protein_coding,nonsense_mediated_decay | 0
Transcript | 3 | 3:36993804-37050896 | 2 | 2 | MLH1 | protein_coding | 0
Transcript | 2 | 2:47403089-47483227 | 2 | 2 | MSH2 | protein_coding | 0
Transcript | 3 | 3:36993515-37050827 | 1 | 1 | MLH1 | nonsense_mediated_decay | 0
Transcript | 2 | 2:47403152-47483225 | 1 | 1 | MSH2 | nonsense_mediated_decay | 0
Transcript | 7 | 7:116672390-116699599 | 1 | 1 | MET | protein_coding | 0
Gene | 5 | 5:112707452-112846239 | 1 | 1 | APC | protein_coding | 0
Transcript | 7 | 7:140734485-140925199 | 1 | 1 | BRAF | protein_coding | 0
Transcript | 3 | 3:36993489-37050843 | 1 | 1 | MLH1 | nonsense_mediated_decay | 0
Transcript | 3 | 3:41223628-41240448 | 1 | 1 | CTNNB1 | protein_coding | 0
Transcript | 3 | 3:36993226-37047739 | 1 | 1 | MLH1 | protein_coding | 0
Transcript | 2 | 2:29220870-29223394 | 1 | 1 | ALK | protein_coding | 0
Transcript | 17 | 17:43044295-43125364 | 1 | 1 | BRCA1 | protein_coding | 0
Transcript | 16 | 16:68823245-68833584 | 1 | 1 | CDH1 | retained_intron | 0
Transcript | 2 | 2:47555859-47562311 | 1 | 1 | MSH2 | protein_coding_CDS_not_defined | 0
Transcript | 3 | 3:36993517-37026060 | 1 | 1 | MLH1 | retained_intron | 0
Transcript | 2 | 2:47403156-47513063 | 1 | 1 | MSH2 | nonsense_mediated_decay | 0
Gene | 12 | 12:25205246-25326473 | 1 | 1 | KRAS | protein_coding | 0
Transcript | 9 | 9:136494444-136502844 | 1 | 1 | NOTCH1 | retained_intron | 0
Transcript | 3 | 3:41194853-41239900 | 1 | 1 | CTNNB1 | protein_coding | 0
Transcript | 17 | 17:43044292-43125550 | 1 | 1 | BRCA1 | protein_coding | 0
Transcript | 17 | 17:43044302-43050409 | 1 | 1 | BRCA1 | retained_intron | 0
Transcript | 7 | 7:55192811-55200802 | 1 | 1 | EGFR | retained_intron | 0
Transcript | 10 | 10:87925523-87933487 | 1 | 1 | PTEN | retained_intron | 0
Transcript | 12 | 12:25205246-25225773 | 1 | 1 | KRAS | nonsense_mediated_decay | 0
Transcript | 2 | 2:47403067-47483221 | 1 | 1 | MSH2 | protein_coding | 0
Transcript | 7 | 7:140724009-140924945 | 1 | 1 | BRAF | nonsense_mediated_decay | 0
Transcript | 9 | 9:136508293-136509343 | 1 | 1 | NOTCH1 | retained_intron | 0
Transcript | 17 | 17:43094033-43125343 | 1 | 1 | BRCA1 | nonsense_mediated_decay | 0
(487 rows; csv has all)
