-- S07 NTSB injury: category x injury level - rows, blanks, zeros, sums, events
INJ_PERSON_CATEGORY | INJURY_LEVEL | N | BLANK | ZERO | PEOPLE | MX | EVS
Cabi | FATL | 1023 | 0 | 954 | 201.0000 | 12.0000 | 1005
Cabi | MINR | 1110 | 0 | 967 | 333.0000 | 9.0000 | 1091
Cabi | NONE | 2481 | 0 | 1422 | 4425.0000 | 25.0000 | 2415
Cabi | SERS | 1204 | 0 | 946 | 295.0000 | 8.0000 | 1186
Cabi | TOTL | 2664 | 1722 | 933 | 28.0000 | 10.0000 | 2598
Flig | FATL | 23879 | 0 | 17841 | 7128.0000 | 10.0000 | 23553
Flig | MINR | 23601 | 0 | 19444 | 4619.0000 | 10.0000 | 23283
Flig | NONE | 27076 | 0 | 9779 | 24091.0000 | 186.0000 | 26696
Flig | SERS | 23300 | 0 | 20271 | 3278.0000 | 5.0000 | 22982
Flig | TOTL | 29876 | 7391 | 12667 | 11461.0000 | 10.0000 | 29466
LapC | FATL | 806 | 0 | 797 | 15.0000 | 3.0000 | 789
LapC | MINR | 798 | 0 | 796 | 2.0000 | 1.0000 | 781
LapC | NONE | 1153 | 0 | 1122 | 62.0000 | 9.0000 | 1132
LapC | SERS | 796 | 0 | 794 | 2.0000 | 1.0000 | 779
LapC | TOTL | 1174 | 384 | 790 | 0.0000 | 0.0000 | 1153
Pass | FATL | 4766 | 0 | 2137 | 9344.0000 | 280.0000 | 4717
Pass | MINR | 4112 | 0 | 2134 | 4320.0000 | 158.0000 | 4079
Pass | NONE | 10420 | 0 | 3043 | 187224.0000 | 497.0000 | 10289
Pass | SERS | 3673 | 0 | 2131 | 2415.0000 | 40.0000 | 3640
Pass | TOTL | 15267 | 13090 | 1918 | 1312.0000 | 177.0000 | 15102
(20 rows; csv has all)
