n,company,domain,table,col,rows,distinct,sample
0,LAND O LAKES,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,COMPANY_NAME,80,6,"LAND O'LAKES, INC. | LAND O'LAKES | LAND O' LAKES | KOZY SHACK / LAND O LAKES | LOWE'S COMPANIES, INC LOWE S OF LAND O  LAKES, FL | LAND O LAKES"
1,NATIONAL ASSOCIATION OF BROADCASTERS,money,ECONOMICS__FED_IRS_990_EFILE_INDEX,TAXPAYER_NAME,16,3,NATIONAL ASSOCIATION OF BROADCASTERS | NATIONAL ASSOCIATION OF BROADCASTERS EDUCATION FOUNDATION | NATIONAL ASSOCIATION OF BROADCASTERS LEADERSHIP FOUNDATION
2,PARKER HANNIFIN,money,FINANCE__FED_SEC_INSIDER_SUBMISSION,ISSUER_NAME,694,2,PARKER-HANNIFIN CORP | PARKER HANNIFIN CORP
3,LEIDOS,science,SCIENCE_RESEARCH__FED_NIH_REPORTER,ORG_NAME,26,1,"LEIDOS, INC."
4,DISCOUNT TIRE,environment,ENVIRONMENT__FED_USCG_NRC_INCIDENTS,RESPONSIBLE_COMPANY,10,10,KEYSTONE DISCOUNT TIRE CO. | DISCOUNT TIRE CENTER | MAVIS DISCOUNT TIRE | JC DISCOUNT TIRE | DISCOUNT TIRE | KEYSTONE DISCOUNT TIRE COMPANU
5,RXSIGHT,health,HEALTH__FED_CMS_OPEN_PAYMENTS,APPLICABLE_MANUFACTURER_OR_APPLICABLE_GPO_MAKING_PAYMENT_NAME,7552,1,RXSIGHT INC
6,VERIZON COMMUNICATIONS INC AND VARIOUS,politics,EDUCATION__FED_SENATE_LDA_FILINGS,REGISTRANT_NAME,110,1,VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES
7,TESLA,politics,POLITICS__IRS527_RELATED_ENTITIES,ENTITY_NAME,1,1,"TESLA, INC."
8,HENRY FORD HEALTH,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2024,COMPANY_NAME,47,1,HENRY FORD HEALTH
9,COMPASS,companies,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,ORIGINAL_NAME,2,2,COMPASS LIMITED | COMPASS CORPORATION
