core,pattern,n_lists,lists,cik,raw_names
ALLY FINANCIAL,ALLY\s+FINANCIAL,1,complaints,40729,ALLY FINANCIAL INC.
ALPHATEC SPINE,ALPHATEC\s+SPINE,1,doctor_payments,,"Alphatec Spine, Inc"
ALSTOM TRANSPORTATION,ALSTOM\s+TRANSPORTATION,1,lobbying,,ALSTOM TRANSPORTATION INC
ALTRIA CLIENT,ALTRIA\s+CLIENT,1,lobbying,,ALTRIA CLIENT SERVICES LLC
AMAZON WEB,AMAZON\s+WEB,1,visas,,"AMAZON WEB SERVICES, INC."
AMENTUM GOVERNMENT,AMENTUM\s+GOVERNMENT,1,contracts,,AMENTUM GOVERNMENT SERVICES HOLDINGS LLC
AMERICA IS BACK,AMERICA\s+IS\s+BACK,1,pacs,,AMERICA IS BACK
AMERICA S HEALTH INSURANCE PLANS INC AHIP,AMERICA\s+S\s+HEALTH\s+INSURANCE\s+PLANS\s+INC\s+AHIP,1,lobbying,,AMERICA'S HEALTH INSURANCE PLANS INC (AHIP)
AMERICAN ACADEMY OF PEDIATRICS,AMERICAN\s+ACADEMY\s+OF\s+PEDIATRICS,1,lobbying,,AMERICAN ACADEMY OF PEDIATRICS
AMERICAN AIRLINES GROUP AA DFW DALLAS FORT WORTH,AMERICAN\s+AIRLINES\s+GROUP\s+AA\s+DFW\s+DALLAS\s+FORT\s+WORTH,1,injuries,,American Airlines Group AA-DFW-DALLAS FORT WORTH
AMERICAN AIRLINES GROUP AA JFK NEW YORK JOHN F KENNEDY,AMERICAN\s+AIRLINES\s+GROUP\s+AA\s+JFK\s+NEW\s+YORK\s+JOHN\s+F\s+KENNEDY,1,injuries,,American Airlines Group AA-JFK-NEW YORK - JOHN F. KENNEDY
AMERICAN ASSOCIATION FOR JUSTICE,AMERICAN\s+ASSOCIATION\s+FOR\s+JUSTICE,1,lobbying,,AMERICAN ASSOCIATION FOR JUSTICE
