core,pattern,n_lists,lists,cik,raw_names
ERNST & YOUNG,ERNST\s+&\s+YOUNG,1,visas,,ERNST & YOUNG U.S. LLP
ESTES EXPRESS LINES,ESTES\s+EXPRESS\s+LINES,1,injuries,,Estes Express Lines
EXACTECH,EXACTECH,1,doctor_payments,,"EXACTECH, INC."
EXELON,EXELON,1,pacs,1109357,EXELON CORPORATION
EXETER FINANCE,EXETER\s+FINANCE,1,complaints,,"Exeter Finance, LLC."
EXPERIAN INFORMATION SOLUTIONS,EXPERIAN\s+INFORMATION\s+SOLUTIONS,1,complaints,,Experian Information Solutions Inc.
FACEBOOK,FACEBOOK,1,visas,,"FACEBOOK INC. | FACEBOOK, INC."
FAIRVIEW HEALTH,FAIRVIEW\s+HEALTH,1,injuries,,Fairview Health Services
FEDERAL EXPRESS,FEDERAL\s+EXPRESS,1,injuries,,FEDERAL EXPRESS CORPORATION
FEDEX FREIGHT,FEDEX\s+FREIGHT,1,injuries,2082247,FedEx Freight
FIDELITY NATIONAL INFORMATION SERVICES INC FNIS,FIDELITY\s+NATIONAL\s+INFORMATION\s+SERVICES\s+INC\s+FNIS,1,complaints,,"Fidelity National Information Services, Inc. (FNIS)"
FIFTH THIRD FINANCIAL,FIFTH\s+THIRD\s+FINANCIAL,1,complaints,,FIFTH THIRD FINANCIAL CORPORATION
FLUOR,FLUOR,1,contracts,1124198,FLUOR CORPORATION
FOODLION,FOODLION,1,injuries,,Foodlion
FREEDOM MORTGAGE,FREEDOM\s+MORTGAGE,1,complaints,,Freedom Mortgage Company
GALDERMA LABORATORIES,GALDERMA\s+LABORATORIES,1,doctor_payments,,"Galderma Laboratories, L.P."
GE,GE\s+CO,1,toxic_release,,GE CO
GENERAL ATOMICS,GENERAL\s+ATOMICS,1,contracts,,GENERAL ATOMICS
GENERAL ELECTRIC,GENERAL\s+ELECTRIC,1,contracts,40545,GENERAL ELECTRIC COMPANY
GENERAL ELECTRIC CO GE,GENERAL\s+ELECTRIC\s+CO\s+GE,1,toxic_release,,GENERAL ELECTRIC CO (GE CO)
GENERAL ELECTRIC COMPANY INCLUDING,GENERAL\s+ELECTRIC\s+COMPANY\s+INCLUDING,1,lobbying,,GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES)
GENERAL MOTORS FINANCIAL,GENERAL\s+MOTORS\s+FINANCIAL,1,complaints,,"General Motors Financial Company, Inc."
GENZYME,GENZYME,1,doctor_payments,,GENZYME CORPORATION
GILEAD SCIENCES,GILEAD\s+SCIENCES,1,doctor_payments,882095,"Gilead Sciences, Inc."
GLAXOSMITHKLINE,GLAXOSMITHKLINE,1,doctor_payments,,"GlaxoSmithKline, LLC."
GLOBAL PAYMENTS,GLOBAL\s+PAYMENTS,1,pacs,1123360,"GLOBAL PAYMENTS, INC."
GLOBUS MEDICAL,GLOBUS\s+MEDICAL,1,doctor_payments,1237831,"Globus Medical, Inc."
GOOGLE,GOOGLE,1,visas,,GOOGLE INC. | GOOGLE LLC
GOOGLE CLIENT,GOOGLE\s+CLIENT,1,lobbying,,GOOGLE CLIENT SERVICES LLC
GOVERNMENT OF THE UNITED STATES,GOVERNMENT\s+OF\s+THE\s+UNITED\s+STATES,1,contracts,,GOVERNMENT OF THE UNITED STATES
GREENE,GREENE,1,pacs,,GREENE
GRIJALVA,GRIJALVA,1,pacs,,GRIJALVA
GROW THE MAJORITY,GROW\s+THE\s+MAJORITY,1,pacs,,GROW THE MAJORITY
GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,GUARDIAN\s+LIFE\s+INSURANCE\s+COMPANY\s+OF\s+AMERICA,1,pacs,,THE GUARDIAN LIFE INSURANCE COMPANY OF AMERICA
GUTHRIE,GUTHRIE,1,pacs,,GUTHRIE
H E B,H\s+E\s+B,1,injuries,,H-E-B LP
HACKENSACK MERIDIAN HEALTH,HACKENSACK\s+MERIDIAN\s+HEALTH,1,injuries,,Hackensack Meridian Health
HALLIBURTON ENERGY,HALLIBURTON\s+ENERGY,1,toxic_release,,HALLIBURTON ENERGY SERVICES INC
HALLMARK CARDS,HALLMARK\s+CARDS,1,pacs,,"HALLMARK CARDS, INC."
HARRIGAN,HARRIGAN,1,pacs,,HARRIGAN
HARSCO,HARSCO,1,toxic_release,,HARSCO CORP
HARTFORD INSURANCE,HARTFORD\s+INSURANCE,1,pacs,874766,"THE HARTFORD INSURANCE GROUP, INC."
HCA,,1,injuries,,HCA
HCL AMERICA,HCL\s+AMERICA,1,visas,,"HCL AMERICA, INC."
HCL GLOBAL SYSTEMS,HCL\s+GLOBAL\s+SYSTEMS,1,visas,,HCL GLOBAL SYSTEMS INC
HEALTH NET,HEALTH\s+NET,1,contracts,,"HEALTH NET, INC."
HENRY FORD HEALTH,HENRY\s+FORD\s+HEALTH,1,injuries,,Henry Ford Health
HENRY SCHEIN,HENRY\s+SCHEIN,1,doctor_payments,1000228,"Henry Schein, Inc."
HENSEL PHELPS CONSTRUCTION,HENSEL\s+PHELPS\s+CONSTRUCTION,1,contracts,,HENSEL PHELPS CONSTRUCTION CO
HEXAWARE TECHNOLOGIES,HEXAWARE\s+TECHNOLOGIES,1,visas,,"HEXAWARE TECHNOLOGIES, INC."
HOLCIM PARTICIPATIONS,HOLCIM\s+PARTICIPATIONS,1,toxic_release,,HOLCIM PARTICIPATIONS (US) INC
HOME DEPOT,HOME\s+DEPOT,1,injuries,354950,The Home Depot
HP,HP\s+INC,1,contracts,47217,"HP, INC."
HSBC NORTH AMERICA,HSBC\s+NORTH\s+AMERICA,1,complaints,,HSBC NORTH AMERICA HOLDINGS INC.
HTC GLOBAL,HTC\s+GLOBAL,1,visas,,HTC GLOBAL SERVICES INC.
HUBBELL,HUBBELL,1,toxic_release,48898,HUBBELL INC
HUMANA,HUMANA,1,contracts,49071,HUMANA INC.
HUMANA GOVERNMENT BUSINESS,HUMANA\s+GOVERNMENT\s+BUSINESS,1,contracts,,HUMANA GOVERNMENT BUSINESS INC
HUNTINGTON INGALLS INDUSTRIES,HUNTINGTON\s+INGALLS\s+INDUSTRIES,1,contracts,1501585,"HUNTINGTON INGALLS INDUSTRIES, INC"
HUNTINGTON NATIONAL BANK THE,HUNTINGTON\s+NATIONAL\s+BANK\s+THE,1,complaints,,"HUNTINGTON NATIONAL BANK, THE"
HW,HW\s+HOLDING\s+INC,1,complaints,,"HW Holding, Inc"
HYATT,HYATT,1,injuries,,Hyatt Corporation
HYVEE,HYVEE,1,injuries,,HYVEE INC
I C SYSTEM,I\s+C\s+SYSTEM,1,complaints,,"I.C. System, Inc."
IBM,IBM,1,visas,,IBM CORPORATION
IBM INDIA PRIVATE,IBM\s+INDIA\s+PRIVATE,1,visas,,IBM INDIA PRIVATE LIMITED
ILLINOIS TOOL WORKS,ILLINOIS\s+TOOL\s+WORKS,1,toxic_release,49826,ILLINOIS TOOL WORKS INC
INARI MEDICAL,INARI\s+MEDICAL,1,doctor_payments,,"Inari Medical, Inc."
INCYTE,INCYTE,1,doctor_payments,879169,Incyte Corporation
INFOSYS,INFOSYS,1,visas,1067491,INFOSYS LIMITED
INTEL,INTEL,1,visas,50863,INTEL CORPORATION
INTERNATIONAL BUSINESS MACHINES,INTERNATIONAL\s+BUSINESS\s+MACHINES,1,contracts,51143,INTERNATIONAL BUSINESS MACHINES CORPORATION
INTERNATIONAL BUSINESS MACHINES CORPORATION IBM,INTERNATIONAL\s+BUSINESS\s+MACHINES\s+CORPORATION\s+IBM,1,lobbying,,INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM)
INTERNATIONAL PAPER,INTERNATIONAL\s+PAPER,1,toxic_release,,INTERNATIONAL PAPER CO
INTUIT,INTUIT,1,visas,896878,INTUIT INC.
INTUITIVE SURGICAL,INTUITIVE\s+SURGICAL,1,doctor_payments,1035267,"INTUITIVE SURGICAL, INC."
INVESTMENT COMPANY INSTITUTE,INVESTMENT\s+COMPANY\s+INSTITUTE,1,lobbying,,INVESTMENT COMPANY INSTITUTE
IPSEN BIOPHARMACEUTICALS,IPSEN\s+BIOPHARMACEUTICALS,1,pacs,,IPSEN BIOPHARMACEUTICALS INC.
ITI INC D B A INTRA CELLULAR THERAPIES,ITI\s+INC\s+D\s+B\s+A\s+INTRA\s+CELLULAR\s+THERAPIES,1,doctor_payments,,"ITI, Inc. (d/b/a Intra-Cellular Therapies, Inc.)"
ITT,ITT,1,contracts,216228,ITT CORPORATION
JACOBS ENGINEERING,JACOBS\s+ENGINEERING,1,contracts,,JACOBS ENGINEERING GROUP INC
JANSSEN BIOTECH,JANSSEN\s+BIOTECH,1,doctor_payments,,"Janssen Biotech, Inc."
JANSSEN PHARMACEUTICALS,JANSSEN\s+PHARMACEUTICALS,1,doctor_payments,,"Janssen Pharmaceuticals, Inc"
JAYAPAL,JAYAPAL,1,pacs,,JAYAPAL
JAZZ PHARMACEUTICALS,JAZZ\s+PHARMACEUTICALS,1,doctor_payments,1232524,JAZZ PHARMACEUTICALS INC.
JBS USA FOOD,JBS\s+USA\s+FOOD,1,toxic_release,,JBS USA FOOD CO
JOHNS HOPKINS UNIVERSITY,JOHNS\s+HOPKINS\s+UNIVERSITY,1,contracts,,THE JOHNS HOPKINS UNIVERSITY
JOHNSON & JOHNSON,JOHNSON\s+&\s+JOHNSON,1,lobbying,200406,JOHNSON & JOHNSON SERVICES INC
JPMORGAN CHASE &AMP,JPMORGAN\s+CHASE\s+&AMP,1,visas,,JPMORGAN CHASE &AMP; CO.
KAISER FOUNDATION HEALTH PLAN,KAISER\s+FOUNDATION\s+HEALTH\s+PLAN,1,injuries,,Kaiser Foundation Health Plan
KBR,KBR,1,contracts,1357615,"KBR, INC."
KELLY,KELLY,1,pacs,55135,KELLY
KENNEDY,KENNEDY,1,pacs,,KENNEDY
KFORCE,KFORCE,1,visas,930420,KFORCE INC.
KOCH,KOCH,1,toxic_release,,KOCH INC
KOCH GOVERNMENT AFFAIRS,KOCH\s+GOVERNMENT\s+AFFAIRS,1,lobbying,,"KOCH GOVERNMENT AFFAIRS, LLC"
KOCH INDUSTRIES,KOCH\s+INDUSTRIES,1,toxic_release,,KOCH INDUSTRIES INC
KOHLS,KOHLS,1,injuries,885639,Kohls Inc
KPMG,KPMG,1,visas,,KPMG LLP
KRIYA CAPITAL,KRIYA\s+CAPITAL,1,complaints,,"Kriya Capital, LLC"
L 3 COMMUNICATIONS,L\s+3\s+COMMUNICATIONS,1,contracts,,"L-3 COMMUNICATIONS HOLDINGS, INC."
L&T TECHNOLOGY,L&T\s+TECHNOLOGY,1,visas,,L&T TECHNOLOGY SERVICES LIMITED
L3HARRIS TECHNOLOGIES,L3HARRIS\s+TECHNOLOGIES,1,contracts,,"L3HARRIS TECHNOLOGIES, INC"
LABORERS INTERNATIONAL UNION OF NORTH AMERICA,LABORERS\s+INTERNATIONAL\s+UNION\s+OF\s+NORTH\s+AMERICA,1,pacs,,LABORERS' INTERNATIONAL UNION OF NORTH AMERICA
LAND O LAKES,LAND\s+O\s+LAKES,1,toxic_release,,LAND O LAKES INC | LAND O'LAKES INC
LARSEN & TOUBRO INFOTECH,LARSEN\s+&\s+TOUBRO\s+INFOTECH,1,visas,,LARSEN & TOUBRO INFOTECH LIMITED
LAUF,,1,pacs,,LAUF
LAWRENCE LIVERMORE NATIONAL SECURITY,LAWRENCE\s+LIVERMORE\s+NATIONAL\s+SECURITY,1,contracts,,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC"
LEE,,1,pacs,,LEE
LEGGETT & PLATT,LEGGETT\s+&\s+PLATT,1,toxic_release,58492,LEGGETT & PLATT INC
LEIDOS,LEIDOS,1,contracts,1336920,"LEIDOS HOLDINGS, INC."
LEONARDO SPA,LEONARDO\s+SPA,1,contracts,,LEONARDO SPA
LEXISNEXIS,LEXISNEXIS,1,complaints,,LEXISNEXIS
LILLY,LILLY,1,doctor_payments,,"Lilly USA, LLC"
LINKEDIN,LINKEDIN,1,visas,,LINKEDIN CORPORATION
LIUNA PAC,LIUNA\s+PAC,1,pacs,,LIUNA PAC
LIVANOVA,LIVANOVA,1,doctor_payments,1639691,"LivaNova USA, Inc."
LOS ALAMOS NATIONAL SECURITY,LOS\s+ALAMOS\s+NATIONAL\s+SECURITY,1,contracts,,LOS ALAMOS NATIONAL SECURITY LLC
M&T,M&T,1,complaints,36270,M&T BANK CORPORATION
MACANDREWS & FORBES,MACANDREWS\s+&\s+FORBES,1,contracts,,MACANDREWS & FORBES HOLDINGS INC.
MACYS,MACYS,1,injuries,,Macys
MALLINCKRODT HOSPITAL PRODUCTS,MALLINCKRODT\s+HOSPITAL\s+PRODUCTS,1,doctor_payments,,Mallinckrodt Hospital Products Inc.
MANTECH INTERNATIONAL,MANTECH\s+INTERNATIONAL,1,contracts,,MANTECH INTERNATIONAL CORPORATION
MARATHON PETROLEUM,MARATHON\s+PETROLEUM,1,toxic_release,1510295,MARATHON PETROLEUM CORP
MARLABS,MARLABS,1,visas,,"MARLABS, INC"
MARTIN MARIETTA MATERIALS,MARTIN\s+MARIETTA\s+MATERIALS,1,toxic_release,916076,MARTIN MARIETTA MATERIALS INC
MASS GENERAL BRIGHAM,MASS\s+GENERAL\s+BRIGHAM,1,injuries,,Mass General Brigham Inc
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS\s+INSTITUTE\s+OF\s+TECHNOLOGY,1,contracts,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
MASTECH DIGITAL TECHNOLOGIES INC A MASTECH DIGITAL,MASTECH\s+DIGITAL\s+TECHNOLOGIES\s+INC\s+A\s+MASTECH\s+DIGITAL,1,visas,,"MASTECH DIGITAL TECHNOLOGIES, INC., A MASTECH DIGITAL, INC. COMPANY"
MAXIMUS FEDERAL,MAXIMUS\s+FEDERAL,1,complaints,,"Maximus Federal Services, Inc."
MAYO CLINIC,MAYO\s+CLINIC,1,injuries,,Mayo Clinic
MCC DEVELOPMENT,MCC\s+DEVELOPMENT,1,toxic_release,,MCC DEVELOPMENT CORP
MCKESSON,MCKESSON,1,contracts,927653,MCKESSON CORPORATION
MEDACTA,MEDACTA,1,doctor_payments,,"MEDACTA USA, INC."
MEDCO HEALTH SOLUTIONS,MEDCO\s+HEALTH\s+SOLUTIONS,1,lobbying,,MEDCO HEALTH SOLUTIONS INC
MEDICAL DEVICE BUSINESS,MEDICAL\s+DEVICE\s+BUSINESS,1,doctor_payments,,"Medical Device Business Services, Inc."
MEDTRONIC,MEDTRONIC,1,doctor_payments,1613103,"Medtronic, Inc."
MENARDS,MENARDS,1,injuries,,"""Menards"""
MERCK,MERCK,1,lobbying,310158,MERCK & CO INC
MERCK SHARP & DOHME,MERCK\s+SHARP\s+&\s+DOHME,1,doctor_payments,,Merck Sharp & Dohme LLC
META PLATFORMS INC AND VARIOUS,META\s+PLATFORMS\s+INC\s+AND\s+VARIOUS,1,lobbying,,"META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES"
METHODIST HOSPITAL,METHODIST\s+HOSPITAL,1,injuries,,THE METHODIST HOSPITAL
METLIFE,METLIFE,1,pacs,1099219,METLIFE INC.
MGM RESORTS INTERNATIONAL,MGM\s+RESORTS\s+INTERNATIONAL,1,injuries,789570,MGM Resorts International
MILLER,,1,pacs,,MILLER
MINDTREE,MINDTREE,1,visas,,MINDTREE LIMITED
MISCELLANEOUS FOREIGN AWARDEES,MISCELLANEOUS\s+FOREIGN\s+AWARDEES,1,contracts,,MISCELLANEOUS FOREIGN AWARDEES
MITRE,MITRE,1,contracts,,THE MITRE CORPORATION
MOHELA,MOHELA,1,complaints,,MOHELA
MOORE,,1,pacs,,MOORE
MPHASIS,MPHASIS,1,visas,,MPHASIS CORPORATION
MR COOPER,MR\s+COOPER,1,complaints,,Mr. Cooper Group Inc.
MURPHY,,1,pacs,1573516,MURPHY
NAIOP,NAIOP,1,pacs,,"NAIOP, INC."
NATIONAL ASSOCIATION OF BROADCASTERS,NATIONAL\s+ASSOCIATION\s+OF\s+BROADCASTERS,1,lobbying,,NATIONAL ASSOCIATION OF BROADCASTERS
NATIONAL ASSOCIATION OF MANUFACTURERS,NATIONAL\s+ASSOCIATION\s+OF\s+MANUFACTURERS,1,lobbying,,NATIONAL ASSOCIATION OF MANUFACTURERS
NATIONAL ASSOCIATION OF REALTORS,NATIONAL\s+ASSOCIATION\s+OF\s+REALTORS,1,lobbying,,NATIONAL ASSOCIATION OF REALTORS
NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,NATIONAL\s+ASSOCIATION\s+OF\s+REALTORS\s+POLITICAL\s+ACTION\s+COMMITTEE,1,pacs,,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE
NATIONAL CREDIT ADJUSTERS,NATIONAL\s+CREDIT\s+ADJUSTERS,1,complaints,,"National Credit Adjusters, LLC"
NATIONAL CREDIT SYSTEMS,NATIONAL\s+CREDIT\s+SYSTEMS,1,complaints,,"National Credit Systems,Inc."
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION AMERICA S ELECTRIC COOPERATIVES PAC,NATIONAL\s+RURAL\s+ELECTRIC\s+COOPERATIVE\s+ASSOCIATION\s+AMERICA\s+S\s+ELECTRIC\s+COOPERATIVES\s+PAC,1,pacs,,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION AMERICA'S ELECTRIC COOPERATIVES PAC
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION NRECA,NATIONAL\s+RURAL\s+ELECTRIC\s+COOPERATIVE\s+ASSOCIATION\s+NRECA,1,pacs,,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA)
NATIONAL WILDLIFE FEDERATION ACTION FUND,NATIONAL\s+WILDLIFE\s+FEDERATION\s+ACTION\s+FUND,1,pacs,,NATIONAL WILDLIFE FEDERATION ACTION FUND
NATIONSTAR MORTGAGE,NATIONSTAR\s+MORTGAGE,1,complaints,,NATIONSTAR MORTGAGE LLC
NATIONWIDE,NATIONWIDE,1,pacs,,NATIONWIDE
NATURAL PRODUCTS ASSOCIATION,NATURAL\s+PRODUCTS\s+ASSOCIATION,1,pacs,,NATURAL PRODUCTS ASSOCIATION
NAVIENT SOLUTIONS,NAVIENT\s+SOLUTIONS,1,complaints,,"Navient Solutions, LLC."
NAVY FEDERAL CREDIT UNION,NAVY\s+FEDERAL\s+CREDIT\s+UNION,1,complaints,,NAVY FEDERAL CREDIT UNION
NCTA THE INTERNET & TELEVISION ASSOCIATION,NCTA\s+THE\s+INTERNET\s+&\s+TELEVISION\s+ASSOCIATION,1,lobbying,,NCTA - THE INTERNET & TELEVISION ASSOCIATION
NELNET,NELNET,1,complaints,1258602,"Nelnet, Inc."
NEUROCRINE BIOSCIENCES,NEUROCRINE\s+BIOSCIENCES,1,doctor_payments,914475,"Neurocrine Biosciences, Inc."
NEW DEMOCRAT COALITION ACTION FUND,NEW\s+DEMOCRAT\s+COALITION\s+ACTION\s+FUND,1,pacs,,NEW DEMOCRAT COALITION ACTION FUND
NONE,NONE,1,pacs,,NONE
NORTHROP GRUMMAN INNOVATION SYSTEMS,NORTHROP\s+GRUMMAN\s+INNOVATION\s+SYSTEMS,1,contracts,,NORTHROP GRUMMAN INNOVATION SYSTEMS LLC
NORTHWELL,NORTHWELL,1,injuries,,NORTHWELL
NOVARTIS,NOVARTIS,1,lobbying,,NOVARTIS
NOVARTIS PHARMACEUTICALS,NOVARTIS\s+PHARMACEUTICALS,1,doctor_payments,,Novartis Pharmaceuticals Corporation
NOVO NORDISK,NOVO\s+NORDISK,1,doctor_payments,,Novo Nordisk Inc
NRSC FUTURE FUND,NRSC\s+FUTURE\s+FUND,1,pacs,,NRSC FUTURE FUND
NTT DATA,NTT\s+DATA,1,visas,,"NTT DATA SERVICES, LLC | NTT DATA, INC."
NUCOR,NUCOR,1,toxic_release,73309,NUCOR CORP
NYC HEALTH HOSPITALS,NYC\s+HEALTH\s+HOSPITALS,1,injuries,,NYC Health + Hospitals | NYC Health Hospitals
OATH,OATH,1,visas,,OATH HOLDINGS INC.
OCCIDENTAL PETROLEUM,OCCIDENTAL\s+PETROLEUM,1,lobbying,,OCCIDENTAL PETROLEUM CORPORATION
OCWEN FINANCIAL,OCWEN\s+FINANCIAL,1,complaints,,Ocwen Financial Corporation
OLDCASTLE,OLDCASTLE,1,toxic_release,,OLDCASTLE INC
ONEMAIN,ONEMAIN,1,pacs,1584207,"ONEMAIN HOLDINGS, INC."
ONEMAIN FINANCE,ONEMAIN\s+FINANCE,1,complaints,,OneMain Finance Corporation
OPEN SOCIETY ACTION FUND,OPEN\s+SOCIETY\s+ACTION\s+FUND,1,lobbying,,OPEN SOCIETY ACTION FUND
OPTUM LABS TOPAZ,OPTUM\s+LABS\s+TOPAZ,1,contracts,,OPTUM LABS TOPAZ INC
ORACLE,ORACLE\s+CORPORATION,1,lobbying,1341439,ORACLE CORPORATION
ORACLE AMERICA,ORACLE\s+AMERICA,1,visas,,"ORACLE AMERICA, INC."
ORTHOFIX MEDICAL,ORTHOFIX\s+MEDICAL,1,doctor_payments,884624,"Orthofix Medical, Inc."
OSHKOSH,OSHKOSH,1,contracts,775158,OSHKOSH CORP
OWENS CORNING,OWENS\s+CORNING,1,toxic_release,1370946,OWENS CORNING
OZINGA BROS,OZINGA\s+BROS,1,toxic_release,,OZINGA BROS INC
PACIFIC GAS AND ELECTRIC,PACIFIC\s+GAS\s+AND\s+ELECTRIC,1,lobbying,,PACIFIC GAS AND ELECTRIC COMPANY
PACIFICORP,PACIFICORP,1,pacs,,PACIFICORP
PARKER HANNIFIN,PARKER\s+HANNIFIN,1,toxic_release,76334,PARKER HANNIFIN CORP
PARSONS,PARSONS,1,contracts,275880,PARSONS CORPORATION
PEPSICO,PEPSICO,1,toxic_release,77476,PEPSICO INC
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,PHARMACEUTICAL\s+RESEARCH\s+AND\s+MANUFACTURERS\s+OF\s+AMERICA,1,lobbying,,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA
PHATHOM PHARMACEUTICALS,PHATHOM\s+PHARMACEUTICALS,1,doctor_payments,1783183,"Phathom Pharmaceuticals, Inc."
PHILLIPS 66,PHILLIPS\s+66,1,toxic_release,1534701,PHILLIPS 66 CO
PIEDMONT HEALTHCARE,PIEDMONT\s+HEALTHCARE,1,injuries,,"Piedmont Healthcare, Inc."
PNC,PNC,1,complaints,,PNC Bank N.A.
PNC FINANCIAL,PNC\s+FINANCIAL,1,pacs,713676,"THE PNC FINANCIAL SERVICES GROUP, INC."
POLARIS CONSULTING,POLARIS\s+CONSULTING,1,visas,,POLARIS CONSULTING & SERVICES LTD
POPULUS,POPULUS,1,visas,,POPULUS GROUP LLC
PORTFOLIO RECOVERY ASSOCIATES,PORTFOLIO\s+RECOVERY\s+ASSOCIATES,1,complaints,,"Portfolio Recovery Associates, LLC"
PPG INDUSTRIES,PPG\s+INDUSTRIES,1,toxic_release,79879,PPG INDUSTRIES INC
PRICEWATERHOUSECOOPERS,PRICEWATERHOUSECOOPERS,1,visas,,PRICEWATERHOUSECOOPERS LLP
PRICEWATERHOUSECOOPERS ADVISORY,PRICEWATERHOUSECOOPERS\s+ADVISORY,1,visas,,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC
PRINCIPAL LIFE INSURANCE,PRINCIPAL\s+LIFE\s+INSURANCE,1,pacs,,PRINCIPAL LIFE INSURANCE COMPANY
PROVIDENCE HEALTH,PROVIDENCE\s+HEALTH,1,injuries,,Providence Health and Services
PUBLIX SUPER MARKETS,PUBLIX\s+SUPER\s+MARKETS,1,injuries,,Publix Super Markets Inc
QUALCOMM,QUALCOMM,1,lobbying,,QUALCOMM INCORPORATED
QUEST GLOBAL,QUEST\s+GLOBAL,1,visas,,"QUEST GLOBAL SERVICES- N.A., INC."
QUIKRETE,QUIKRETE,1,toxic_release,,QUIKRETE HOLDINGS
R L CARRIERS SHARED,R\s+L\s+CARRIERS\s+SHARED,1,injuries,,R  L Carriers Shared Services L.L.C.
RADIUS GLOBAL SOLUTIONS,RADIUS\s+GLOBAL\s+SOLUTIONS,1,complaints,,Radius Global Solutions LLC
RANDSTAD TECHNOLOGIES,RANDSTAD\s+TECHNOLOGIES,1,visas,,"RANDSTAD TECHNOLOGIES, LLC"
RAYTHEON,RAYTHEON,1,contracts,,RAYTHEON COMPANY
RECORDING INDUSTRY ASSOCIATION OF AMERICA,RECORDING\s+INDUSTRY\s+ASSOCIATION\s+OF\s+AMERICA,1,lobbying,,RECORDING INDUSTRY ASSOCIATION OF AMERICA
REGENERON HEALTHCARE SOLUTIONS,REGENERON\s+HEALTHCARE\s+SOLUTIONS,1,doctor_payments,,"Regeneron Healthcare Solutions, Inc."
REGENERON PHARMACEUTICALS,REGENERON\s+PHARMACEUTICALS,1,doctor_payments,872589,"Regeneron Pharmaceuticals, Inc."
REGENTS OF THE UNIVERSITY OF CALIFORNIA,REGENTS\s+OF\s+THE\s+UNIVERSITY\s+OF\s+CALIFORNIA,1,injuries,,The Regents of the University of California
REGIONS FINANCIAL,REGIONS\s+FINANCIAL,1,complaints,1281761,REGIONS FINANCIAL CORPORATION
RELADYNE,RELADYNE,1,toxic_release,,RELADYNE LLC
RESURGENT CAPITAL,RESURGENT\s+CAPITAL,1,complaints,,Resurgent Capital Services L.P.
ROCKET MORTGAGE,ROCKET\s+MORTGAGE,1,complaints,,"Rocket Mortgage, LLC"
ROCKWELL COLLINS AUSTRALIA PTY,ROCKWELL\s+COLLINS\s+AUSTRALIA\s+PTY,1,contracts,,ROCKWELL COLLINS AUSTRALIA PTY LIMITED
ROLLS ROYCE,ROLLS\s+ROYCE,1,contracts,,ROLLS-ROYCE HOLDINGS PLC
RPM INTERNATIONAL,RPM\s+INTERNATIONAL,1,toxic_release,,RPM INTERNATIONAL INC
RTX,RTX,1,contracts,101829,RTX CORP
RTX CORPORATION AND AFFILIATES,RTX\s+CORPORATION\s+AND\s+AFFILIATES,1,lobbying,,RTX CORPORATION AND AFFILIATES
RXSIGHT,RXSIGHT,1,doctor_payments,1111485,RxSight Inc
SAFEWAY,SAFEWAY,1,injuries,,Safeway Inc
SAINT GOBAIN,SAINT\s+GOBAIN,1,toxic_release,,SAINT-GOBAIN CORP
SALESFORCE COM,SALESFORCE\s+COM,1,visas,,"SALESFORCE.COM, INC."
SAMS EAST,SAMS\s+EAST,1,injuries,,"Sams  East, Inc."
SAMS WEST,SAMS\s+WEST,1,injuries,,"Sams  West, Inc."
SANOFI,SANOFI,1,lobbying,1121404,SANOFI US SERVICES INC
SANOFI AVENTIS,SANOFI\s+AVENTIS,1,doctor_payments,,SANOFI-AVENTIS U.S. LLC
SANTANDER,SANTANDER,1,complaints,,"SANTANDER HOLDINGS USA, INC."
SANTANDER CONSUMER,SANTANDER\s+CONSUMER,1,complaints,,Santander Consumer USA Holdings Inc.
SAP AMERICA,SAP\s+AMERICA,1,lobbying,,"SAP AMERICA, INC."
SAVANNAH RIVER NUCLEAR SOLUTIONS,SAVANNAH\s+RIVER\s+NUCLEAR\s+SOLUTIONS,1,contracts,,SAVANNAH RIVER NUCLEAR SOLUTIONS LLC
SCIENCE APPLICATIONS INTERNATIONAL,SCIENCE\s+APPLICATIONS\s+INTERNATIONAL,1,contracts,1571123,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
SCOTT,,1,pacs,,SCOTT
SEAFARERS INTERNATIONAL UNION OF NA AGLIW,SEAFARERS\s+INTERNATIONAL\s+UNION\s+OF\s+NA\s+AGLIW,1,pacs,,SEAFARERS INTERNATIONAL UNION OF NA-AGLIW
SELECT PORTFOLIO SERVICING,SELECT\s+PORTFOLIO\s+SERVICING,1,complaints,,"SELECT PORTFOLIO SERVICING, INC."
