company,domain,table,key,col,rows
3M,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,UEI,PARENT_UEI,11
3M,labor,LABOR__FED_DOL_EBSA_FORM5500_SCHEDULE_SB,EIN,SB_EIN,1
3M,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2025,EIN,EIN,263
3M,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2025,EIN,EIN,432
3M,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2023,EIN,EIN,83
3M,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2024,EIN,EIN,380
3M,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2024,EIN,EIN,311
3M,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,EIN,EIN,444
3M,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,CIK,CIK,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,EIN,EIN,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,CIK,CIK,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,EIN,EIN,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,CIK,CIK,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,EIN,EIN,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,CIK,CIK,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,EIN,EIN,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,CIK,CIK,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,EIN,EIN,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,CIK,CIK,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,EIN,EIN,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,CIK,CIK,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,EIN,EIN,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,CIK,CIK,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,EIN,EIN,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,CIK,CIK,1
3M,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,EIN,EIN,1
3M,money,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,CIK,CIK,1
