company,lists,domain,schema,table,col,rows,distinct,sample
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ENVIROFACTS,FACILITY_NAME,3,3,3M CO CHELMSFORD | 3M CO ELECTRICAL PRODUCTS DIV | 3M CO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,STANDARDIZED_PARENT_COMPANY,54,1,3M CO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,MAIL_NAME,52,47,3M CO - SPRINGFIELD | CERADYNE INC A 3M CO | 3M CO - HARTFORD CITY | 3M CO-VALLEY | 3M CO SCIENTIFIC ANGLERS | 3M CO DATA STORAGE PRODUCTS DIV
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,FACILITY_NAME,57,51,3M CO -  WAUSAU - GREYSTONE | 3M CO STAPLES PLANT | 3M CO - CYNTHIANA | 3M CO-VALLEY | 3M CO DATA STORAGE PRODUCTS DIV | 3M CO - TONAWANDA
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,PARENT_CO_NAME,78,2,3M CO INC | 3M CO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_4_FACILITY_NAME,137,27,3M CO - MEDINA | 3M CO - WAUSAU DOWNTOWN | 3M CO -  WAUSAU - GREYSTONE | 3M CO - MONROVIA TAPE | 3M CO - GUIN | 3M CO DBA 3M CLINTON
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_15_PARENT_CO_NAME,240,1,3M CO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_17_STANDARD_PARENT_CO_NAME,240,1,3M CO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__EPA_PENALTY_GAP,FACILITY_NAME,3,3,3M CO DEKALB DISTRIBUTION CENTER (DEKALB NORTH) | 3M CO - WAUSAU DOWNTOWN | 3M CO - GUIN
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_GHGRP_FACILITY,PARENT_COMPANY,121,1,3M CO (100%)
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_GHGRP_FACILITY,FACILITY_NAME,42,3,3M CO - WAUSAU DOWNTOWN | 3M CO - GUIN | 3M CO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FACILITY_NAME,4,3,3M CO - GREYSTONE | 3M CO | 3M CO WAUSAU PLT
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWS_NAME,1,1,3M CO GREYSTONE PLANT
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,FACILITY_NAME,2,2,3M CO DECATUR SPECIALTY CHEMIC | BORROW AREA 3M CO VOL CLEANUP
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,FACILITY_NAME,16,13,3M CO PRAIRIE DU CHIEN - FRENCHTOWN | 3M CO SPRINGFIELD DYNACOLOR | 3M CO PRAIRIE DU CHIEN - BLDG 50 | 3M CO EAU CLAIRE | 3M CO PINE COUNTY-KERRICK | 3M CO BILLERICA
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,34,25,3M CO GROVE CITY AC&S | 3M CO ST. PAUL INDUSTRIAL ABRASIVES | 3M CO SPRINGFIELD DYNACOLOR | BORROW AREA 3M CO VOL CLEANUP | 3M CO DEKALB DISTRIBUTION CENTER (DEKALB NORTH) | 3M CO - PITTSBORO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_NAME,38,29,3M CO PRAIRIE DU CHIEN BS AND CP | 3M CO DEKALB DISTRIBUTION CENTER (DEKALB NORTH) | 3M CO STATIC CONTROL SYSTEMS | 3M CO BRISTOL | 3M CO PRAIRIE DU CHIEN - BLDG 50 | 3M CO - PITTSBORO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS,PRIMARY_NAME,123,74,3M CO-HUTCHINSON | 3M CO PRAIRIE DU CHIEN - FRENCHTOWN | 3M CO GREYSTONE PLANT | 3M CO/BRISTOL | 3M CO BELLE MEAD | 3M CO-ALEXANDRIA
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FACILITIES,FACILITY_NAME,48,35,3M CO STAPLES PLANT | 3M CO OPTICAL RECORDING DEPT | 3M CO EAU CLAIRE | 3M CO MENOMONIE | 3M CO STATIC CONTROL SYSTEMS | 3M CO GROVE CITY AC&S
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,48,35,3M CO - GUIN | 3M CO PINE COUNTY-KERRICK | 3M CO - AUSTIN RESEARCH BOULEVARD SITE | 3M CO BOSTON BRANCH SALES CTR | 3M CO BILLERICA | 3M CO OPTICAL RECORDING DEPT
3M,toxic_release,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME_FULL,12,10,"IN RE: BAIR HUGGER FORCED AIR WARMING DEVICES PRODUCTS LIABILITY LITIGATION THIS DOCUMENT RELATES TO: CASE NOS.: 17-CV-1 | STIDHAM V. MINNESOTA MINING & MANUFACTURING, INC., DBA 3M CO. | 3M CO., FKA MINNESOTA MINING & MANUFACTURING CO. V. LEPAGE'S INC. | HARLEY V. 3M CO. | HIGBEE CO., DBA DILLARD DEPARTMENT STORES, INC. V. CHAPMAN JACKSON V. BIRMINGHAM BOARD OF EDUCATION 3M CO., FKA MINNESOT | FRANCES POSNER AND SARI POSNER, PLAINTIFFS, V. MINNESOTA MINING & MANUFACTURING CO., INC. A/K/A 3M CO., DEFENDANT"
