-- S06 GLEIF: top legal names by real count (checks the battery's 3.8K top-name counts)
K | NM | N | CTRY | A_CTRY
TOP | FUTURA S.R.L. | 42 | 1 | IT
TOP | ASHOK KUMAR | 41 | 1 | IN
TOP | RAJESH KUMAR | 41 | 1 | IN
TOP | BALAJI ENTERPRISES | 35 | 1 | IN
TOP | SUNIL KUMAR | 34 | 1 | IN
TOP | ALBA S.R.L. | 33 | 1 | IT
TOP | ANIL KUMAR | 32 | 1 | IN
TOP | SANJAY KUMAR | 31 | 1 | IN
TOP | MANOJ KUMAR | 31 | 1 | IN
TOP | CAISSE LOCALE DE CREDIT AGRICOLE MUTUEL | 30 | 1 | FR
TOP | ISTITUTO DIOCESANO PER IL SOSTENTAMENTO DEL CLERO | 29 | 1 | IT
TOP | VIJAY KUMAR | 29 | 1 | IN
TOP | NARESH KUMAR | 28 | 1 | IN
TOP | RAKESH KUMAR | 26 | 1 | IN
TOP | First State Bank | 26 | 1 | US
BATTERY | AWARD INTERNATIONAL TRADING L.L.C | 1 | 1 | AE
BATTERY | Alterius non sit B.V. | 1 | 1 | NL
BATTERY | KAILASH GULATI | 1 | 1 | IN
(18 rows; csv has all)
