-- S16 GLEIF, by managing office: activity in 2026, and how common prepaid multi-year renewals are (the dull explanation for a sanctioned ID staying current)
LOU | N | ISSUED | UPD_MAX | UPD_2026 | NEW_2026 | REG_AUG_OCT25 | MULTI_YR | MULTI_YR_UPD_LATER | ISSUED_PAID_AHEAD
5493001KJTIIGC8Y1R12 | 526970 | 232145 | 2026-07-22 21:08:37.769000+00:00 | 177881 | 25773 | 10609 | 1313 | 1313 | 0
529900T8BM49AURSDO55 | 481379 | 344629 | 2026-07-23 15:05:24+00:00 | 242309 | 35150 | 15026 | 3177 | 3177 | 0
213800WAVVOPS85N2205 | 296943 | 105673 | 2026-07-23 00:05:22.330000+00:00 | 65435 | 6081 | 2866 | 465 | 465 | 0
529900F6BNUR3RJ2WH29 | 262941 | 167702 | 2026-07-23 03:30:27+02:00 | 113934 | 22534 | 7830 | 1310 | 1310 | 0
5299000J2N45DDNE4Y28 | 216528 | 127703 | 2026-07-23 16:22:50+02:00 | 71992 | 11435 | 4280 | 996 | 996 | 0
815600EAD78C57FCE690 | 204902 | 135267 | 2026-07-23 04:47:23+02:00 | 90211 | 9860 | 3324 | 605 | 605 | 0
724500A93Z8V1MJK5349 | 172241 | 111980 | 2026-07-22 22:00:02.017000+02:00 | 60144 | 11414 | 3750 | 2 | 2 | 0
959800R2X69K6Y6MX775 | 157445 | 82779 | 2026-07-22 23:31:59.913000+02:00 | 51293 | 5597 | 1940 | 51 | 51 | 0
549300O897ZC5H7CY412 | 152377 | 79877 | 2026-07-23 14:47:00+00:00 | 46192 | 6742 | 1897 | 681 | 681 | 0
969500Q2MA9VBQ8BG884 | 150521 | 71669 | 2026-07-23 00:06:18.054000+02:00 | 65150 | 10671 | 3896 | 218 | 218 | 0
335800FVH4MOKZS9VH40 | 140808 | 117425 | 2026-07-23 08:59:33.374000+00:00 | 85075 | 18037 | 7445 | 1305 | 1305 | 0
39120001KULK7200U106 | 136097 | 102106 | 2026-07-23 12:47:19.629000+02:00 | 59244 | 6929 | 2539 | 694 | 694 | 0
655600IJ8LS3CCDA4421 | 108114 | 2771 | 2026-07-23 09:23:02+08:00 | 2539 | 301 | 133 | 3 | 3 | 0
485100001PLJJ09NZT59 | 88301 | 81930 | 2026-07-23 14:41:05+00:00 | 56627 | 33461 | 10912 | 2037 | 2036 | 8
52990034RLKT0WSOAM90 | 56721 | 31472 | 2026-07-23 11:32:04+00:00 | 26210 | 1623 | 618 | 150 | 150 | 0
743700OO8O2N3TQKJC81 | 50405 | 38873 | 2026-07-22 21:40:14+03:00 | 22271 | 2159 | 812 | 2 | 2 | 0
259400L3KBYEVNHEJF55 | 37902 | 21846 | 2026-07-22 23:48:14+02:00 | 13423 | 1673 | 667 | 112 | 112 | 0
315700LK78Z7C0WMIL03 | 29189 | 16205 | 2026-07-23 11:04:03+02:00 | 22901 | 1032 | 458 | 38 | 38 | 0
353800279ADEFGKNTV65 | 17338 | 10000 | 2026-07-23 00:00:23+00:00 | 5376 | 548 | 215 | 0 | 0 | 0
635400DZBUIMTBCXGA12 | 15900 | 7922 | 2026-07-22 00:00:00+01:00 | 5775 | 626 | 257 | 2 | 2 | 0
894500IIP432AHQ64V02 | 14148 | 10506 | 2026-07-23 00:05:00+02:00 | 6083 | 826 | 389 | 60 | 60 | 0
506700LOLO7M6V0E4247 | 11711 | 7769 | 2026-07-23 08:36:40+00:00 | 5358 | 468 | 199 | 35 | 35 | 0
98450045AN5EB5FDC780 | 10554 | 7731 | 2026-07-23 08:46:22+02:00 | 8325 | 263 | 132 | 63 | 63 | 0
789000TVSB96MCOKSB52 | 9362 | 6096 | 2026-07-23 00:00:00+02:00 | 3767 | 505 | 272 | 4 | 4 | 0
48510000JZ17NWGUA510 | 7054 | 3801 | 2026-07-23 00:00:00+00:00 | 2471 | 295 | 105 | 4 | 4 | 2
558600FNC30A8J9EGQ54 | 5475 | 3385 | 2026-07-22 18:00:36+03:00 | 2426 | 320 | 197 | 8 | 8 | 0
097900BEFH0000000217 | 5259 | 3011 | 2026-07-23 08:41:47.171000+02:00 | 2172 | 394 | 138 | 19 | 19 | 0
4469000001AVO26P9X86 | 3533 | 2031 | 2026-07-22 20:24:56.919000-06:00 | 1333 | 232 | 79 | 3 | 3 | 0
254900LXHEVKYGERER05 | 3467 | 2263 | 2026-07-23 18:14:37+00:00 | 1530 | 244 | 100 | 6 | 6 | 0
747800R0J5YBJED3N877 | 2507 | 1403 | 2026-07-22 16:25:15+02:00 | 1556 | 163 | 39 | 0 | 0 | 1
9884008RRMX1X5HV6625 | 2071 | 1046 | 2026-07-23 16:35:36+00:00 | 727 | 101 | 47 | 1 | 1 | 0
253400M18U5TB02TW421 | 1598 | 497 | 2026-07-23 14:59:34.283000+03:00 | 390 | 22 | 29 | 0 | 0 | 0
378900F4A0A690EA6735 | 1157 | 598 | 2026-07-23 10:08:39+02:00 | 433 | 69 | 20 | 0 | 0 | 0
029200067A7K6CH0H586 | 622 | 275 | 2026-07-21 10:55:54+00:00 | 272 | 46 | 17 | 0 | 0 | 0
984500ID493BDCR4B368 | 369 | 369 | 2026-07-21 08:11:16.977000+00:00 | 364 | 360 | 4 | 0 | 0 | 0
EVK05KS7XY1DEII3R011 | 149 | 0 | 2024-08-15 00:00:00+00:00 | 0 | 0 | 0 | 0 | 0 | 0
254900PMALKJRL1YGQ18 | 145 | 105 | 2026-07-23 12:00:37.370000+03:00 | 55 | 5 | 4 | 0 | 0 | 0
4117IB8J63IUO2SES575 | 74 | 66 | 2026-07-22 11:40:10+01:00 | 32 | 1 | 0 | 0 | 0 | 0
815600F58F7382929F40 | 23 | 15 | 2026-06-24 13:55:14+00:00 | 12 | 0 | 0 | 0 | 0 | 0
335800NFZPTMGTPAHE42 | 1 | 0 | 2025-01-16 20:15:01+00:00 | 0 | 0 | 0 | 0 | 0 | 0
(40 rows; csv has all)
