-- S02 MTS receipts: whole table (7.5K rows), every line of every monthly statement
RECORD_DATE | RECORD_FISCAL_YEAR | TABLE_NBR | CLASSIFICATION_ID | PARENT_ID | CLASSIFICATION_DESC | SEQUENCE_LEVEL_NBR | SEQUENCE_NUMBER_CD | DATA_TYPE_CD | RECORD_TYPE_CD | LINE_CODE_NBR | SRC_LINE_NBR | CURRENT_MONTH_GROSS_RCPT_AMT | CURRENT_MONTH_REFUND_AMT | CURRENT_MONTH_NET_RCPT_AMT | CURRENT_FYTD_GROSS_RCPT_AMT | CURRENT_FYTD_REFUND_AMT | CURRENT_FYTD_NET_RCPT_AMT | PRIOR_FYTD_GROSS_RCPT_AMT | PRIOR_FYTD_REFUND_AMT | PRIOR_FYTD_NET_RCPT_AMT
2015-03-31 | 2015.0 | 4 | 12662437 |  | Individual Income Taxes | 1 | 1 | D | RSG | 100 | 1 |  |  |  |  |  |  |  |  | 
2015-03-31 | 2015.0 | 4 | 12662439 | 12662437 | Withheld | 2 | 1.1 | D | SRS | 102 | 2 | 121794117883.49 |  |  | 648780643164.92 |  |  | 609404526850.58 |  | 
2015-03-31 | 2015.0 | 4 | 12662441 | 12662437 | Presidential Election Campaign Fund | 2 | 1.2 | D | SRS | 105 | 3 | 5746080.0 |  |  | 13243353.0 |  |  | 11013174.0 |  | 
2015-03-31 | 2015.0 | 4 | 12662443 | 12662437 | Other | 2 | 1.3 | D | SRS | 110 | 4 | 16076520330.62 |  |  | 139508793144.16 |  |  | 119982892554.69 |  | 
2015-03-31 | 2015.0 | 4 | 12662447 | 12662437 | Total -- Individual Income Taxes | 2 | 1.4 | T | RSG | 120 | 5 | 137876384294.11 | 51903429543.44 | 85972954750.67 | 788302679662.08 | 146868721741.55 | 641433957920.53 | 729398432579.27 | 144484012116.1 | 584914420463.17
2015-03-31 | 2015.0 | 4 | 12662451 |  | Corporation Income Taxes | 1 | 2 | D | RSG | 130 | 6 | 39698468928.59 | 9217925757.15 | 30480543171.44 | 163668182609.55 | 31553920176.89 | 132114262432.66 | 137239458657.96 | 19684631553.66 | 117554827104.3
2015-03-31 | 2015.0 | 4 | 12662456 |  | Social Insurance and Retirement Receipts: | 1 | 3 | S | RSG | 140 | 7 |  |  |  |  |  |  |  |  | 
2015-03-31 | 2015.0 | 4 | 12662464 | 12662456 | Employment and General Retirement: | 2 | 3.1 | S | RSG | 150 | 8 |  |  |  |  |  |  |  |  | 
2015-03-31 | 2015.0 | 4 | 12662470 | 12662464 | Federal Old-Age and Survivors Insurance Trust Fund: | 3 | 3.1.1 | S | RSG | 160 | 9 |  |  |  |  |  |  |  |  | 
2015-03-31 | 2015.0 | 4 | 12662475 | 12662470 | Federal Insurance Contributions Act Taxes | 4 | 3.1.1.1 | D | SRS | 200 | 10 | 55521000000.0 |  | 55521000000.0 | 305557990615.01 |  | 305557990615.01 | 292273000000.0 |  | 292273000000.0
2015-03-31 | 2015.0 | 4 | 12662477 | 12662470 | Self-Employment Contributions Act Taxes | 4 | 3.1.1.2 | D | SRS | 204 | 11 | 1085000000.0 |  | 1085000000.0 | 8864000000.0 |  | 8864000000.0 | 8495000000.0 |  | 8495000000.0
2015-03-31 | 2015.0 | 4 | 12662488 | 12662470 | Adjustments Attributable to Prior Years | 4 | 3.1.1.3 | D | SRS | 209 | 12 | 7853517699.44 |  | 7853517699.44 | 3477146519.21 |  | 3477146519.21 | 3479502232.25 |  | 3479502232.25
2015-03-31 | 2015.0 | 4 | 12662496 | 12662470 | Total -- Federal Old-Age and Survivors Insurance Trust Fund | 4 | 3.1.1.4 | T | RSG | 210 | 13 | 64459517699.44 |  | 64459517699.44 | 317899137134.22 |  | 317899137134.22 | 304247502232.25 |  | 304247502232.25
2015-03-31 | 2015.0 | 4 | 12662502 | 12662464 | Federal Disability Insurance Trust Fund: | 3 | 3.1.2 | S | RSG | 211 | 14 |  |  |  |  |  |  |  |  | 
2015-03-31 | 2015.0 | 4 | 12662506 | 12662502 | Federal Insurance Contributions Act Taxes | 4 | 3.1.2.1 | D | SRS | 212 | 15 | 9427000000.0 |  | 9427000000.0 | 51887000000.0 |  | 51887000000.0 | 49631000000.0 |  | 49631000000.0
2015-03-31 | 2015.0 | 4 | 12662511 | 12662502 | Self-Employment Contributions Act Taxes | 4 | 3.1.2.2 | D | SRS | 214 | 16 | 185000000.0 |  | 185000000.0 | 1506000000.0 |  | 1506000000.0 | 1444000000.0 |  | 1444000000.0
2015-03-31 | 2015.0 | 4 | 12662521 | 12662502 | Adjustments Attributable to Prior Years | 4 | 3.1.2.3 | D | SRS | 219 | 17 | 1333553373.99 |  | 1333553373.99 | 587770335.02 |  | 587770335.02 | 585524588.89 |  | 585524588.89
2015-03-31 | 2015.0 | 4 | 12662523 | 12662502 | Total -- Federal Disability Insurance Trust Fund | 4 | 3.1.2.4 | T | RSG | 220 | 18 | 10945553373.99 |  | 10945553373.99 | 53980770335.02 |  | 53980770335.02 | 51660524588.89 |  | 51660524588.89
2015-03-31 | 2015.0 | 4 | 12662527 | 12662464 | Federal Hospital Insurance Trust Fund: | 3 | 3.1.3 | S | RSG | 221 | 19 |  |  |  |  |  |  |  |  | 
2015-03-31 | 2015.0 | 4 | 12662529 | 12662527 | Federal Insurance Contributions Act Taxes | 4 | 3.1.3.1 | D | SRS | 222 | 20 | 17675000000.0 |  | 17675000000.0 | 109724000000.0 |  | 109724000000.0 | 105598000000.0 |  | 105598000000.0
2015-03-31 | 2015.0 | 4 | 12662533 | 12662527 | Self-Employment Contributions Act Taxes | 4 | 3.1.3.2 | D | SRS | 224 | 21 | 685000000.0 |  | 685000000.0 | 4155000000.0 |  | 4155000000.0 | 4085000000.0 |  | 4085000000.0
2015-03-31 | 2015.0 | 4 | 12662541 | 12662527 | Adjustments Attributable to Prior Years | 4 | 3.1.3.3 | D | SRS | 228 | 22 | 2386505140.29 |  | 2386505140.29 | 874084821.03 |  | 874084821.03 | 1974296932.2 |  | 1974296932.2
2015-03-31 | 2015.0 | 4 | 12662545 | 12662527 | Total -- Federal Hospital Insurance Trust Fund | 4 | 3.1.3.4 | T | RSG | 229 | 23 | 20746505140.29 |  | 20746505140.29 | 114753084821.03 |  | 114753084821.03 | 111657296932.2 |  | 111657296932.2
2015-03-31 | 2015.0 | 4 | 12662547 | 12662464 | Railroad Retirement: | 3 | 3.1.4 | S | RSG | 230 | 24 |  |  |  |  |  |  |  |  | 
2015-03-31 | 2015.0 | 4 | 12662551 | 12662547 | Rail Pension and Supplemental Annuity | 4 | 3.1.4.1 | D | RSG | 235 | 25 | 331079346.37 | 9738.91 | 331069607.46 | 1639364924.79 | 497483.03 | 1638867441.76 | 1488291568.96 | 25044524.68 | 1463247044.28
2015-03-31 | 2015.0 | 4 | 12662553 | 12662547 | Social Security Equivalent Account | 4 | 3.1.4.2 | D | RSG | 240 | 26 | 314706836.22 | 8502.17 | 314698334.05 | 1615460508.18 | 474261.16 | 1614986247.02 | 1508251649.8 |  | 1508277244.93
2015-03-31 | 2015.0 | 4 | 12662557 | 12662464 | Total -- Employment and General Retirement | 3 | 3.1.5 | T | RSG | 241 | 27 | 96797362396.31 | 18241.08 | 96797344155.23 | 489887817723.24 | 971744.19 | 489886845979.05 | 470561866972.1 | 25018929.55 | 470536848042.55
2015-03-31 | 2015.0 | 4 | 12662559 | 12662456 | Unemployment Insurance: | 2 | 3.2 | S | RSG | 250 | 28 |  |  |  |  |  |  |  |  | 
2015-03-31 | 2015.0 | 4 | 12662562 | 12662559 | Deposits by States | 3 | 3.2.1 | D | RSG | 251 | 29 | 399648540.11 |  | 399648540.11 | 12213237977.97 |  | 12213237977.97 | 13642360364.9 |  | 13642360364.9
2015-03-31 | 2015.0 | 4 | 12662564 | 12662559 | Federal Unemployment Taxes | 3 | 3.2.2 | D | RSG | 254 | 30 | 81141012.4 | 26927634.14 | 54213378.26 | 4786622106.73 | 41904362.31 | 4744717744.42 | 4436445456.88 | 31534485.62 | 4404910971.26
