-- S05 GLEIF: registration status x entity status, validation, sentinel dates, snapshot date, overdue renewals still ISSUED
RS | ES | N | LEIS | V_FULL | V_SELF | V_PENDING | REG0 | REG1 | UPD1 | SNAPSHOT | RENEW_OVERDUE | CREAT_SENTINEL | CREAT_FUTURE | CREAT_NULL | NONCONF | LOUS | COUNTRIES
 |  | 3382301 | 3382301 | 2976315 | 274871 | 0 | 2012-06-06 00:00:00+04:00 | 2026-07-23 14:58:30+00:00 | 2026-07-23 18:14:37+00:00 | 2026-07-23 18:14:37+00:00 | 1435435 | 2887 | 82 | 612520 | 1294305 | 40 | 236
ISSUED | ACTIVE | 1940507 | 1940507 | 1771951 | 92736 | 0 | 2012-06-06 00:00:00+04:00 | 2026-07-23 14:58:30+00:00 | 2026-07-23 18:14:37+00:00 | 2026-07-23 18:14:37+00:00 | 1005 | 2173 | 82 | 0 | 109758 | 38 | 229
LAPSED | ACTIVE | 1185127 | 1185127 | 977419 | 161124 | 0 | 2012-06-06 00:00:00+01:00 | 2026-07-06 18:34:16+02:00 | 2026-07-23 14:58:30+00:00 | 2026-07-23 18:14:37+00:00 | 1185127 | 535 | 0 | 519608 | 1183911 | 39 | 228
RETIRED | INACTIVE | 246860 | 246860 | 221370 | 17507 | 0 | 2012-06-06 00:00:00+04:00 | 2026-07-10 03:53:23+00:00 | 2026-07-23 14:35:00+00:00 | 2026-07-23 18:14:37+00:00 | 240406 | 177 | 0 | 85939 | 122 | 36 | 147
DUPLICATE | NULL | 6461 | 6461 | 3450 | 2502 | 0 | 2012-06-06 15:51:00+00:00 | 2026-06-23 12:39:21.043000+00:00 | 2026-07-17 11:22:02.360000+00:00 | 2026-07-23 18:14:37+00:00 | 6361 | 1 | 0 | 5019 | 0 | 31 | 117
ANNULLED | NULL | 1660 | 1660 | 1085 | 534 | 0 | 2012-06-06 15:53:00+00:00 | 2026-07-06 16:39:24.117000+02:00 | 2026-07-22 00:00:00+01:00 | 2026-07-23 18:14:37+00:00 | 1614 | 1 | 0 | 1053 | 0 | 29 | 67
PENDING_TRANSFER | ACTIVE | 544 | 544 | 479 | 35 | 0 | 2013-11-06 10:40:20+01:00 | 2026-07-16 12:46:00+00:00 | 2026-07-23 14:00:04+00:00 | 2026-07-23 18:14:37+00:00 | 313 | 0 | 0 | 34 | 296 | 20 | 40
ISSUED | NULL | 434 | 434 | 94 | 334 | 0 | 2021-08-11 00:00:00+01:00 | 2026-07-22 14:21:57+00:00 | 2026-07-22 14:21:57+00:00 | 2026-07-23 18:14:37+00:00 | 0 | 0 | 0 | 432 | 4 | 8 | 26
RETIRED | NULL | 416 | 416 | 232 | 67 | 0 | 2012-06-06 17:53:00+02:00 | 2022-05-25 00:00:00+00:00 | 2026-05-15 10:30:58+02:00 | 2026-07-23 18:14:37+00:00 | 416 | 0 | 0 | 415 | 0 | 4 | 17
PENDING_ARCHIVAL | ACTIVE | 286 | 286 | 229 | 32 | 0 | 2012-10-05 00:39:00+02:00 | 2026-04-14 00:00:00+00:00 | 2026-07-23 14:43:15+00:00 | 2026-07-23 18:14:37+00:00 | 187 | 0 | 0 | 20 | 208 | 21 | 40
LAPSED | INACTIVE | 3 | 3 | 3 | 0 | 0 | 2016-04-13 12:19:30+02:00 | 2022-12-27 13:08:18+01:00 | 2026-07-21 12:37:01+02:00 | 2026-07-23 18:14:37+00:00 | 3 | 0 | 0 | 0 | 3 | 2 | 2
PENDING_ARCHIVAL | INACTIVE | 3 | 3 | 3 | 0 | 0 | 2020-12-01 15:21:48+01:00 | 2021-12-16 00:00:00+00:00 | 2026-07-10 09:03:30.727000+00:00 | 2026-07-23 18:14:37+00:00 | 3 | 0 | 0 | 0 | 3 | 2 | 3
(12 rows; csv has all)
