H	HD	ALLOWED	BILLERS	SQCM	BENE_ROWS	AVG_PX	SHARE
Q4205	Membrane graft or membrane wrap, per square centimeter	848616189.0	288	652198.9	7535.0	1297.0	0.1835
Q4271	Complete ft, per square centimeter	618540702.0	128	373674.30000000005	2838.0	1646.0	0.1338
Q4275	Esano aca, per square centimeter	571969446.0	46	218147.0	1125.0	2627.0	0.1237
Q4191	Restorigin, per square centimeter	388900592.0	135	262596.7	3236.0	1485.0	0.0841
Q4164	Helicoll, per square centimeter	317799917.0	60	207296.0	1239.0	1508.0	0.0687
Q4262	Dual layer impax membrane, per square centimeter	180917541.0	38	159311.0	658.0	1117.0	0.0391
Q4276	Orion, per square centimeter	177038790.0	23	132581.3	691.0	1418.0	0.0383
Q4331	Axolotl graft, per square centimeter	122887827.0	9	74664.0	258.0	1646.0	0.0266
Q4299	Amnicore pro+, per square centimeter	115780622.0	27	48872.0	778.0	2388.0	0.025
Q4239	Amnio-maxx or amnio-maxx lite, per square centimeter	112661513.0	38	47039.0	892.0	2398.0	0.0244
Q4277	Woundplus membrane or e-graft, per square centimeter	102380415.0	24	58894.0	402.0	1735.0	0.0221
Q4238	Derm-maxx, per square centimeter	91479411.0	34	81745.0	548.0	1130.0	0.0198
Q4250	Amnioamp-mp, per square centimeter	84382307.0	29	36657.0	813.0	2313.0	0.0183
Q4295	Amnio tri-core amniotic, per square centimeter	78698509.0	30	39923.0	836.0	1992.0	0.017
Q4221	Amniowrap2, per square centimeter	71226470.0	19	40666.0	455.0	1746.0	0.0154
Q4290	Membrane wrap-hydro, per square centimeter	64593863.0	27	33873.0	563.0	1905.0	0.014
Q4282	Cygnus dual, per square centimeter	60746747.0	58	78519.0	1271.0	775.0	0.0131
Q4294	Amnio quad-core, per square centimeter	53431637.0	21	24158.0	378.0	2207.0	0.0116
Q4303	Complete aa, per square centimeter	50226750.0	12	15215.0	199.0	3328.0	0.0109
Q4236	Carepatch, per square centimeter	45117573.0	16	59451.0	473.0	789.0	0.0098
Q4265	Neostim tl, per square centimeter	44078267.0	17	21287.0	403.0	2077.0	0.0095
Q4204	Xwrap, per square centimeter	39132609.0	17	14096.0	231.0	2700.0	0.0085
Q4281	Barrera sl or barrera dl, per square centimeter	29769450.0	16	19857.0	386.0	1524.0	0.0064
Q4194	Novachor, per square centimeter	29696702.0	50	30226.0	1899.0	978.0	0.0064
Q4229	Cogenex amniotic membrane, per square centimeter	27713858.0	39	31370.2	1242.0	881.0	0.006
Q4268	Surgraft ft, per square centimeter	23074003.0	4	20932.3	126.0	1181.0	0.005
Q4296	Rebound matrix, per square centimeter	20521447.0	2	9151.0	90.0	2243.0	0.0044
Q4278	Epieffect, per square centimeter	19128250.0	46	46713.0	1253.0	403.0	0.0041
Q4326	Woundplus, per square centimeter	18178256.0	9	9566.0	131.0	1900.0	0.0039
Q4316	Amchoplast, per square centimeter	15711370.0	3	3793.0	43.0	4144.0	0.0034
