K	A	B	C	D	E	F
prof	2026-04-01	135120	0	6299908		
sample	16	1	2200146		2025-07-18	18:1347.F
sample	73	2	2500749		2025-09-12	18:1347.F
sample	3C	0	2560164		2025-06-26	18:1347.F
sample	3L	2	2500174		2025-06-23	18:1347.F
sample	70	2	2600122		2026-02-10	18:1347.F
sample	04	3	2600008		2026-01-12	18:1347.F
sample	20	6	2501232		2025-11-05	18:1347.F
sample	3G	5	2600006		2026-03-10	18:1347.F
