M	N	AMT	NPIS	YRS
LivaNova USA, Inc.	24091	53532376.0	6998	2022,2023,2024
Novartis Pharmaceuticals Corporation	1172972	36798237.0	150584	2022,2023,2024
Surgical Innovation Associates, Inc.	166	11056153.0	97	2022
NOVARTIS PHARMACEUTICALS CORPORATION	8843	10685299.0	3631	2022,2023,2024
Skye Orthobiologics LLC	45	7221735.0	43	2022,2024
Innovasis Inc	1286	3279389.0	242	2022,2023,2024
Shoulder Innovations, Inc.	1463	3090827.0	290	2022,2023,2024
Novastep Inc.	2578	2149099.0	433	2022,2023,2024
BIOTISSUE HOLDINGS INC.	20909	2088801.0	7392	2024
Sanara MedTech Inc.	6372	1575434.0	3792	2022,2023,2024
BIOTISSUE HOLDINGS, INC.	11844	1545274.0	5789	2023
PRECISION SPINE, INC.	488	1317974.0	103	2023,2024
BioTissue Holdings, Inc.	11928	1225101.0	5882	2022
Nova Eye, Inc.	490	1037001.0	313	2022,2023,2024
Novartis Pharma AG	368	1032012.0	128	2022,2023,2024
Royal Biologics, Inc.	806	885488.0	242	2022,2023,2024
Innovation Technologies Inc	7880	771576.0	6090	2022,2023,2024
ETS Wound Care LLC	1597	760168.0	677	2022,2023,2024
Ipsen Innovation	327	633294.0	96	2022,2023,2024
Carl Zeiss Meditec Digital Innovations LLC	56	628388.0	42	2022,2023,2024
Aziyo Biologics, Inc.	2623	592164.0	1128	2022,2023
Stability Biologics, LLC	431	575010.0	231	2022,2023,2024
Precision Spine, Inc.	214	545513.0	75	2022
Servier BioInnovation	61	478832.0	30	2022,2023,2024
Neuromechanical Innovations, LLC	2	458841.0	1	2022,2024
Novartis Gene Therapies, Inc. (fka AveXis, Inc.)	794	415722.0	158	2022,2023
Memic Innovative Surgery Inc.	768	415053.0	261	2022
Novavax Inc	489	384659.0	303	2023,2024
Expanding Innovations, Inc.	113	270397.0	44	2023,2024
Nutech Spine, Inc.	167	234887.0	28	2022,2023,2024
BioLab Sciences, Inc.	6	200062.0	6	2022
Shimadzu Precision Instruments, Inc.	18	197816.0	14	2022,2023,2024
Sequence LifeScience, Inc	53	194500.0	2	2024
NovApproach Spine, LLC	236	165968.0	40	2022,2023,2024
PolyMedics Innovations Inc.	669	162089.0	274	2022,2023,2024
Sensible Medical Innovations Ltd	5	136827.0	2	2022,2023,2024
Sensible Medical Innovations Inc	47	129654.0	37	2022,2023,2024
Human Regenerative Technologies	6	118750.0	6	2022,2024
Exapnding Innovations, Inc.	21	111354.0	9	2022
Elutia, Inc.	651	90725.0	324	2024
Novartis Gene Therapies, Inc. (fka Avexis, Inc.)	15	72167.0	12	2024
Piedmont Plus Innovation	562	70034.0	174	2022,2023,2024
Ambu Innovation GmbH	5	67089.0	4	2022,2023
Amnio Technology, LLC	44	56397.0	11	2022,2023,2024
Innovative Medical Products, Inc.	31	52792.0	5	2022,2023,2024
Novabone Products	8	51400.0	5	2022,2023
Vascular Graft Solutions Inc	31	43902.0	9	2022,2023,2024
Genesis Software Innovations, LLC	24	37554.0	8	2022,2023,2024
BioWound Solutions, Inc.	124	24071.0	98	2024
Inova Diagnostics, Inc.	8	11778.0	7	2022,2023,2024
Innova Vascular Inc.	17	11054.0	15	2024
Merakris Therapeutics, Inc.	7	10759.0	7	2023,2024
Winter Innovations, Inc.	15	8451.0	6	2022,2023,2024
RELJA Innovations LLC	8	6482.0	8	2022,2023
Catheter Precision Inc.	85	4201.0	72	2022,2023,2024
Biomimetic Innovations Limited	6	4000.0	4	2022,2023
Precision Medical Products Inc.	38	1274.0	36	2022,2023,2024
Innovative Medical Devices, Inc.	4	394.0	3	2022,2023
Drake Precision Dental Lab	4	164.0	3	2022,2023
