RK	NPI	LAST	FIRST	TYP	CITY	ST	SS_ALLOWED	SQCM	MAX_CODE_BENES	CODES	TOP_CODE	TOP_DESC	TOP_SHARE	PROV_BENES	PROV_ALLOWED	DRUG_ALLOWED	DRUG_BENES	DRUG_SPRSN_IND	N_BILLERS	NAT_ALLOWED
1	1003053851	Jeng	Aaron	Internal Medicine	San Gabriel	CA	146633379.0	102873.0	403.0	4	Q4205	Membrane graft or membrane wrap, per squ	0.751	839	154471471.78	148192928.67	495		1153	4623505064.0
2	1881629079	Denmark	Thomas	Family Practice	Tulsa	OK	99251509.0	81794.0	81.0	4	Q4276	Orion, per square centimeter	0.636	524	102478786.04	100417838.51	220		1153	4623505064.0
3	1174092035	Reyes Chouza	Carlos	Nurse Practitioner	West Palm Beach	FL	96206416.0	46326.0	49.0	4	Q4275	Esano aca, per square centimeter	0.519	203	101797058.16	6124789.57	32		1153	4623505064.0
4	1669736427	Kapadia	Ravi	General Surgery	Bakersfield	CA	91829065.0	58824.0	28.0	2	Q4164	Helicoll, per square centimeter	0.942	113	97068640.67	96753001.44	35		1153	4623505064.0
5	1609051853	Pandey	Rahul	Nephrology	Houston	TX	86370687.0	33098.0	110.0	1	Q4275	Esano aca, per square centimeter	1.0	321	88411502.03			*	1153	4623505064.0
6	1831709740	Yukee	Marizel	Nurse Practitioner	Las Vegas	NV	83111874.0	38096.0	205.0	3	Q4275	Esano aca, per square centimeter	0.737	352	86551564.6	22438811.15	112		1153	4623505064.0
7	1518111426	Myers	Phillip	Physician Assistant	Visalia	CA	52974629.0	42339.0	66.0	5	Q4205	Membrane graft or membrane wrap, per squ	0.809	306	53511794.86	53135168.91	86		1153	4623505064.0
8	1215678495	Charles	Allison	Nurse Practitioner	Sun City	AZ	47413850.0	28625.9	36.0	1	Q4271	Complete ft, per square centimeter	1.0	78	54881402.34	54790408.48	42		1153	4623505064.0
9	1710519665	Castillo Madrigal	Michel	Nurse Practitioner	Miami	FL	42138927.0	17067.0	18.0	3	Q4275	Esano aca, per square centimeter	0.767	49	42421630.24			*	1153	4623505064.0
10	1700341427	Vasquez	Andrea	Nurse Practitioner	Cerritos	CA	41230846.0	25809.0	21.0	1	Q4164	Helicoll, per square centimeter	1.0	23	44671652.14	44612313.7	23		1153	4623505064.0
11	1821442666	Powell	Kelly	General Practice	Grass Valley	CA	40188927.0	21964.0	36.0	3	Q4299	Amnicore pro+, per square centimeter	0.392	67	52848850.34	52687167.98	61		1153	4623505064.0
12	1629046669	Jenson	David	Podiatry	Shenandoah	TX	38884873.0	29920.0	32.0	1	Q4205	Membrane graft or membrane wrap, per squ	1.0	290	44977046.84	39971934.99	131		1153	4623505064.0
13	1053996785	Perri	Collin	Physician Assistant	Spokane	WA	38777638.0	24219.0	60.0	3	Q4221	Amniowrap2, per square centimeter	0.413	108	43415335.02	43220101.73	95		1153	4623505064.0
14	1679001564	Hassan	Mohammed	Podiatry	Whittier	CA	33584394.0	20186.0	33.0	5	Q4164	Helicoll, per square centimeter	0.559	516	33928002.62	33706152.04	39		1153	4623505064.0
15	1174182760	Kinds	Jorge	Nurse Practitioner	Phoenix	AZ	32075370.0	27838.0	35.0	1	Q4262	Dual layer impax membrane, per square ce	1.0	49	33966006.45	33914724.07	41		1153	4623505064.0
16	1659869881	Byers	Brent	Nurse Practitioner	Edmond	OK	31764738.0	16332.0	64.0	3	Q4295	Amnio tri-core amniotic, per square cent	0.429	358	34260836.32	25517894.91	86		1153	4623505064.0
17	1225633753	Gorton	Jami	Nurse Practitioner	Windsor	CO	31495479.0	23079.0	39.0	2	Q4271	Complete ft, per square centimeter	0.537	90	32737050.78	32626874.23	53		1153	4623505064.0
18	1740662147	Baharloo	Babak	Podiatry	Houston	TX	31181452.0	19900.0	58.0	5	Q4205	Membrane graft or membrane wrap, per squ	0.457	401	32396097.14	31943311.07	105		1153	4623505064.0
19	1447323118	Tulsyan	Nirman	Vascular Surgery	Montclair	NJ	31129862.0	11928.0	40.0	1	Q4275	Esano aca, per square centimeter	1.0	544	32493257.53			*	1153	4623505064.0
20	1255987475	Denny	Ira	Nurse Practitioner	Surprise	AZ	29984094.0	26023.0	33.0	1	Q4262	Dual layer impax membrane, per square ce	1.0	70	30748087.75	30689721.27	41		1153	4623505064.0
21	1700848355	Piasecki	Justin	Plastic and Reconstructive Surgery	Gig Harbor	WA	29514140.0	13402.0	63.0	2	Q4299	Amnicore pro+, per square centimeter	0.854	412	31011664.09	30324603.67	76		1153	4623505064.0
22	1427372333	Limperos	Richard	Podiatry	Medina	OH	29003513.0	13106.0	26.0	2	Q4239	Amnio-maxx or amnio-maxx lite, per squar	0.895	1087	29650820.08	29003661.22	94		1153	4623505064.0
23	1992821797	Lee	Catherine	Dermatology	Corona Del Mar	CA	28187400.0	19521.0	135.0	7	Q4191	Restorigin, per square centimeter	0.332	581	34158823.79	28187416.7	263		1153	4623505064.0
24	1851316434	Gutstein	Daniel	Family Practice	Skokie	IL	28006021.0	19921.0	43.0	3	Q4205	Membrane graft or membrane wrap, per squ	0.511	316	32725381.33	32166981.82	126		1153	4623505064.0
25	1568791010	Yalamuri	Ravi Kanth	Internal Medicine	San Antonio	TX	27129095.0	10396.0	40.0	1	Q4275	Esano aca, per square centimeter	1.0	725	29971353.59			*	1153	4623505064.0
26	1558621003	Hajhosseini	Babak	General Surgery	Los Angeles	CA	26079817.0	19162.0	38.0	1	Q4191	Restorigin, per square centimeter	1.0	70	27617364.08	27397078.66	42		1153	4623505064.0
27	1336209345	Angeles	Adam	Plastic and Reconstructive Surgery	Bend	OR	25522154.0	19711.0	15.0	1	Q4205	Membrane graft or membrane wrap, per squ	1.0	47	41998787.63	41587985.51	18		1153	4623505064.0
28	1942559703	Mills	Jacqueline	Physician Assistant	Jbsa Randolph	TX	24763340.0	15145.0	29.0	2	Q4271	Complete ft, per square centimeter	0.772	216	25683666.99	25549322.7	46		1153	4623505064.0
29	1952575342	Kohanzadeh	Som	Plastic and Reconstructive Surgery	Beverly Hills	CA	24067089.0	18428.0	55.0	2	Q4205	Membrane graft or membrane wrap, per squ	0.872	386	25659679.13	24102512.97	61		1153	4623505064.0
30	1902544240	Okoro	Chibuikem	Physician Assistant	Temecula	CA	23703058.0	15680.0	20.0	3	Q4271	Complete ft, per square centimeter	0.717	176	28007151.96	27770958.89	46		1153	4623505064.0
