COUNTY_FIPS	COUNTY_NAME	STATE_NAME	POPULATION_2020
01001	Autauga	Alabama	58805
01003	Baldwin	Alabama	231767
01005	Barbour	Alabama	25223
01007	Bibb	Alabama	22293
01009	Blount	Alabama	59134
01011	Bullock	Alabama	10357
01013	Butler	Alabama	19051
01015	Calhoun	Alabama	116441
01017	Chambers	Alabama	34772
01019	Cherokee	Alabama	24971
01021	Chilton	Alabama	45014
01023	Choctaw	Alabama	12665
01025	Clarke	Alabama	23087
01027	Clay	Alabama	14236
01029	Cleburne	Alabama	15056
01031	Coffee	Alabama	53465
01033	Colbert	Alabama	57227
01035	Conecuh	Alabama	11597
01037	Coosa	Alabama	10387
01039	Covington	Alabama	37570
01041	Crenshaw	Alabama	13194
01043	Cullman	Alabama	87866
01045	Dale	Alabama	49326
01047	Dallas	Alabama	38462
01049	DeKalb	Alabama	71608
01051	Elmore	Alabama	87977
01053	Escambia	Alabama	36757
01055	Etowah	Alabama	103436
01057	Fayette	Alabama	16321
01059	Franklin	Alabama	32113
01061	Geneva	Alabama	26659
01063	Greene	Alabama	7730
01065	Hale	Alabama	14785
01067	Henry	Alabama	17146
01069	Houston	Alabama	107202
01071	Jackson	Alabama	52579
01073	Jefferson	Alabama	674721
01075	Lamar	Alabama	13972
01077	Lauderdale	Alabama	93564
01079	Lawrence	Alabama	33073
01081	Lee	Alabama	174241
01083	Limestone	Alabama	103570
01085	Lowndes	Alabama	10311
01087	Macon	Alabama	19532
01089	Madison	Alabama	388153
01091	Marengo	Alabama	19323
01093	Marion	Alabama	29341
01095	Marshall	Alabama	97612
01097	Mobile	Alabama	414809
01099	Monroe	Alabama	19772
01101	Montgomery	Alabama	228954
01103	Morgan	Alabama	123421
01105	Perry	Alabama	8511
01107	Pickens	Alabama	19123
01109	Pike	Alabama	33009
01111	Randolph	Alabama	21967
01113	Russell	Alabama	59183
01115	St. Clair	Alabama	91103
01117	Shelby	Alabama	223024
01119	Sumter	Alabama	12345
01121	Talladega	Alabama	82149
01123	Tallapoosa	Alabama	41311
01125	Tuscaloosa	Alabama	227036
01127	Walker	Alabama	65342
01129	Washington	Alabama	15388
01131	Wilcox	Alabama	10600
01133	Winston	Alabama	23540
02013	Aleutians East	Alaska	3420
02016	Aleutians West	Alaska	5232
02020	Anchorage	Alaska	291247
02050	Bethel	Alaska	18666
02060	Bristol Bay	Alaska	844
02063	Chugach	Alaska	7102
02066	Copper River	Alaska	2617
02068	Denali	Alaska	1619
02070	Dillingham	Alaska	4857
02090	Fairbanks North Star	Alaska	95655
