K	ID	NM	ACT	CITY	ST	FIPS	NFIPS	DU
top	BO5539347	VA CONSOLIDATED MAIL OUTPATIENT PHARMACY	RETAIL PHARMACY	NORTH CHARLESTON	SC	45019	1	512414034.0
top	BK5210834	KAISER FOUNDATION HOSP	RETAIL PHARMACY	LIVERMORE	CA	06001	1	353630730.0
top	BK4844658	KAISER FOUNDATION HLTH PLN	RETAIL PHARMACY	DOWNEY	CA	06037	1	175504570.0
top	BD4829062	VA CONSOLIDATED MAIL OUTPATIENT PHARMACY	RETAIL PHARMACY	LEAVENWORTH	KS	20103	1	105379210.0
top	BP9744524	OPTUMRX	RETAIL PHARMACY	CARLSBAD	CA	06073	1	65887670.0
top	BW8910879	WALGREENS MAIL SERVICE, INC.	CHAIN PHARMACY	ORLANDO	FL	12095	1	62926800.0
top	BP9587847	OPTUMRX	RETAIL PHARMACY	OVERLAND PARK	KS	20091	1	50239530.0
top	BL3878090	REEVES-SAIN EXTENDED CARE	RETAIL PHARMACY	MURFREESBORO	TN	47149	1	45925980.0
top	BH9569851	HUMANA PHARMACY, INC	RETAIL PHARMACY	PHOENIX	AZ	04013	1	43193300.0
top	BW4197883	WALGREENS MAIL SERVICE, INC.	CHAIN PHARMACY	TEMPE	AZ	04013	1	38474810.0
top	BI7566245	INJURED WORKERS PHARMACY	RETAIL PHARMACY	ANDOVER	MA	25009	1	34273550.0
top	BE9490626	ENCLARA PHARMACIA	RETAIL PHARMACY	SHARON HILL	PA	42045	1	28549335.0
top	FH0825313	HUMANA PHARMACY, INC.	RETAIL PHARMACY	WEST CHESTER	OH	39017	1	28192220.0
top	BP8680779	PMSI, LLC	RETAIL PHARMACY	TAMPA	FL	12057	1	26253800.0
top	BH4051265	HEARTLAND HLTHCARE SERVICES	RETAIL PHARMACY	TOLEDO	OH	39095	1	23238860.0
all							2	76628848041.23817
null_fips							453	101469492.0
