BUYER_DEA_NO	BUYER	CITY	ST	FIPS	ACT	REPORTER_DEA_NO	REPORTER	FAMILY	RCITY	RST	RACT	DU	O30	Y0	Y1	N
BK5145114	KROGER #558	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	485700.0	210700.0	2006	2012	1862
BH0688981	TENNESSEE CVS PHARMACY, L.L.C.	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0205559	CVS TN DISTRIBUTION, LLC	CVS	KNOXVILLE	TN	DISTRIBUTOR	1484900.0	0.0	2006	2012	2548
BC5933634	TENNESSEE CVS PHARMACY, L.L.C.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	394530.0	94100.0	2006	2012	1501
BF6412857	FOOD CITY PHARMACY #677	KNOXVILLE	TN	47093	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	920000.0	168500.0	2006	2012	2622
AK3262374	KROGER PHARMACY #848	KNOXVILLE	TN	47093	CHAIN PHARMACY	RK0233180	KROGER LIMITED PARTNERSHIP I	Kroger	CLEVELAND	TN	DISTRIBUTOR	440200.0	0.0	2006	2012	2381
BF7721675	FOOD CITY PHARMACY #653	KINGSTON	TN	47145	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	1132140.0	104340.0	2006	2012	3517
BF8698853	FOOD CITY PHARMACY 634	HARRIMAN	TN	47145	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	927500.0	11700.0	2006	2012	2633
BK4759645	KROGER #525	KNOXVILLE	TN	47093	CHAIN PHARMACY	RK0233180	KROGER LIMITED PARTNERSHIP I	Kroger	CLEVELAND	TN	DISTRIBUTOR	515800.0	0.0	2006	2012	3567
BK1115395	KROGER PHARMACY #684	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	139200.0	38600.0	2006	2012	899
AC0401240	TENNESSEE CVS PHARMACY, L.L.C.	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0205559	CVS TN DISTRIBUTION, LLC	CVS	KNOXVILLE	TN	DISTRIBUTOR	227200.0	0.0	2006	2012	1044
BF9649522	FOOD CITY PHARMACY #647	MARYVILLE	TN	47009	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	521800.0	8700.0	2006	2012	2205
BF9649483	FOOD CITY PHARMACY #683	FARRAGUT	TN	47093	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	620600.0	99400.0	2006	2009	2096
BF9322443	FOOD CITY PHARMACY #475	PIKEVILLE	KY	21195	CHAIN PHARMACY	RA0314562	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	LOCKBOURNE	OH	DISTRIBUTOR	1061500.0	10600.0	2006	2012	2321
BW2779710	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0347496	WALGREEN CO.	Walgreen Co	WILLIAMSTON	SC	DISTRIBUTOR	1381730.0	0.0	2008	2012	2989
BS6751297	SAM'S PHARMACY 10-8256	KNOXVILLE	TN	47093	CHAIN PHARMACY	PW0186785	WAL-MART PHARM WAREHOUSE #1	Wal-Mart	ROGERS	AR	DISTRIBUTOR	256400.0	0.0	2007	2012	1572
BW8012976	WALGREEN CO.	POWELL	TN	47093	CHAIN PHARMACY	RW0277752	WALGREEN CO	Walgreen Co	JUPITER	FL	DISTRIBUTOR	62500.0	12500.0	2006	2007	275
BK5384639	KROGER PHARMACY #530	KNOXVILLE	TN	47093	CHAIN PHARMACY	RK0233180	KROGER LIMITED PARTNERSHIP I	Kroger	CLEVELAND	TN	DISTRIBUTOR	826700.0	0.0	2006	2012	4153
BH0688981	TENNESSEE CVS PHARMACY, L.L.C.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	1107100.0	363100.0	2006	2012	3044
BF8443703	FOOD CITY PHARMACY # 614	NEWPORT	TN	47029	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	502300.0	38900.0	2006	2012	1660
BF6608698	FOOD CITY PHARMACY #425	SOUTH WILLIAMSON	KY	21195	CHAIN PHARMACY	RA0314562	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	LOCKBOURNE	OH	DISTRIBUTOR	2096800.0	4700.0	2006	2012	4256
