YEAR	N	FIPS	MINLEN	BANDS	POP
1999	3139	3139	5	20.1-22 | 12.1-14 | 16.1-18 | 6.1-8 | 8.1-10 | 18.1-20 | 10.1-12 | 22.1-24 | 14.1-16 | 26.1-28 | 4.1-6 | 0-2 | 2.1-4	279033949
2000	3139	3139	5	4.1-6 | 10.1-12 | 16.1-18 | 12.1-14 | 14.1-16 | 28.1-30 | 0-2 | 22.1-24 | 2.1-4 | 8.1-10 | 6.1-8 | 18.1-20 | 20.1-22	282117522
2001	3139	3139	5	22.1-24 | 10.1-12 | 18.1-20 | 20.1-22 | 6.1-8 | 12.1-14 | 24.1-26 | >30 | 0-2 | 2.1-4 | 16.1-18 | 4.1-6 | 8.1-10 | 14.1-16	284922756
2002	3139	3139	5	16.1-18 | 26.1-28 | 12.1-14 | 24.1-26 | 2.1-4 | >30 | 4.1-6 | 0-2 | 22.1-24 | 10.1-12 | 14.1-16 | 8.1-10 | 6.1-8 | 20.1-22 | 18.1-20	287578284
2003	3141	3141	5	8.1-10 | 10.1-12 | 0-2 | 18.1-20 | 14.1-16 | 20.1-22 | 22.1-24 | 6.1-8 | 12.1-14 | >30 | 26.1-28 | 28.1-30 | 4.1-6 | 2.1-4 | 24.1-26 | 16.1-18	290104691
2004	3141	3141	5	20.1-22 | 0-2 | 28.1-30 | 24.1-26 | 4.1-6 | 10.1-12 | 12.1-14 | >30 | 6.1-8 | 16.1-18 | 22.1-24 | 26.1-28 | 2.1-4 | 18.1-20 | 8.1-10 | 14.1-16	292802076
2005	3141	3141	5	14.1-16 | 8.1-10 | 16.1-18 | 10.1-12 | 28.1-30 | 6.1-8 | 2.1-4 | 18.1-20 | 0-2 | 22.1-24 | 12.1-14 | 26.1-28 | 20.1-22 | 4.1-6 | 24.1-26 | >30	295513352
2006	3141	3141	5	4.1-6 | 16.1-18 | 26.1-28 | >30 | 28.1-30 | 6.1-8 | 2.1-4 | 18.1-20 | 10.1-12 | 8.1-10 | 20.1-22 | 24.1-26 | 0-2 | 14.1-16 | 12.1-14 | 22.1-24	298376657
2007	3141	3141	5	20.1-22 | 8.1-10 | 0-2 | 10.1-12 | 26.1-28 | 14.1-16 | >30 | 22.1-24 | 6.1-8 | 2.1-4 | 24.1-26 | 28.1-30 | 16.1-18 | 12.1-14 | 4.1-6 | 18.1-20	301227930
2008	3141	3141	5	20.1-22 | 2.1-4 | 8.1-10 | 26.1-28 | 22.1-24 | 18.1-20 | 12.1-14 | 4.1-6 | 24.1-26 | 28.1-30 | 6.1-8 | 14.1-16 | 16.1-18 | 10.1-12 | >30 | 0-2	304090646
2009	3141	3141	5	16.1-18 | 4.1-6 | >30 | 6.1-8 | 14.1-16 | 28.1-30 | 2.1-4 | 10.1-12 | 20.1-22 | 24.1-26 | 12.1-14 | 8.1-10 | 26.1-28 | 18.1-20 | 0-2 | 22.1-24	306768223
2010	3141	3141	5	0-2 | 22.1-24 | 26.1-28 | 8.1-10 | 24.1-26 | 6.1-8 | 10.1-12 | 4.1-6 | >30 | 16.1-18 | 14.1-16 | 20.1-22 | 28.1-30 | 12.1-14 | 2.1-4 | 18.1-20	309343528
2011	3141	3141	5	14.1-16 | 6.1-8 | 0-2 | 8.1-10 | 28.1-30 | 12.1-14 | 24.1-26 | 10.1-12 | 16.1-18 | >30 | 4.1-6 | 20.1-22 | 2.1-4 | 22.1-24 | 18.1-20 | 26.1-28	311715514
2012	3141	3141	5	16.1-18 | 24.1-26 | 18.1-20 | 2.1-4 | 26.1-28 | 6.1-8 | 20.1-22 | 14.1-16 | 28.1-30 | >30 | 12.1-14 | 4.1-6 | 0-2 | 10.1-12 | 22.1-24 | 8.1-10	314099231
2013	3141	3141	5	2.1-4 | 20.1-22 | 0-2 | 12.1-14 | 4.1-6 | 18.1-20 | 16.1-18 | 8.1-10 | 28.1-30 | 22.1-24 | 14.1-16 | >30 | 24.1-26 | 10.1-12 | 6.1-8 | 26.1-28	316423977
2014	3140	3140	5	20.1-22 | 14.1-16 | 2.1-4 | 26.1-28 | 0-2 | >30 | 8.1-10 | 12.1-14 | 4.1-6 | 22.1-24 | 18.1-20 | 10.1-12 | 24.1-26 | 16.1-18 | 6.1-8 | 28.1-30	318904003
2015	3140	3140	5	4.1-6 | 16.1-18 | 18.1-20 | 14.1-16 | 26.1-28 | 2.1-4 | >30 | 22.1-24 | 24.1-26 | 6.1-8 | 10.1-12 | 20.1-22 | 0-2 | 8.1-10 | 12.1-14 | 28.1-30	321415381
