VALUE,LABEL
follow_the_money,Follow the Money
power_who_holds_it,Who Holds Power
harm_to_people,Harm to People
sanctions_illicit,Sanctions & Illicit
revolving_door,Revolving Door
corporate_ownership,Corporate Ownership
enforcement_actions,Enforcement Actions
public_health_safety,Public Health & Safety
civil_rights_history,Civil Rights History
epstein,Epstein
