VALUE,TIER
EIN,STEEL
NPI,STEEL
CIK,STEEL
UEI,STEEL
DUNS,STEEL
LEI,STEEL
IMO,STEEL
MMSI,STEEL
CCN,STEEL
PATENT,STEEL
DOCKET,STRONG
NAICS,STRONG
NCES,STRONG
SIC,STRONG
FIPS,GEO
ZIP,GEO
LATLON,GEO
COUNTRY,GEO
GEOM,GEO
NAME,PROBABILISTIC
ADDRESS,PROBABILISTIC
