db,schema,table,column,dtype,row_count
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_ENVIROFACTS,POSTAL_CODE,TEXT,5000
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FACILITIES,POSTAL_CODE,TEXT,5300149
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_ZIP,TEXT,3277557
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS,POSTAL_CODE,TEXT,4406498
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_GHGRP_FACILITY,ZIP,TEXT,136005
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,ZIP_CODE,TEXT,279728
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,ZIP,TEXT,1213737
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,ZIP_CODE,TEXT,1613224
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS,ZIP_CODE_SERVED,TEXT,578198
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,ZIP_CODE,TEXT,434040
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_SUPERFUND_SITE_BOUNDARIES,ZIP_CODE,TEXT,2114
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_9_ZIP,TEXT,78647
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,MAIL_ZIP_CODE,TEXT,64990
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,ZIP_CODE,TEXT,64990
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_NOAA_WEATHER_API,ZIP_CODE,TEXT,287
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS,OPERATOR_POSTAL_CODE,TEXT,2039
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_USCG_NRC_INCIDENTS,RESPONSIBLE_ZIP,TEXT,1029020
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_USCG_NRC_INCIDENT_REPORTS,RESPONSIBLE_ZIP,TEXT,116662
LIBRARY_MARTS,FINANCE,FINANCE__FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES,FACILITY_ZIP,TEXT,150877
LIBRARY_MARTS,FINANCE,FINANCE__FED_EPA_ICIS_FEC_CASE_FACILITIES,ZIP,TEXT,204019
LIBRARY_MARTS,FINANCE,FINANCE__FED_FDIC_BANK_DATA,ZIP,TEXT,27836
LIBRARY_MARTS,FINANCE,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,BRANCH_ZIP,TEXT,2823000
LIBRARY_MARTS,FINANCE,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,INSTITUTION_ZIP,TEXT,2823000
LIBRARY_MARTS,FINANCE,FINANCE__FED_FEC_BULK,CMTE_ZIP,TEXT,20938
LIBRARY_MARTS,FINANCE,FINANCE__FED_FEC_BULK_COMMITTEES,CMTE_ZIP,TEXT,20007
LIBRARY_MARTS,FINANCE,FINANCE__FED_FEC_CANDIDATES,CAND_ZIP,TEXT,33506
LIBRARY_MARTS,FINANCE,FINANCE__FED_FEC_COMMITTEES,CMTE_ZIP,TEXT,78039
LIBRARY_MARTS,FINANCE,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE,ZIP_CODE,TEXT,866730
LIBRARY_MARTS,FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,ZIP_CODE,TEXT,84172112
LIBRARY_MARTS,FINANCE,FINANCE__FED_FHFA_FHLB_MEMBERSHIP,ZIP,TEXT,6327
LIBRARY_MARTS,FINANCE,FINANCE__FED_IRS_SOI,ZIP_CODE,TEXT,179796
LIBRARY_MARTS,FINANCE,FINANCE__FED_NCUA_CALL_REPORTS,ZIP_CODE,TEXT,121713
LIBRARY_MARTS,FINANCE,FINANCE__FED_NCUA_CALL_REPORTS_FOICU,ZIP_CODE,TEXT,4336
LIBRARY_MARTS,FINANCE,FINANCE__FED_NCUA_FEDERALLY_INSURED_CU_LIST,ZIP_CODE_MAILING_ADDRESS,TEXT,4250
LIBRARY_MARTS,FINANCE,FINANCE__FED_SEC_13F_FILERS,FILINGMANAGER_ZIPCODE,TEXT,344109
LIBRARY_MARTS,FINANCE,FINANCE__FED_SEC_BUSINESS_DEVELOPMENT_COMPANY_REPORT,ZIP_CODE,TEXT,212
LIBRARY_MARTS,FINANCE,FINANCE__FED_SEC_CLOSED_END_FUND_INFORMATION,ZIP_CODE,TEXT,973
LIBRARY_MARTS,FINANCE,FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,ZIP_CODE,TEXT,1934673
LIBRARY_MARTS,FINANCE,FINANCE__FED_SEC_INVESTMENT_COMPANY_SERIES_CLASS,ZIP_CODE,TEXT,43123
LIBRARY_MARTS,FINANCE,FINANCE__INTL_OSFI_REGULATED_FI,POSTAL_ZIP_CODE,TEXT,343
