===== q29 (stmt 30) 28 rows
K | AG | R16 | R20 | R24 | R_BASE | S16 | S20 | S24 | S_BASE
sig24 | Industry and Security Bureau | 18 | 15 | 17 | 6.7 | 3 | 9 | 6 | 1.5
sig24 | Homeland Security Department | 5 | 3 | 12 | 1.7 | 4 | 2 | 5 | 0.6
sig24 | Children and Families Administration | 4 | 4 | 6 | 0.9 | 4 | 3 | 5 | 0.6
sig24 | Health and Human Services Department | 9 | 9 | 15 | 3.0 | 7 | 7 | 6 | 1.7
sig24 | Education Department | 9 | 4 | 5 | 2.0 | 8 | 0 | 4 | 1.0
sig24 | Environmental Protection Agency | 120 | 62 | 108 | 81.7 | 15 | 23 | 7 | 4.5
sig24 | Food and Nutrition Service | 6 | 2 | 5 | 2.1 | 5 | 1 | 3 | 0.8
sig24 | National Oceanic and Atmospheric Administration | 64 | 69 | 41 | 59.1 | 1 | 3 | 3 | 0.9
sig24 | Housing and Urban Development Department | 16 | 7 | 10 | 2.5 | 13 | 1 | 3 | 1.1
sig24 | Engineers Corps | 2 | 9 | 2 | 0.9 | 1 | 1 | 2 | 0.1
sig24 | Office of the Secretary | 16 | 16 | 17 | 10.6 | 5 | 8 | 5 | 3.2
sig24 | Indian Affairs Bureau | 1 | 1 | 2 | 1.0 | 0 | 0 | 2 | 0.3
sig16 | Housing and Urban Development Department | 16 | 7 | 10 | 2.5 | 13 | 1 | 3 | 1.1
sig16 | Environmental Protection Agency | 120 | 62 | 108 | 81.7 | 15 | 23 | 7 | 4.5
sig16 | Energy Department | 23 | 15 | 20 | 6.8 | 9 | 7 | 1 | 1.8
sig16 | Education Department | 9 | 4 | 5 | 2.0 | 8 | 0 | 4 | 1.0
sig16 | Personnel Management Office | 13 | 0 | 6 | 3.2 | 7 | 0 | 3 | 1.5
sig16 | Food and Drug Administration | 33 | 3 | 9 | 18.3 | 7 | 1 | 2 | 1.6
sig16 | Health and Human Services Department | 9 | 9 | 15 | 3.0 | 7 | 7 | 6 | 1.7
sig16 | Centers for Medicare & Medicaid Services | 16 | 16 | 7 | 9.0 | 12 | 15 | 2 | 7.5
sig20 | Internal Revenue Service | 26 | 31 | 25 | 10.1 | 0 | 20 | 2 | 1.2
sig20 | Environmental Protection Agency | 120 | 62 | 108 | 81.7 | 15 | 23 | 7 | 4.5
sig20 | Industry and Security Bureau | 18 | 15 | 17 | 6.7 | 3 | 9 | 6 | 1.5
sig20 | Centers for Medicare & Medicaid Services | 16 | 16 | 7 | 9.0 | 12 | 15 | 2 | 7.5
sig20 | Executive Office for Immigration Review | 2 | 7 | 2 | 1.0 | 1 | 7 | 1 | 0.5
sig20 | Health and Human Services Department | 9 | 9 | 15 | 3.0 | 7 | 7 | 6 | 1.7
sig20 | Energy Department | 23 | 15 | 20 | 6.8 | 9 | 7 | 1 | 1.8
sig20 | Office of the Secretary | 16 | 16 | 17 | 10.6 | 5 | 8 | 5 | 3.2
