===== q27 (stmt 28) 9 rows
PUBLICATION_DATE | DOCUMENT_NUMBER | TITLE | ABSTRACT | DOCKETS | EXCERPTS
2025-03-27 | 2025-05196 | Agency Information Collection Activities: Submission for OMB Review, Comment Request; Federal Hotel and Motel Fire Safety Declaration Form | The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. FEMA invites the general public to take this opportunity to comment on an extension, without change, of a currently approved information collection in accordance with the requirements of the Paperwork Reduction Act of 1995, this notice seeks comments concerning a list of hotels, motels, and similar places of public accommodations meeting minimum fire-safety requirements. The information collected is voluntary and if approved for listing, the lodging est | ["Docket ID: FEMA-2024-0034","OMB No. 1660-0068"] | The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. FEMA...
2025-04-22 | 2025-06862 | Agency Information Collection Activities: Submission for OMB Review, Comment Request; National Household Survey on Disaster Preparedness | The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. FEMA invites the general public to take this opportunity to comment on a reinstatement, without change, of a previously approved information collection. In accordance with the requirements of the Paperwork Reduction Act of 1995, this notice seeks comments concerning the National Household Survey on Disaster Preparedness, which identifies progress and gaps in individual and community preparedness, and to better understand the motivational factors and bar | ["Docket ID: FEMA-2024-0028","OMB No. 1660-0105"] | The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. FEMA...
2025-08-01 | 2025-14529 | Agency Information Collection Activities: Proposed Collection; Comment Request; FEMA Administered Disaster Case Management | The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on a reinstatement, without change, of a previously approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning information collected for a FEMA- Administered Disaster Case Management (DCM) program implemented following a major disaster declaration. | ["Docket ID: FEMA-2025-0047","OMB No. 1660-0152"] | The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on a reinstatement, without change, of a previously approved...
2025-08-19 | 2025-15716 | Notices of Emergency and Major Disaster Declarations and Related Amendments | This is a notice of the Presidential declarations of emergencies and major disasters, and related determinations, declared under the authority of the Robert T. Stafford Disaster Relief and Emergency Assistance Act from October, 2024, to January, 2025. | ["Docket ID FEMA-2025-0001"] | This is a notice of the Presidential declarations of emergencies and major disasters, and related determinations, declared under the authority of the Robert T. Stafford Disaster Relief and Emergency Assistance Act from October, 2024, to January, 2025.
2025-08-19 | 2025-15717 | Notices of Emergency and Major Disaster Declarations and Related Amendments | This is a notice of the Presidential declarations of emergencies and major disasters, and related determinations, declared under the authority of the Robert T. Stafford Disaster Relief and Emergency Assistance Act from January to May, 2025. | ["Docket ID FEMA-2025-0001"] | This is a notice of the Presidential declarations of emergencies and major disasters, and related determinations, declared under the authority of the Robert T. Stafford Disaster Relief and Emergency Assistance Act from January to May, 2025.
2026-02-11 | 2026-02683 | Agency Information Collection Activities: Submission for OMB Review, Comment Request; FEMA-Administered Disaster Case Management | The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. FEMA invites the general public to take this opportunity to comment on a reinstatement, without change, of a previously approved information collection for which approval has expired. In accordance with the requirements of the Paperwork Reduction Act of 1995, this notice seeks comments concerning information collected for a FEMA-Administered Disaster Case Management (DCM) program implemented following a major disaster declaration. | ["Docket ID: FEMA-2025-0047","OMB No. 1660-0152"] | The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. FEMA...
2026-05-06 | 2026-08895 | Notices of Emergency and Major Disaster Declarations and Related Amendments | This is a notice of the Presidential declarations of emergencies and major disasters, and related determinations, issued under the authority of the Robert T. Stafford Disaster Relief and Emergency Assistance Act from April through October 2025. | ["Docket ID FEMA-2025-0001"] | This is a notice of the Presidential declarations of emergencies and major disasters, and related determinations, issued under the authority of the Robert T. Stafford Disaster Relief and Emergency Assistance Act from April through October 2025.
2026-06-01 | 2026-10843 | Agency Information Collection Activities: Proposed Collection, Comment Request; The Declaration Process: Requests for Preliminary Damage Assessment (PDA), Requests for Supplemental Federal Disaster Assistance, Appeals, and Requests for Cost Share Adjustments | The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on an extension of a currently approved information collection. In accordance with the requirements of the Paperwork Reduction Act of 1995, this notice seeks comments concerning the Declaration Process: Requests for Preliminary Damage Assessment (PDA), Requests for Supplemental Federal Disaster Assistance, Appeals, and Requests for Cost Share Adjustments collection. This collection allows states and Tribes to request a major disaster or emergency declaration. | ["Docket ID: FEMA-2026-0265","OMB No. 1660-0009"] | The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on an extension of a currently approved information collection....
2026-08-04 | 2026-15783 | Agency Information Collection Activities: Proposed Collection; Comment Request; Application for Community Disaster Loan (CDL) Program | The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on an extension, with change, of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the Community Disaster Loan (CDL) Program. This collection allows the Federal Government to make loans to local governments that have suffered economic problems due to disasters. | ["Docket ID: FEMA-2026-0430","OMB No. 1660-0083"] | The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on an extension, with change, of a currently approved information...
