===== q28 (stmt 29) 17 rows
K | V | N | AGREES | X
top | 30 | 5966 | 5966.0 | 
top | 45 | 4594 | 4594.0 | 
top | 60 | 4328 | 4328.0 | 
top | 32 | 2214 | 2214.0 | 
top | 31 | 2149 | 2149.0 | 
top | 61 | 1632 | 1632.0 | 
top | 62 | 1628 | 1628.0 | 
top | 46 | 1610 | 1610.0 | 
top | 47 | 1429 | 1429.0 | 
top | 90 | 790 | 790.0 | 
top | 15 | 554 | 554.0 | 
top | 33 | 329 | 329.0 | 
recompute | 2022 | 1861 | 45.0 | 111
recompute | 2026 | 1147 | 45.0 | 66
recompute | 2024 | 1576 | 45.0 | 101
recompute | 2023 | 1884 | 45.0 | 139
recompute | 2025 | 1294 | 45.0 | 71
