STATE,SYSTEMS_EXCEEDING_NO_VIOLATION,POPULATION_SERVED,AVG_MAX_LEAD_PPB,WORST_LEAD_PPB
AR,45,265467,72.19999999999999,898.00000
NH,111,257201,61.305405405405395,566.00000
IN,64,251166,167.12499999999997,5000.00000
VT,96,236349,51.65729166666666,352.00000
LA,50,215832,30.264,138.00000
WI,104,213752,56.474471153846146,1103.00000
AZ,36,203120,150.64027777777778,3500.00000
TX,54,189472,124.50442592592593,5000.00000
MT,20,175780,31.424999999999994,89.00000
OK,41,157727,101.7968292682927,2000.00000
AL,20,156191,101.25500000000001,1300.00000
MO,86,147656,112.70220930232558,4979.30000
GU,2,140302,512.3,1000.00000
CT,23,138792,91.06956521739131,990.00000
AS,2,45775,607.7,1200.00000
UT,15,40272,40.31333333333333,248.40000
NV,28,36923,34.232142857142854,140.00000
ID,43,35859,51.37279069767441,475.68000
NM,22,28160,312.1704545454545,2000.00000
AK,24,27018,66.4375,312.50000
MD,22,25142,47.61363636363637,285.00000
OR,46,1471162,54.15217391304348,610.00000
CO,63,1459968,49.91111111111111,271.00000
NC,125,1266340,89.52296,5000.00000
VA,207,887249,136.07367149758457,7900.00000
NY,228,799197,124.23824561403508,7100.00000
SC,59,755437,90.22881355932203,1770.00000
TN,25,626857,39.818,99.00000
IL,114,493209,90.33642982456139,2251.00000
MN,149,388212,47.13187919463087,790.00000
NJ,99,311124,122.11919191919195,6010.00000
RI,21,306304,64.43333333333332,534.00000
MS,104,275514,236.0125,20127.50000
ME,36,274998,57.447222222222216,561.00000
IA,149,271323,37.506308724832216,220.00000
OH,488,5685688,4723.0609631147545,9900.00000
CA,386,4185774,168.18155272020724,5100.00000
MA,71,3353044,52.747887323943665,381.00000
,131,2115330,889.3029007633588,9800.00000
MI,146,1835759,65.24883561643837,4000.00000
FL,219,1674270,130.20479452054795,7200.00000
WA,151,1653104,42.47019867549669,750.00000
PA,301,1514212,73.17719269102992,2800.00000
GA,95,82430,63.513684210526336,2500.00000
NE,52,81750,42.3575,280.00000
ND,26,73349,27.58442307692308,56.40000
HI,11,72445,30.568181818181824,54.00000
DE,19,60634,239.85263157894738,4000.00000
KY,11,59949,23.16363636363636,30.00000
WV,9,54919,248.99999999999997,2000.00000
WY,24,14692,55.24999999999999,217.00000
SD,10,13906,31.3,61.00000
PR,14,12887,153.0,1650.00000
AP,1,12780,70.0,70.00000
KS,8,9462,23.5,32.70000
VI,7,1659,278.2428571428572,621.50000
DC,2,150,27.5,39.00000
