STATE,SYSTEMS_EXCEEDING_NO_VIOLATION,POPULATION_SERVED,AVG_MAX_LEAD_PPB,WORST_LEAD_PPB
CA,357,3961959,37.79293935574229,100.00000
MA,67,3352429,33.34477611940299,93.00000
OH,118,2577038,30.386016949152545,95.00000
,101,1955242,33.94188118811881,100.00000
MI,138,1811376,30.28826086956522,100.00000
WA,148,1635463,29.895945945945947,95.00000
FL,210,1619668,31.797142857142852,99.00000
PA,286,1504658,33.48977272727273,97.00000
GA,93,82041,34.22043010752688,86.00000
NE,48,81506,28.428958333333334,99.14000
ND,26,73349,27.58442307692308,56.40000
HI,11,72445,30.568181818181817,54.00000
DE,19,60634,30.584210526315793,65.30000
KY,11,59949,23.16363636363636,30.00000
WV,9,54919,28.555555555555557,67.00000
IL,108,488255,30.610675925925925,96.00000
MN,145,387317,34.01137931034483,92.00000
RI,21,306304,37.90952380952381,89.00000
NJ,88,294116,32.38636363636364,100.00000
ME,36,274998,36.30833333333332,100.00000
IA,146,270924,32.99821917808219,100.00000
MS,98,263614,32.214285714285715,85.30000
AS,2,45775,19.200000000000003,23.00000
UT,14,39969,25.45,54.30000
NV,28,36923,30.582142857142856,77.00000
ID,42,35834,31.770238095238103,92.00000
AK,21,26225,32.99523809523809,71.30000
MD,21,25101,30.35714285714286,60.00000
NM,18,17732,36.841666666666676,90.00000
OR,45,1471134,34.25555555555555,92.20000
CO,60,1458225,33.318333333333335,91.00000
NC,117,1260624,32.70829059829059,94.00000
VA,186,832108,36.57392473118279,100.00000
NY,214,774067,34.75967289719626,100.00000
SC,55,653991,35.61636363636364,100.00000
TN,25,626857,39.818,99.00000
MT,20,175780,31.424999999999994,89.00000
AL,20,156191,35.30499999999999,81.00000
OK,39,155367,30.06846153846154,74.00000
MO,82,144289,33.78280487804877,99.30000
GU,1,139207,24.6,24.60000
CT,20,137855,30.23,60.00000
AZ,31,102527,34.96935483870968,94.50000
AR,43,263371,38.13953488372093,100.00000
NH,105,252721,34.8847619047619,99.00000
IN,58,247057,30.896551724137932,91.50000
VT,89,234118,36.14606741573034,99.00000
LA,49,215262,26.412244897959184,53.00000
WI,94,208910,27.036117021276592,94.00000
TX,54,189472,27.537759259259257,77.00000
SD,10,13906,31.3,61.00000
PR,14,12887,26.928571428571423,44.00000
AP,1,12780,70.0,70.00000
KS,8,9462,23.5,32.70000
WY,21,8941,35.09523809523809,87.00000
VI,5,1392,64.88000000000001,96.00000
DC,2,150,27.5,39.00000
