PF 114 assets 250756583.0
PF city [('SAN JUAN', 54), ('DORADO', 7), ('BAYAMON', 5), ('PONCE', 5), ('CAGUAS', 4), ('HUMACAO', 4), ('GUAYNABO', 3), ('CAROLINA', 3), ('RIO GRANDE', 2), ('TOA BAJA', 2)]
all city [('SAN JUAN', 791), ('BAYAMON', 126), ('CAGUAS', 104), ('PONCE', 102), ('GUAYNABO', 100), ('CAROLINA', 83), ('MAYAGUEZ', 69), ('DORADO', 56), ('HUMACAO', 51), ('AGUADILLA', 46), ('ARECIBO', 42), ('ISABELA', 34)]
dorado all 56
661042604 | COMPROMISO SOCIAL INTEGRAL PARA LAS MUJERE | % HILDA L RAMON RODRIGUE | HC 71 BOX 7356 | CAYEY | 202402 |F 04 | 202512 |A 2735 |I 3650 | P62
661061563 | LONGEVITY SAN JUAN CORP |  | 157 LUNA ST | SAN JUAN | 202402 |F 04 |  |A  |I  | B12
660890065 | FUNDACION DOCTORS CENTER HOSPITAL & DR PED | % ALEJANDRO SANTIAGO LOP | TORRE MEDICA 1 200 CARR 2 101 | MANATI | 202401 |F 04 | 202412 |A 1861105 |I 196301 | T23
661059009 | INSTITUTO D |  | 2 CALLE COSTA AZUL | DORADO | 202401 |F 04 | 202412 |A 5340 |I 69500 | W05
660962486 | FUNDACION SALUDABLES PUERTO RICO |  | 5859 AVE ISLA VERDE APT 1805-2 | CAROLINA | 202311 |F 04 |  |A  |I  | T21
661052911 | FUNDACION PATITAS PINTADAS | % BEATRIZ BLANCO | 1595 CALLE ALDA | SAN JUAN | 202311 |F 04 | 202512 |A 1 |I 1 | D40
661042419 | EURO1040 INC | % MARCO A PAGAN | PO BOX 1670 | VEGA BAJA | 202310 |F 04 | 202412 |A 8862 |I 47094 | X20
660629232 | CORPORACION LIGA PUERTORRIQUENA DE IMPROVI |  | NN47 CALLE 32 | BAYAMON | 202309 |F 04 |  |A  |I  | 
661046550 | WINGS 4 PAWS INC | % IVETTE RODRIGUEZ | PO BOX 515 | VEGA ALTA | 202309 |F 04 | 202512 |A 1 |I 1 | D20
661045531 | ART FOR ALL STUDENTS FOUNDATION INC |  | 1666 PONCE DE LEON | SAN JUAN | 202308 |F 04 | 202412 |A 1 |I 1 | B80
661046011 | INSTITUTE OF BEHAVIORAL HEALTH IMPLEMENTAT | % IVIS S CARRION GONZALE | 1056 AVE MUNOZ RIVERA STE 607 | SAN JUAN | 202308 |F 04 | 202506 |A 97907 |I 127798 | F05
660750537 | CONSEJO RECREO-DEPORTIVO Y EDUCATIVO DE PU | % FERMIN CARDONA | CALLE 6H 33 URB VILLA HUMACAO | HUMACAO | 202306 |F 04 |  |A  |I  | W11
661038970 | LIVING IN HARMONY FOUNDATION | % ANNA LEYTE AUZ | 1607 AVE PONCE DE LEON COBIANS | SAN JUAN | 202306 |F 04 | 202512 |A 218805 |I 462064 | P20
661040921 | INCENDIOS PROVOCADOS CORP | % ANGEL M FLORES RIVERA | 623 PONCE DE LEON SUITE 1001B | SAN JUAN | 202306 |F 04 |  |A  |I  | A30
660975538 | MINISTERIO DERRIBANDO GIGANTES INC | % WILFREDO MARTINEZ | BO MOGOTE EVARISTO HERNANDEZ 5 | CAYEY | 202304 |F 04 | 202401 |A 1 |I 1 | K11
660827495 | SANTURCE PARK CONSERVANCY INC | % JEREMY GRIFFITHS | PO BOX 41027 | SAN JUAN | 202303 |F 03 | 202412 |A 7614319 |I 7614319 | N32
660886975 | CODEGYM INC | % ALFREDO COLON | 7043 COND PLAYA DORADA CARR 18 | CAROLINA | 202303 |F 04 | 202412 |A 1 |I 1 | B60
872709358 | RILL FAMILY FOUNDATION INC |  | 3403 PLANTATION VLG | DORADO | 202303 |F 04 | 202512 |A 5202 |I 1 | T20
660598283 | HOGAR ELIZABETH JARDIN DEL EDEN | % ELIZABETH GARCIA SOTO | PO BOX 4251 | BAYAMON | 202211 |F 04 | 202402 |A 222725 |I 473240 | E92
660534023 | FUNDACION GERIATRICA CASA DE CAMPO INC | % MIGUEL A RODRIGUEZ | PO BOX 40511 | SAN JUAN | 202209 |F 03 | 202412 |A 1377124 |I 688520 | T23
661011367 | CENTRO DE RESTAURACION DE LA FAMILIA INC | % ROSA J ARCHIBALD | 2306 AVE BORINQUEN | SAN JUAN | 202208 |F 04 | 202412 |A 1 |I 1 | X20
660697838 | FUNDACION OE-INNOVATIVE TECHNOLOGY FOR EDU | % MARIA A NEVAREZ | PO BOX 9844 | SAN JUAN | 202206 |F 04 | 202506 |A 40013 |I 68361 | U41
660803400 | LOVE CREW INC | % LENNYS M REDONDO | 1019 AVE LUIS VIGOREAUX APT 18 | GUAYNABO | 202205 |F 04 | 202412 |A 210 |I 26799 | P20
660882626 | PUEBLO CRITICO | % KAMIL GERONIMO LOPEZ | URB GARCIA UBARRI | SAN JUAN | 202205 |F 04 | 202412 |A 96426 |I 31134 | B90
854336472 | TERI IJEOMA FAMILY FOUNDATION |  | RIVIERA PARKVIEW 2 | BAYAMON | 202205 |F 04 | 202412 |A 3794423 |I 686962 | T22
660999750 | THE PATO PROJECT FOUNDATION CORPORATION | % COMPRMETIDOS AMERICAN  | 250 MUNOZ RIVERA AVE SUITE 406 | SAN JUAN | 202203 |F 04 | 202512 |A 5217 |I 1709 | W05
660897241 | ACUEDUCTO SALTOS PELLEJAS INC | % JOSE A TORRES HERNANDE | PO BOX HC 01 BOX 5531 | OROCOVIS | 202201 |F 04 | 202412 |A 240011 |I 64021 | W80
660849114 | HUMACAO SAIL & POWER SQUADRON | % RAFAEL MARTI | 215 GUAYACAN SABANERA DEL RIO | GURABO | 202111 |F 04 | 202512 |A 220 |I 660 | B90
660618350 | CENTRO DE SERVICIOS MANANTIAL DE VIDA INC | % HECTOR L RAMOS VEGA | EL TUQUE 2008 CALLE 25 DE JULI | PONCE | 202109 |F 04 | 202512 |A 1 |I 1 | S99
660933627 | FUNDACION GOOD BUNNY INC | % BENITO MARTINEZ | PO BOX 8570 | SAN JUAN | 202105 |F 04 | 202412 |A 551173 |I 1640894 | T99
660938647 | PINCELADAS EN ORO INC | % JORGE L TORRES | HC 1 BOX 5280 | OROCOVIS | 202104 |F 04 | 202512 |A 422 |I 16725 | A20
842462908 | FIGHT BACK NOW | % KATHRYN WOLF | 1501 ASHFORD AVENUE | SAN JUAN | 202011 |F 04 | 202512 |A 20953 |I 20000 | R01
660640760 | ASOCIACION DE PADRES Y AMIGOS ORQUE STAS S | % KEIKO AKIMOTO | PO BOX 193643 | SAN JUAN | 202010 |F 04 | 202512 |A 17298 |I 187746 | B80
