root,n_members,n_tables_union,member_displays
WALMART,3,17,"WALMART INC.; WAL-MART STORES EAST, LP; WAL-MART STORES TEXAS, LLC"
JOHNSON,4,16,JOHNSON; JOHNSONVILLE; JOHNSON V. UNITED STATES; JOHNSON MEMORIAL HOSPITAL
VERIZON,4,14,VERIZON; VERIZON WIRELESS; VERIZON COMMUNICATIONS INC.; VERIZON COMMUNICATIONS INC. GOOD GOVERNMENT CLUB - PA
MILLER,2,13,MILLER; MILLER'S MERRY MANOR
PACIFICORP,3,13,PACIFICORP; PACIFICORP - EAST; PACIFICORP - WEST
EXXONMOBIL,2,13,EXXON MOBIL CORP; EXXONMOBIL OIL CORPORATION
BANKOFAMERICA,2,13,"BANK OF AMERICA CORPORATION; BANK OF AMERICA, NATIONAL ASSOCIATION"
COMMUNITY,5,12,COMMUNITY; COMMUNITY BANK; COMMUNITY HOSPITAL; COMMUNITY STATE BANK; COMMUNITY MEMORIAL HOSPITAL
WILLIAM,3,11,WILLIAM; WILLIAMS; WILLIAMS V. UNITED STATES
CHEVRON,2,10,CHEVRON; CHEVRON USA INC.
AMAZONCOM,2,10,AMAZON COM INC; AMAZON.COM SERVICES LLC
JPMORGANCHASE,3,10,"JPMORGAN CHASE & CO.; JPMORGAN CHASE BANK, N.A.; JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
MEMORIALHOSPITAL,2,10,MEMORIAL HOSPITAL; MEMORIAL HOSPITAL CORPORATION (MEM)
SMITH,2,9,SMITH; SMITH V. UNITED STATES
SHELL,3,9,SHELL PLC; SHELL OIL CO; SHELL SERVICE STATION
THOMAS,2,9,THOMAS; THOMAS W. HILTACHK
MADISON,3,8,MADISON; MADISON AVE; MADISON AVENUE
COLUMBIA,2,8,COLUMBIA; COLUMBIA UNIVERSITY
WELLSFARGO,2,8,WELLS FARGO & COMPANY; WELLS FARGO BANK NATIONAL ASSOCIATION
AMERICANLEGION,2,8,AMERICAN LEGION; AMERICAN LEGION AUXILIARY
JONES,2,7,JONES; JONES V. UNITED STATES
UNION,2,7,UNION; UNION PACIFIC RAILROAD COMPANY
TAYLOR,2,7,TAYLOR; TAYLOR AND FRANCIS
CITIZENSBANK,2,7,"CITIZENS BANK; CITIZENS BANK, NATIONAL ASSOCIATION"
DAVIS,2,6,DAVIS; DAVIS V. UNITED STATES
MOUNTAINVIEW,2,6,MOUNTAIN VIEW; MOUNTAIN VIEW POST ACUTE
CARDINALHEALTH,2,6,"CARDINAL HEALTH; CARDINAL HEALTH 200, LLC"
5THAVE,2,5,5TH AVE; 5TH AVENUE
PARKAVE,2,5,PARK AVE; PARK AVENUE
AMERISOURCEBERGEN,2,4,AMERISOURCEBERGEN CORPORATION; AMERISOURCEBERGEN DRUG CORP
CORPORATE,2,3,CORPORATE; CORPORATE OFFICE
OWENSMINOR,2,3,"OWENS & MINOR, INC.; OWENS & MINOR DISTRIBUTION INC"
CALIFORNIAREPUBLICANPARTY,2,3,CALIFORNIA REPUBLICAN PARTY; CALIFORNIA REPUBLICAN PARTY (FEDERAL)
