-- S12 NICS month coverage: which years the join source actually holds (S10 found no 2024-25 rows)
YR | N | STATES | M0 | M1
2023 | 495 | 55 | 2023-01 | 2023-09
2022 | 660 | 55 | 2022-01 | 2022-12
2021 | 660 | 55 | 2021-01 | 2021-12
2020 | 660 | 55 | 2020-01 | 2020-12
2019 | 660 | 55 | 2019-01 | 2019-12
2018 | 660 | 55 | 2018-01 | 2018-12
2017 | 660 | 55 | 2017-01 | 2017-12
2016 | 660 | 55 | 2016-01 | 2016-12
2015 | 660 | 55 | 2015-01 | 2015-12
2014 | 660 | 55 | 2014-01 | 2014-12
2013 | 660 | 55 | 2013-01 | 2013-12
2012 | 660 | 55 | 2012-01 | 2012-12
(12 rows; csv has all)
